question	answer
1.1投保范围	投保范围1.被保险人范围：凡出生满28天至60周岁（详见释义），身体健康且符合我们规定的投保条件者均可作为被保险人参加本保险。2.投保人范围：被保险人本人或对被保险人有保险利益的其他人可作为投保人向本公司投保本保险。
1.2合同构成	合同构成本保险合同（以下简称本合同）由保险单或其他保险凭证及所附条款、投保单、与本合同有关的其他投保文件、健康告知书、保险合同变更申请书、声明、批注、附贴批单及其他书面协议构成。
1.3合同成立与生效	合同成立您提出保险申请、本公司同意承保，本合同成立，合同成立日期在保险单上载明。与生效除另有约定外，自本合同成立、本公司收取首期保险费并签发保险单的次日零时起本合同生效，本公司开始承担保险责任，合同生效日期在保险单上载明。本合同生效日即为保单生效日。
1.4犹豫期	犹豫期本合同生效后，本公司为您提供10日的犹豫期，犹豫期指您收到保险单并书面签收之日起10日的期间，您在上述期间内要求解除本合同的，应书面提出合同解除申请，并提供您的保险合同及有效身份证件，本公司将在扣除不超过10元的保单工本费后退还本保险交纳的保险费。自本公司收到合同解除申请之日起，本合同即被解除，对本合同解除前发生的保险事故本公司不承担保险责任。
1.5合同内容变更	合同内容您和本公司可以协商变更本合同的有关内容。变更本合同的，由本公司在保险单变更或其他保险凭证上批注或附贴批单，或由您和本公司订立变更的书面协议。
1.6您解除合同的手续及风险	您解除合您在犹豫期后要求解除本合同的，应书面提出合同解除申请，并提供下列证明和同的手续资料：及风险1.保险合同；2.您的有效身份证件。自本公司收到合同解除申请及上述证明和资料之日起，本合同终止。本公司自收到解除合同申请之日起30日内向您退还保险单的现金价值（详见释义）。您犹豫期后解除合同可能会遭受一定损失。如已发生保险金给付的，您不得要求解除本合同。
1.7合同终止	合同终止以下任何一种情况发生时，本合同终止：1.在本合同有效期内解除本合同的；2.本公司已经履行完毕保险责任的；3.本合同因条款所列其他情况而终止的。我们提供的保障
2.1基本保险金额	基本保险本合同基本保险金额由您和本公司在投保时约定，但须符合本公司当时的投保规金额定，约定的基本保险金额将在保险单上载明。为未成年子女投保的，因被保险人身故给付的保险金总和不得超过国务院保险监督管理机构规定的限额，身故保险金总和的约定也不得超过前述限额。
2.2保险期间	保险期间本合同的保险期间为被保险人终身，并在保险单上载明。保险期间自本合同生效日的零时开始。
2.3保险责任	保险责任在本合同保险期间内，本公司承担下列保险责任：
2.3.1轻症疾病保险金	轻症疾病被保险人于本合同生效（或合同效力恢复）之日起90日后，由本公司认可医院保险金（详见释义）的专科医生（详见释义）确诊初次发生（详见释义）本合同所指的轻症疾病（详见释义）（无论一种或多种），本公司按本合同基本保险金额的一定给付比例给付轻症疾病保险金，本合同继续有效：若被保险人被确诊的轻症疾病是以其在本合同保险期间内遭受的意外伤害（详见释义）为直接且单独的原因所致，则不受前述90日的限制。每种轻症疾病只给付一次轻症疾病保险金，给付后该种轻症疾病的保险责任终止。本合同轻症疾病保险金的累计给付次数以四次为限。如果被保险人由于同一疾病原因、同次医疗行为或同次意外伤害事故，确诊初次发生本合同所指的两种或者两种以上的轻症疾病，我们仅按一种轻症疾病给付轻症疾病保险金。若被保险人确诊的疾病同时符合本合同所指的轻症疾病定义和本合同所指的中症疾病（详见释义）定义的，我们仅承担给付中症疾病保险金的保险责任。若被保险人确诊的疾病同时符合本合同所指的轻症疾病定义和本合同所指的重大疾病（详见释义）定义的，我们仅承担给付重大疾病保险金的保险责任。
2.3.2中症疾病保险金	中症疾病被保险人于本合同生效（或合同效力恢复）之日起90日后，由本公司认可医院保险金的专科医生确诊初次发生本合同所指的中症疾病（无论一种或多种），本公司按本合同基本保险金额的50给付中症疾病保险金，本合同继续有效。若被保险人被确诊的中症疾病是以其在本合同保险期间内遭受的意外伤害为直接且单独的原因所致，则不受前述90日的限制。每种中症疾病只给付一次中症疾病保险金，给付后该种中症疾病的保险责任终止。本合同中症疾病保险金的累计给付次数以两次为限。如果被保险人由于同一疾病原因、同次医疗行为或同次意外伤害事故，确诊初次发生本合同所指的两种或者两种以上的中症疾病，我们仅按一种中症疾病给付中症疾病保险金。若被保险人确诊的疾病同时符合本合同所指的中症疾病定义和本合同所指的重大疾病定义的，我们仅承担给付重大疾病保险金的保险责任。
2.3.3住院关爱津贴保险金	住院关爱被保险人于本合同生效（或合同效力恢复）之日起90日后且自其年满60周岁后（含60周岁）在本公司认可医院住院（详见释义）治疗的，本公司按本合同基本保津贴保险金险金额的0.1乘以实际住院天数（详见释义）给付住院关爱津贴保险金。同一个保单年度（详见释义）内，被保险人无论一次或多次住院治疗，本公司的累计给付天数以90日为限；本合同保险期间内累计给付的住院关爱津贴保险金达到本合同基本保险金额时，该项保险责任终止，本合同继续有效。如被保险人已领取了住院关爱津贴保险金的，本公司在给付首次重大疾病保险金、疾病终末期保险金或身故保险金时，均需扣减已累计给付的住院关爱津贴保险金。若被保险人住院治疗是以其在本合同保险期间内遭受的意外伤害为直接且单独的原因所致，则不受前述90日的限制。
2.3.4重大疾病保险金	重大疾病本合同所指的重大疾病分为A、B、C、D、E、F六组，具体疾病分组信息请见重保险金大疾病分组（详见释义）。每组重大疾病保险金的给付次数以一次为限，给付后该组重大疾病的保险责任终止。本合同重大疾病保险金的累计给付次数以六次为限，当累计给付达到六次时，本合同终止。如果被保险人由于同一疾病原因、同次医疗行为或同次意外伤害事故，确诊初次发生本合同所指的两种或者两种以上的重大疾病，我们仅按一种重大疾病给付重大疾病保险金。
