question	answer
1.1合同的构成	信泰百万健康重大疾病保险合同（以下简称本合同）由保险单或其他保险凭证及所附保险条款、投保单、现金价值表、与本合同有关的其他投保文件、合法有效的声明、批注、批单及其他书面协议共同构成。若上述构成本合同的文件原件需留本公司存档，则其复印件或电子影像件亦视为本合同的构成部分，其效力与原件相同；若其复印件或电子影像件的内容与原件内容不一致，则以原件内容为准。
1.2合同成立与生效	您提出保险申请，我们同意承保，本合同成立，本合同成立日载明于保险单上。除另有约定外，自本合同成立、我们收取首期保险费并签发保险单的次日零时起，本合同生效，我们开始承担保险责任，本合同生效日载明于保险单上。本合同生效日以后每年的对应日为保单周年日。若当月无对应的同一日，则以该月最后一日作为对应日。保单年度、保险费约定支付日均以本合同生效日计算。
1.3投保年龄	投保时被保险人的年龄为投保年龄。投保年龄以周岁计算，本合同接受的投保年龄为出生满二十八日至六十周岁。
1.4保险期间	本合同保险期间为终身，并载明于保险单上。
1.5犹豫期	为充分保障您的权益，本合同设有犹豫期。自您签收本合同次日起十日为犹豫期（通过代理销售的商业银行投保的，犹豫期为十五日）。在犹豫期内，请您认真审阅本合同，您可以在此期间申请解除本合同。申请解除本合同时，您需要填写申请书，并提供您的保险合同及有效身份证件。自我们收到解除合同的书面申请之日起，本合同终止，我们将在扣除工本费后退还您所支付的全部保险费，但我们对本合同终止前发生的保险事故不承担保险责任。
2.1基本保险金额	本合同的基本保险金额由您在投保时与我们约定，并载明于保险单上。若您后续申请减少基本保险金额的，则我们将按减少后的基本保险金额计算并承担保险责任。
2.2未成年人身故	为未成年子女投保的人身保险，约定的被保险人身故给付的保险金额总和不得
保险金限制	超过国务院保险监督管理机构规定的限额，被保险人身故时实际给付的保险金总和也不得超过前述限额。
2.3重大疾病分组	本合同所保障的重大疾病共一百零五种，分为A、B、C、D、E五组（重大疾病的定义详见本合同10.1部分）。组别重大疾病名称2.侵蚀性葡萄胎（或A组1.恶性肿瘤称恶性葡萄胎）2.冠状动脉搭桥术1.急性心肌梗塞（或称冠状动脉旁路3.心脏瓣膜手术移植术）4.严重原发性肺动脉6.严重冠状动脉粥样5.主动脉手术高压硬化性心脏病7.严重心肌病（严重8.严重心肌炎9.度房室传导阻滞B组原发性心肌病）10.感染性心内膜炎11.肺源性心脏病12.嗜铬细胞瘤13.严重慢性缩窄性14.主动脉夹层瘤15.艾森门格综合征心包炎17.严重继发性肺动16.严重川崎病18.神经白塞病脉高压19.严重I型糖尿病2.终末期肾病（或称1.重大器官移植术或慢性肾功能衰竭尿毒3.多个肢体缺失造血干细胞移植术症期）4.急性或亚急性重症5.慢性肝功能衰竭失6.双耳失聪肝炎代偿期7.双目失明9.胰腺移植8.重型再生障碍性贫血12.系统性红斑狼疮10.原发性硬化性胆11.失去一肢及一眼（并发）型或以管炎上狼疮性肾炎13.急性坏死性胰腺14.系统性硬皮病15.严重克隆病炎开腹手术C组17.慢性呼吸功能衰18.肺淋巴管肌瘤病16.严重溃疡性结肠炎竭终末期肺病21.严重自身免疫性19.肝豆状核变性20.肾髓质囊性病肝炎23.严重获得性或继24.胆道重建手术22.原发性骨髓纤维化发性肺泡蛋白质沉积症25.严重肠道疾病并26.严重骨髓异常增27.自体造血干细胞发症生综合征移植术29.严重甲型及乙型30.重症急性坏死性28.严重哮喘血友病筋膜炎31.弥漫性血管内凝32.小肠移植33.溶血性链球菌引血起的坏疽35.特发性慢性肾上36.经输血导致的HIV34.慢性复发性胰腺炎腺皮质功能减退感染37.器官移植导致的38.因职业关系导致HIV感染的HIV感染3.脑炎后遗症或脑膜1.脑中风后遗症2.良性脑肿瘤炎后遗症4.深度昏迷5.瘫痪6.严重阿尔茨海默病7.严重脑损伤8.严重帕金森病9.严重运动神经元病12.破裂脑动脉瘤夹10.语言能力丧失11.疯牛病闭手术14.脊髓灰质炎15.植物人状态13.严重肌营养不良症16.非阿尔茨海默病18.全身性（型）重症17.多发性硬化所致严重痴呆肌无力20.颅脑手术21.瑞氏综合症19.进行性核上性麻痹D组22.骨生长不全症23.严重癫痫24.独立能力丧失25.肌萎缩脊髓侧索27.进行性多灶性白硬化后遗症26.严重结核性脑膜炎质脑病29.婴儿进行性脊肌30.多处臂丛神经根28.脊髓小脑变性症萎缩症性撕脱32.脊柱裂33.血管性痴呆31.细菌性脑脊髓膜炎36.亚急性硬化性全34.额颞叶痴呆35.路易体痴呆脑炎37.进行性风疹性全39.严重类风湿性关38.重症手足口病脑炎节炎40.严重幼年型类风41.疾病或外伤所致湿性关节炎智力障碍1.严重度烧伤2.埃博拉病毒感染3.丝虫病所致象皮肿E组5.原发性脊柱侧弯的4.严重面部烧伤矫正手术
2.4轻症疾病分组	本合同所保障的轻症疾病共五十种，分为A、B、C、D、E五组(轻症疾病的定义详见本合同10.2部分）。组别轻症疾病名称1.极早期恶性肿瘤或2.单侧肺脏切除3.肝脏手术恶性病变6.可逆性再生障碍4.慢性肾功能障碍5.早期肝硬化A组性贫血7.中度严重溃疡性结8.双侧睾丸切除术9.双侧卵巢切除术肠炎10.单侧肾脏切除11.因肾上腺皮质腺12.系统性红斑狼瘤切除肾上腺疮2.微创冠状动脉搭桥3.心脏瓣膜介入手1.不典型心肌梗塞手术（或称微创冠状术（非开胸手术）动脉旁路移植术）4.主动脉内手术（非开5.于颈动脉进行血管6.心包膜切除术胸手术）成形术或内膜切除术B组7.特定周围动脉疾病9.激光心肌血运重8.植入腔静脉过滤器的血管介入治疗建术11.心脏起搏器或除12.糖尿病导致脚10.早期原发性心肌病颤器植入趾截除13.糖尿病视网膜晚期14.严重阻塞性睡眠15.轻度原发性肺增生性病变呼吸暂停综合征动脉高压1.一肢缺失2.重度头部外伤3.人工耳蜗植入术4.单耳失聪5.视力严重受损6.单眼失明C组7.角膜移植8.硬脑膜下血肿手术9.面部重建手术10.严重骨质疏松3.脑动脉瘤、脑血1.轻微脑中风2.脑垂体瘤、脑囊肿管瘤5.轻度脑炎或脑膜炎D组6.中度帕金森氏病4.早期运动神经元疾病后遗症7.中度肌营养不良症8.中度脊髓灰质炎9.微创颅脑手术10.植入大脑内分流器E组1.较小面积度烧伤2.早期象皮病3.出血性登革热
