question	answer
1.1合同构成	本保险条款、保险单或其他保险凭证、投保书、与保险合同有关的投保文件、合法有效的声明、批注、批单、其他经投保人与本公司（见9.1）共同认可的与本合同有关的书面协议都是投保人与本公司之间订立的君康福康宝重大疾病保险合同（以下简称为本合同）的构成部分。
1.2合同成立与生效	投保人提出保险申请，本公司同意承保，本合同成立。除另有约定外，自本合同成立、本公司收取首期保险费并签发保险单后次日零时起本合同生效，生效日应载于保险单上。本公司自生效日的零时起开始承担本合同约定的保险责任。本合同生效日以后每年的对应日是保单周年日，如果当月无对应日期，则以该月最后一日作为对应日。保单年度（见9.2）、保险费应交日（见9.3）均依据生效日进行计算。
1.3投保范围	投保人：凡年满18周岁（见9.4），具有完全民事行为能力且对被保险人具有保险利益的人，均可作为本合同的投保人。被保险人：凡出生满28天至60周岁（含）身体健康的人，均可作为本合同的被保险人。
1.4犹豫期	从投保人收到本合同并书面签收或按照本公司要求的其他方式对本合同进行确认之日起的一段时期为犹豫期，该时期不低于十日，具体日数以保险单上所载的为准。在此期间，如投保人认为本合同与投保人的需求不相符，可以解除本合同，本公司将无息退还保险费。（特殊群体（见9.4）客户另有约定的除外）犹豫期内解除合同时，投保人需要填写申请书，并提供本合同及本公司要求的相关资料。自本公司收到投保人申请解除合同的书面申请之日起，本合同即被解除，本公司自本合同生效日起自始不承担保险责任。
2本公司提供的保障	
2.1保险责任	在本合同有效期内，本公司对被保险人负下列保险责任：一、轻症疾病保险金若被保险人于本合同生效或最后一次复效之日起90日内（含第90日）因意外伤害（见9.6）以外的原因，经医院（见9.7）专科医生（见9.8）确诊初次罹患（见9.9）本合同约定的轻症疾病（见9.10）中的一种或多种，本公司按累计已交保险费给付轻症疾病保险金，本合同终止。若被保险人因意外伤害，或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因，经医院专科医生确诊初次罹患本合同约定的轻症疾病中的一种或多种，本公司按以下约定给付轻症疾病保险金，本合同继续有效：1.首次及第二次发生轻症疾病，每次给付的轻症疾病保险金为本合同的基本保险金额的20；2.第三次及第四次发生轻症疾病，每次给付的轻症疾病保险金为本合同的基本保险金额的30；3.第五次发生轻症疾病，给付的轻症疾病保险金为本合同基本保险金额的50。每种轻症疾病只给付一次轻症疾病保险金，给付后该种轻症疾病保险金责任终止，本合同的轻症疾病保险金累计给付以五次为限。如果被保险人因同一原因或在同一事故中导致其发生本合同所指的两种或两种以上的轻症疾病，本公司仅按一种轻症疾病给付轻症疾病保险金。首次诊断即达到重疾标准时不能同时或追溯轻症疾病保险金责任赔付。二、重大疾病保险金若被保险人于本合同生效或最后一次复效之日起90日内（含第90日）因意外伤害以外的原因，经医院专科医生确诊初次罹患本合同约定的重大疾病（见9.11）中的一种或多种，本公司按累计已交保险费给付重大疾病保险金，本合同终止。若被保险人因意外伤害，或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因，经医院专科医生确诊初次罹患本合同约定的重大疾病中的一种或多种，本公司按本合同的基本保险金额给付重大疾病保险金，本合同终止。三、身故保险金若被保险人于本合同生效或最后一次复效之日起90日内（含第90日）因意外伤害以外的原因导致身故，本公司按累计已交保险费给付身故保险金，本合同终止。若被保险人身故时未满18岁，且因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致身故，本公司按累计已交保险费的200给付身故保险金，本合同终止。若被保险人身故时已满18岁，且因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致身故，本公司按照本合同的基本保险金额给付身故保险金，本合同终止。四、全残保险金若被保险人于本合同生效或最后一次复效之日起90日内（含第90日）因意外伤害以外的原因导致全残（见9.12），本公司按累计已交保险费给付全残保险金，本合同终止。若被保险人全残时未满18岁，且因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致全残，本公司按累计已交保险费的200给付全残保险金，本合同终止。若被保险人全残时已满18岁，且因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致全残，本公司按照本合同的基本保险金额给付全残保险金，本合同终止。五、疾病终末期保险金若被保险人于本合同生效或最后一次复效之日起90日内（含第90日）因意外伤害以外的原因，经医院专科医生确诊初次达到疾病终末期（见9.13），本公司按累计已交保险费（见9.14）给付疾病终末期保险金，本合同终止。若被保险人经医院专科医生确诊初次达到疾病终末期时未满18岁，且因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因达到疾病终末期，本公司按累计已交保险费的200给付疾病终末期保险金，本合同终止。若被保险人经医院专科医生确诊初次达到疾病终末期时已满18岁，且因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因达到疾病终末期，本公司按照本合同的基本保险金额给付疾病终末期保险金，本合同终止。关于上述的重大疾病保险金、身故保险金、全残保险金和疾病终末期保险金四项保险金，本公司仅给付其中一项。六、被保险人轻症疾病豁免保险费若被保险人因意外伤害，或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因，经医院专科医生确诊初次罹患本合同约定的轻症疾病，本公司将豁免本合同自轻症疾病确诊之日以后的各期保险费，被豁免的保险费视为已交纳，同时本合同继续有效。上述豁免的保险费不包括以下款项：（1）被保险人罹患轻症疾病之日之前所欠交的保险费和利息；（2）续期保险费交费宽限期内应交未交的保险费；（3）保险单上载明的其他保险合同的保险费。
2.2责任免除	因下列情形之一，造成被保险人发生保险事故（见9.15）的，本公司不承担给付保险金的责任：（1）投保人对被保险人的故意杀害、故意伤害；（2）被保险人故意自伤、故意犯罪或者抗拒依法采取的刑事强制措施；（3）被保险人主动吸食或注射毒品（见9.16）；（4）被保险人酒后驾驶（见9.17）、无合法有效驾驶证驾驶（见9.18），或驾驶无有效行驶证（见9.19）的机动车（见9.20）；（5）被保险人感染艾滋病病毒或患艾滋病（见9.21）（本合同所列第33、47种重大疾病除外）；（6）战争、军事冲突、暴乱或武装叛乱（以上行为以政府宣告或认定为准）；（7）核爆炸、核辐射或核污染；（8）遗传性疾病（见9.22），先天性畸形、变形或染色体异常（见9.23）。发生上述第（1）项情形导致被保险人发生保险事故的，本合同效力即行终止，如果投保人选择的是趸交的交费方式，本公司向除投保人以外的其他权利人（见9.24）退还本合同的现金价值。如果投保人选择的是期交的交费方式，且投保人已交足两年以上保险费的，本公司向除投保人以外的其他权利人退还本合同的现金价值。发生上述其他情形导致被保险人发生保险事故的，本合同效力即行终止，本公司向投保人退还本合同的现金价值。
2.3基本保险金额	指投保人与本公司约定的用以计算保险金数额的基数。本合同的基本保险金额由投保人在投保时与本公司约定，并在保险单上载明。若该金额发生变更，则以变更后的金额为准。
2.4未成年人身故利益给付限制	若被保险人为未成年人，因被保险人身故给付的保险金总和不得超过国务院保险监督管理机构规定的限额，身故给付的保险金额总和约定也不得超过前述限额。
2.5保险期间	本合同的保险期间为终身，并在保险单上载明。
