question	answer
1.5合同内容变更	在本主险合同有效期内，您与本公司可以协商变更本主险合同内容。变更本主险合同内容的，应当由本公司在保险单或其他保险凭证上批注或者附贴批单，或者由您和本公司订立变更的书面协议。为了保障您的合法权益，在本主险合同有效期内，若您提供给本公司的住所或其他投保信息发生了变更，请及时以书面形式通知本公司，以便于本公司及时为您变更本主险合同上的相关信息。如因您的住所或通讯地址变更后未及时通知本公司，则本公司按本主险合同载明的最后住所或通讯地址发送的有关通知，均视为已送达给您，由此产生的法律后果由您个人独立承担。
附件12	
1.6解除合同的手续及风险	如您在犹豫期后申请解除本主险合同，请填写解除合同申请书并向本公司提供下列资料：（1）保险合同；（2）您的有效身份证件。自本公司收到解除合同申请书时起，本主险合同终止。本公司自收到解除合同申请书之日起30日内向您退还本主险合同的现金价值（见释义6.3）。您在犹豫期后解除合同会遭受一定损失，合同解除后，本公司不承担任何保险责任。
2.1保险金额	保险金额是本公司承担给付保险金责任的最高限额。本公司将按照本主险合同关于保险责任的约定，确定实际给付的保险金额。
2.2基本保险金额	本主险合同的基本保险金额是由您在投保时提出，并经本公司承保时审核并最终确定的。基本保险金额在保险单中载明。若该基本保险金额发生变更，则以变更后的基本保险金额为准。变更身故基本保险金额的应当得到被保险人同意并认可。
2.3未成年人身故保险金限制	为未成年子女投保的人身保险，因被保险人身故给付的保险金总和不得超过国务院保险监督管理机构规定的限额，身故给付的保险金额总和约定也不得超过前述限额。
2.4保险期间	本主险合同的保险期间为被保险人终身，自保险单上记载的保险合同生效日零时起至被保险人身故时止。
2.5保险责任等待期	在本主险合同有效期间内，本公司承担如下保险责任：被保险人在本主险合同生效（或最后复效）之日起90天内经医院（见释义6.4）专科医生（见释义6.5）确诊初次罹患（见释义6.6）本主险合同所约定的重大疾病、达到疾病终末期阶段（见释义6.7）的，或因意外伤害（见释义6.8）以外的原因导致全残（见释义6.9）、身故的，本公司将无息返还您所交的本主险合同的保险费，本主险合同终止。这90天的时间称为等待期。被保险人因意外伤害导致本主险合同所约定的重大疾病、身故、全残、达到疾病终末期阶段的，无等待期限制。等待期后发生保险事故，本公司承担如下保险责任：
轻症疾病保险金	若被保险人在等待期后经医院确诊初次罹患本主险合同所约定的轻症疾病（见释义6.10），本公司将按本主险合同约定的基本保险金额的20给付轻症疾病保险金，本主险合同继续有效。每种轻症疾病的给付以1次为限，给付后该种轻症疾病保险金给付责任终止。
附件12	本主险合同的轻症疾病保险金累计给付以5次为限。被保险人因同一原因或在同一事故中导致其发生本主险合同所约定的两种或两种以上的轻症疾病的，本公司仅按一种轻症疾病给付轻症疾病保险金。轻症疾病种类：1.非危及生命的（极早期的）恶性病变2.冠状动脉介入手术3.轻微脑中风4.心脏瓣膜介入手术5.脑垂体瘤、脑囊肿6.视力严重受损（3周岁始理赔）7.主动脉内介入手术8.较小面积III度烧伤（10）9.慢性肾功能损害肾功能衰竭期10.重症头部外伤11.单个肢体缺失12.单侧肺脏切除13.肝脏手术14.早期运动神经性疾病15.人工耳蜗植入术16.胆道重建手术17.双侧卵巢切除术18.单侧肾脏切除19.肝叶切除20.单耳失聪21.微创冠状动脉搭桥手术22.度房室传导阻滞已放置心脏起搏器23.于颈动脉进行血管成形术或内膜切除术24.心包膜切除术25.脑炎或脑膜炎26.硬脑膜下血肿手术27.严重阻塞性睡眠窒息症28.因意外毁容而施行的面部整形手术29.角膜移植30.单眼失明31.可逆性再生障碍性贫血32.慢性肝功能衰竭33.特定周围动脉疾病的血管介入治疗34.因肾上腺皮质腺瘤切除肾上腺35.植入腔静脉过滤器36.脑动脉瘤及脑血管瘤37.双侧睾丸切除术38.出血性登革热
