question	answer
1.2.2身故或全残保险金	被保险人在等待期后至年满18周岁的保单周年日以前身故或者全残，百年人寿按本合同累计已交保险费（无息）的3倍给付身故或全残保险金，本合同效力终止。被保险人在等待期后且年满18周岁的保单周年日以后（含当日）身故或者全残，百年人寿按本合同约定的基本保额给付身故或全残保险金，本合同效力终止。
1.2.3重大疾病保险金一、首次重大疾病保险金：	被保险人在等待期以后经百年人寿认可的医院首次确诊初次患上一种或多种本合同约定的重大疾病（100种重大疾病），百年人寿按本合同约定的基本保额给付重大疾病保险金，给付后该种重大疾病对应组别的重大疾病保险金责任效力终止。同时，本合同现金价值降低为零。二、第二次重大疾病保险金：在百年人寿已按本合同的约定给付首次重大疾病保险金的情况下，若被保险人自首次重大疾病确诊之日起满180日后，初次发病并经百年人寿认可的医院确诊首次患上本合同约定的除首次重大疾病所属组别以外其他组别中的重大疾病（无论一种或多种），百年人寿将按本合同基本保额的150给付第二次重大疾病保险金，给付后该种重大疾病对应组别的重大疾病保险金责任效力终止。三、第三次重大疾病保险金：在百年人寿已按本合同的约定给付首次重大疾病保险金和第二次重大疾病保险金的情况下，若被保险人自第二次重大疾病确诊之日起满180日后，初次发病并经百年人寿认可的医院确诊首次患上本合同约定的除首次重大疾病和第二次重大疾病所属组别以外其他组别中的重大疾病（无论一种或多种），百年人寿将按本合同基本保险金额的250给付第三次重大疾病保险金，本合同效力终止。若百年人寿已按上述约定给付首次重大疾病保险金，则轻症疾病保险金、中症疾病保险金、身故或全残保险金的保险责任均终止，百年人寿仅继续承担重大疾病保险金的保险责任。上述重大疾病保险金与本合同的身故或全残保险金二者不可兼得，即若百年人寿给付其中任何一项保险金，则其余保险金将不再给付。若被保险人在申请理赔时符合重大疾病保险金责任或身故或全残保险金责任中的一种或多种，同时又符合轻症疾病保险金责任或中症疾病保险金责任中的一种或多种，百年人寿仅按照重大疾病保险金责任或身故或全残保险金责任中的一种保险责任进行给付。本合同约定的中症疾病（20种中症疾病），百年人寿按本合同基本保额的50给付中症疾病保险金，每种中症疾病只给付一次中症疾病保险金，给付后该种中症疾病保险金责任效力终止。本合同的中症疾病保险金累计给付以两次为限，本合同的基本保额不变，本合同继续有效。若被保险人在申请理赔时既符合中症疾病保险金责任又符合轻症疾病保险金责任，百年人寿仅按照中症疾病保险金责任进行保险金给付。本合同约定的轻症疾病（35种轻症疾病），百年人寿每次按本合同基本保额的一定比例给付轻症疾病保险金，每种轻症疾病只给付一次轻症疾病保险金，给付后该种轻症疾病保险金责任效力终止。本合同的轻症疾病保险金累计给付以三次为限，每次的给付比例分别为30、35、40，本合同的基本保额不变，本合同继续有效。
1.2.6重大疾病、中症疾病或轻症疾病豁免保险费	给付重大疾病、中症疾病或轻症疾病保险金后，百年人寿将豁免本合同的重大疾病、中症疾病或轻症疾病确诊日后的下一保单年度及以后余下各期的保险费，本项保险责任效力终止。
不保什么	
2.1责任免除	因下列情形之一，导致被保险人发生保险事故的，百年人寿不承担给付保险金的责任：（1）投保人对被保险人的故意杀害、故意伤害；（2）被保险人故意自伤、故意犯罪或抗拒依法采取的刑事强制措施；（3）被保险人在本合同成立或合同效力最后恢复之日起二年内自杀，但被保险人自杀时为无民事行为能力人的除外；（4）被保险人服用、吸食或注射毒品或未遵医嘱使用管制药品；（5）被保险人酒后驾驶机动车、无合法有效驾驶证驾驶机动车或驾驶无有效行驶证的机动车；（6）战争、军事冲突、恐怖活动、暴乱、武装叛乱、核爆炸、核辐射或核污染；（7）被保险人感染艾滋病病毒或患艾滋病期间（导致被保险人身故的除外、发生本合同中约定的疾病除外）；（8）遗传性疾病，先天性畸形、变形或染色体异常（导致被保险人身故的除外、发生本合同中约定的疾病除外）。发生上述第（1）项情形导致被保险人身故的，本合同效力终止。已交足2年以上保险费的，百年人寿向被保险人的继承人退还本合同当时的现金价值。发生上述第（1）项情形导致被保险人发生身故以外保险事故的，本合同效力终止。已交足2年以上保险费的，百年人寿向被保险人退还本合同当时的现金价值。发生上述第（2）（8）项情形导致被保险人发生保险事故的，本合同效力终止，百年人寿向您退还本合同当时的现金价值。
2.2其他免责条款	除以上2.1责任免除外，本合同中还有其他免除百年人寿责任的条款，详见背景突出显示的内容。
如何支付保险费	
3.1保险费的交纳	本合同的交费频次和交费期间由您和百年人寿约定并在保险单上载明。分期支付保险费的，在交纳首期保险费后，您应当按照约定，在每个保险费约定交纳日交纳其余各期的保险费。
3.2宽限期	您交纳首期保险费后，如果您以后到期未交纳保险费，自保险费应交日起60日内为宽限期。宽限期内发生的保险事故，百年人寿仍会承担保险责任，但在给付保险金时会扣除您欠交的保险费。如果您在宽限期结束之后仍未交纳当期保险费，则本合同自宽限期满的次日零时起效力中止，但本合同另有约定的除外。
如何领取保险金	
4.1受益人	您或者被保险人可以指定一人或多人为身故保险金受益人，身故保险金受益人为多人时，可以确定受益人顺序和受益份额，如果没有确定份额，各受益人按照相等份额享有受益权。被保险人为无民事行为能力人或限制民事行为能力人的，可以由其监护人指定受益人。您或者被保险人可以变更身故保险金受益人并书面通知百年人寿。百年人寿收到变更受益人的书面通知后，将及时在保险单上批注或附贴批单。您在指定或变更身故保险金受益人时，必须经过被保险人书面同意。被保险人身故后，遇有下列情形之一的，保险金作为被保险人的遗产，由百年人寿依照中华人民共和国继承法的规定履行给付保险金的义务：（1）没有指定受益人，或者受益人指定不明无法确定的；（2）受益人先于被保险人身故，没有其他受益人的；（3）受益人依法丧失受益权或者放弃受益权，没有其他受益人的。受益人与被保险人在同一事件中身故，且不能确定身故先后顺序的，推定受益人身故在先。受益人故意造成被保险人身故、伤残、疾病的，或者故意杀害被保险人未遂的，该受益人丧失受益权。除另有约定外，身故保险金以外的保险金的受益人为被保险人本人。
4.2保险事故通知	请您、被保险人、受益人或其他有权领取保险金的人在知道保险事故发生之日起10日内通知百年人寿，否则您、被保险人、受益人或其他有权领取保险金的人需承担由于延迟通知致使百年人寿增加的勘查、检验等费用，因不可抗力导致的通知延迟除外。如果您、被保险人、受益人或其他有权领取保险金的人故意或者因重大过失未及时通知百年人寿，致使保险事故的性质、原因、伤害程度等难以确定的，百年人寿对无法确定的部分，不承担给付保险金的责任，但百年人寿通过其他途径已经及时知道或者应当及时知道保险事故发生或者虽未及时通知但不影响百年人寿确定保险事故的性质、原因、损失程度的除外。
4.3保险金申请	申请各项保险金时，申请人应提供相关证明文件和资料。
