question	answer
1．您与我们订立的合同	
1.1合同订立	本附加险合同由主险合同的投保人与我们订立。
1.2合同构成	本附加险合同是您与我们约定保险权利义务关系的协议，包括本附加险条款、保险单、投保单及其他投保文件、合法有效的声明、批注、批单及其他您与我们共同认可的书面协议。
1.3合同成立与生效	本附加险合同与主险合同同时成立，同时生效。合同生效日期在保险单上载明。
1.4投保年龄	本附加险合同接受的投保年龄范围与主险合同一致。
2．我们提供的保障	
2.1基本保险金额与有效保险金额	(1)本附加险合同的基本保险金额同主险合同的基本保险金额。(2)本附加险合同的有效保险金额为主险合同的有效保险金额。若发生减保或您与我们约定的其他情形导致有效保险金额变更的，本附加险合同的有效保险金额将相应调整。
2.2保险期间	本附加险合同的保险期间与主险合同一致。
2.3保险责任	在本附加险合同保险期间内，且主险合同和本附加险合同均有效的前提下，我们按以下约定承担保险责任：
重大疾病保险金	(1)若被保险人因遭受意外伤害被确诊初次发生本附加险合同约定的重大疾病（无论一种或多种，下同），或在本附加险合同生效或最后一次复效（以较迟者为准）之日起180日后因意外伤害以外的原因被确诊初次发生本附加险合同约定的重大疾病，我们按本附加险合同有效保险金额给付重大疾病保险金，主险合同及本附加险合同同时终止。主险合同的有效保险金额降为零。(2)若被保险人在本附加险合同生效或最后一次复效（以较迟者为准）之日起180日内因意外伤害以外的原因被确诊初次发生本附加险合同约定的重大疾病，我们按已支付的保险费金额给付重大疾病保险金，主险合同及本附加险合同同时终止。主险合同的有效保险金额降为零。本条所述已支付的保险费指您根据主险合同与本附加险合同约定已支付的保险费，若发生减保，减保前已支付的保险费将按减保比例相应减少。若被保险人被确诊初次发生本附加险合同约定的重大疾病，且该重大疾病符合主险合同约定的全残保险金给付条件，我们仅给付其中一项保险金。
给付保险金	病，或在本附加险合同生效或最后一次复效（以较迟者为准）之日起180日后因意外伤害以外的原因被确诊初次发生本附加险合同约定的特定疾病，且此前未发生本附加险合同约定的重大疾病，我们按本附加险合同基本保险金额的20给付特定疾病额外给付保险金予重大疾病保险金受益人。本附加险合同特定疾病额外给付保险金给付以三次为限，每种特定疾病仅限给付一次，当累计给付的特定疾病额外给付保险金达到三次时，本附加险合同继续有效，但该项责任终止，本附加险合同及主险合同的有效保险金额不变。若被保险人因同一疾病或遭受同一意外伤害导致其发生本附加险合同约定的两种或两种以上的特定疾病，我们仅按一种特定疾病给付特定疾病额外给付保险金。若被保险人被确诊发生本附加险合同约定的特定疾病时或之前，已经符合本附加险合同约定的重大疾病保险金给付条件，则我们按照上述重大疾病保险金责任进行给付，不再承担给付特定疾病额外给付保险金的责任。
保险费豁免	若被保险人首次符合特定疾病额外给付保险金给付条件，我们除给付特定疾病额外给付保险金外，对分期支付保险费的投保人，按以下约定豁免主险合同及本附加险合同的保险费：自被保险人被确诊初次发生本附加险合同约定的特定疾病后的首个保险费约定支付日起，我们每年于保险费约定支付日豁免主险合同及本附加险合同当期应支付的保险费，直至本附加险合同终止。被豁免的保险费视为已支付。
2.4责任免除	因下列情形之一导致被保险人发生疾病、达到疾病状态或进行手术的，我们不承担给付保险金的责任：(1)投保人对被保险人的故意杀害、故意伤害；(2)被保险人故意自伤、故意犯罪或抗拒依法采取的刑事强制措施；(3)被保险人主动吸食或注射毒品；(4)被保险人酒后驾驶，无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车；(5)被保险人感染艾滋病病毒或患艾滋病，但若属于本附加险合同所保障的经输血导致的人类免疫缺陷病毒（HIV）感染或因职业关系导致的人类免疫缺陷病毒（HIV）感染，则不在此限；(6)战争、军事冲突、暴乱或武装叛乱；(7)核爆炸、核辐射或核污染；(8)遗传性疾病，先天性畸形、变形或染色体异常。发生上述第(1)项情形导致被保险人被确诊发生本附加险合同约定的重大疾病的，本附加险合同终止，主险合同同时终止，我们向被保险人退还本附加险合同保险单的现金价值。发生上述其他情形导致被保险人被确诊发生本附加险合同约定的重大疾病的，本附加险合同终止，主险合同同时终止，我们向您退还本附加险合同保险单的现金价值。
3．保险金及保险费豁免的申请	
3.1受益人	除另有指定外，重大疾病保险金的受益人为被保险人本人。
3.2保险金及保险费豁免申请重大疾病保险金、特定疾病额外给付保险金或保险费豁免申请	在申请保险金或保险费豁免时，请按照下列方式办理：申请人须填写保险金给付或保险费豁免申请书，并提供下列证明和资料：(1)保险合同；(2)申请人的有效身份证件；(3)卫生行政部门认定的二级以上（含二级）医院出具的附有病理显微镜检查报告、血液检查及其他科学方法检验报告的病史资料及疾病诊断报告书；但原发性心肌病、严重骨髓增生异常综合征、严重瑞氏综合症（Reye综合征，也称赖氏征，雷氏综合征）的理赔须由三级以上（含三级）医院出具前述报告和资料；如有必要，我们有权对被保险人进行复检，复检费用由我们承担；(4)所能提供的与确认保险事故的性质、原因等有关的其他证明和资料。以上各项保险金或保险费豁免申请的证明和资料不完整的，我们将及时一次性通知申请人补充提供有关证明和资料。
