question	answer
1.1合同订立	本附加合同由阳光人寿安康保两全保险合同（以下简称主合同）投保人提出申请，经我们同意而订立。
1.2合同生效	本附加合同须与主合同同时投保。本附加合同的生效日与主合同相同。本附加合同的保单周年日、保单年度、保险费约定交纳日均以生效日计算。
1.3犹豫期	自您签收本附加合同次日起，有10日的犹豫期。在此期间，请您认真审视本附加合同，如果您认为本附加合同与您的需求不相符，您须合并主合同提出解除本附加合同，我们将在扣除不超过10元的工本费后无息退还您所交纳的本附加合同保险费。解除合同时，您需要填写申请书，并提供您的保险合同及有效身份证件。自我们收到您解除合同的书面申请时起，本附加合同即被解除，我们自始不承担保险责任。
2	
2.1保险期间	本附加合同的保险期间与主合同一致并于保险单上载明。
2.2基本保险金额	本附加合同的基本保险金额由您在投保时与我们约定，并在保险单上载明。若该金额发生变更，则以变更后的金额为基本保险金额。
2.3保险责任	在本附加合同有效期内，我们承担如下保险责任：自本附加合同生效（或最后复效）之日起180天内，被保险人发生下列情形之一的：（一）本附加合同约定的轻症重疾（详见本条款3.2）、重大疾病（详见本条款3.4）或少儿特定疾病（详见本条款3.6）；（二）因导致本附加合同约定的轻症重疾、重大疾病或少儿特定疾病的相关疾病就诊，我们不承担保险责任，本附加合同效力终止，主合同效力同时终止，我们将无息退还您所交纳的主合同与本附加合同的保险费。这180天的时间称为等待期；被保险人因意外伤害发生上述两项情形之一的，无等待期。被保险人因意外伤害或于等待期后发生保险事故，我们按照下列方式承担保险责任:
2.3.1轻症重疾保险金	我们将本附加合同保障的轻症重疾分为五个组别，每一组别对应的疾病种类详见3.1轻症重疾的范围。若被保险人在经我们认可的医院（见11.1）专科医生（见11.2）确诊首次患本282附加合同约定的重大疾病（无论一项或多项）或少儿特定疾病（无论一项或多项）前，经我们认可的医院专科医生确诊首次患本附加合同约定的轻症重疾（无论一项或多项），我们按照确诊时本附加合同基本保险金额的20给付轻症重疾保险金，本附加合同继续有效。在本附加合同保险期间内，每组轻症重疾最多给付一次轻症重疾保险金，轻症重疾保险金累计给付以五次为限。自被保险人经我们认可的医院专科医生确诊首次患本附加合同约定的重大疾病（无论一项或多项）或少儿特定疾病（无论一项或多项）之日起，我们不再承担给付轻症重疾保险金的责任。
2.3.2重大疾病保险金	若被保险人经我们认可的医院专科医生确诊首次患本附加合同约定的重大疾病（无论一项或多项），我们按照确诊时以下三者的较大值给付重大疾病保险金，本附加合同效力终止：(1)确诊患本附加合同约定的重大疾病时本附加合同的基本保险金额；(2)确诊患本附加合同约定的重大疾病时主合同与本附加合同累计已交保险费之和；(3)确诊患本附加合同约定的重大疾病时主合同与本附加合同现金价值之和。当同一保险事故造成被保险人同时符合轻症重疾（无论一项或多项）及重大疾病（无论一项或多项）给付条件的，我们仅给付重大疾病保险金。主合同累计已交保险费，指按本附加合同约定给付保险金时主合同已经过保单年度数（交费期满后为主合同交费年数）乘以主合同的年交保险费。主合同年交保险费指按本附加合同约定给付保险金时的基本保险金额及投保时被保险人的年龄确定的年交保险费。本附加合同累计已交保险费，指按本附加合同约定给付保险金时本附加合同已经过保单年度数（交费期满后为本附加合同交费年数）乘以本附加合同的年交保险费。本附加合同年交保险费指按本附加合同约定给付保险金时的基本保险金额及投保时被保险人的年龄确定的年交保险费。
2.3.3少儿特定疾病保险金	若被保险人未满18周岁，经我们认可的医院专科医生确诊首次患本附加合同约定的少儿特定疾病（无论一项或多项），我们按照确诊时本附加合同的基本保险金额给付少儿特定疾病保险金，本项保险责任终止，本附加合同继续有效。当同一保险事故造成被保险人同时符合轻症重疾（无论一项或多项）及少儿特定疾病（无论一项或多项）给付条件的，我们仅给付少儿特定疾病保险金。本附加合同保险期间内，少儿特定疾病保险金最多给付一次。若被保险人已满18周岁（含），我们不承担给付少儿特定疾病保险金的责任。
2.3.4轻症重疾或少儿特定疾病豁免保险费	若被保险人经我们认可的医院专科医生确诊首次患本附加合同约定的轻症重疾（无论一项或多项）或少儿特定疾病（无论一项或多项），我们将豁免自确诊之日起主合同的应交且未交的保险费和本附加合同的应交且未交的保险费。豁免保险费后，主合同和本附加合同视同正常交费的保险合同。
2.3.5本附加合同与主合同关联	本附加合同效力终止，主合同效力同时终止。
