question	answer
1.1合同订立	6.1现金价值11.1保单周年日
1.2合同生效	6.2保单贷款11.2保单年度
1.3犹豫期	11.3保险费约定交纳日11.4有效身份证件
2我们提供的保障	7合同效力的中止与恢复11.5意外伤害
2.1保险期间	7.1合同效力中止11.6我们认可的医院
2.2基本保险金额	7.2合同效力恢复（复效）11.7专科医生
2.3保险责任	11.8毒品
2.4责任免除	11.9酒后驾驶11.10无合法有效驾驶证驾驶11.11无有效行驶证11.12机动车
3重大疾病	8合同解除11.13感染艾滋病病毒或患艾滋病
3.1轻症重疾的范围	8.1犹豫期后解除合同（退保）的11.14遗传性疾病
3.2轻症重疾的定义	手续及风险11.15先天性畸形、变形或染色体
3.3重大疾病的范围	异常
3.4重大疾病的定义	11.16现金价值11.17永久不可逆
4保险金的申请	9如实告知11.18周岁
4.1受益人	9.1明确说明与如实告知11.19肢体机能完全丧失
4.2保险事故通知	11.20语言能力或咀嚼吞咽能力完
4.3保险金申请	全丧失
4.4保险金给付	11.21六项基本日常生活活动
4.5诉讼时效	11.22持续的输氧治疗11.23持续性蛋白尿（尿蛋白以上）
5保险费的交纳	10其他需要关注的事项11.24条款约定利率
5.1保险费的交纳	10.1年龄性别错误处理
5.2宽限期	10.2合同效力终止10.3适用主合同条款221阳光人寿附加一路阳光重大疾病保险条款
1	
1.1合同订立	本附加合同由阳光人寿一路阳光终身寿险合同（以下简称主合同）投保人提出申请，经我们同意而订立。
1.2合同生效	本附加合同须与主合同同时投保。本附加合同的生效日与主合同相同。本附加合同的保单周年日（见11.1）、保单年度（见11.2）、保险费约定交纳日（见11.3）均以生效日计算。
1.3犹豫期	自您签收本附加合同次日起，有10日的犹豫期。在此期间，请您认真审视本附加合同，如果您认为本附加合同与您的需求不相符，您须合并主合同提出解除本附加合同，我们将在扣除不超过10元的工本费后无息退还您所交纳的本附加合同保险费。解除合同时，您需要填写申请书，并提供您的保险合同及有效身份证件（见11.4）。自我们收到您解除合同的书面申请时起，本附加合同即被解除，我们自始不承担保险责任。
2	
2.1保险期间	本附加合同的保险期间为终身，自本附加合同生效日零时起至被保险人身故时止。
2.2基本保险金额保险责任	本附加合同的基本保险金额由您在投保时与我们约定，并在保险单上载明。若该金额发生变更，则以变更后的金额为基本保险金额。
2.3	在本附加合同有效期内，我们承担如下保险责任：自本附加合同生效（或最后复效）之日起180天内，被保险人发生下列情形之一的：（一）确诊患本附加合同约定的轻症重疾或重大疾病；（二）因导致轻症重疾或重大疾病的相关疾病就诊，我们不承担保险责任，本附加合同效力终止，我们将无息退还您所交纳的本附加合同保险费。这180天的时间称为等待期；被保险人因意外伤害（见11.5）发生上述两项情形之一的，无等待期。被保险人因意外伤害或于等待期后发生保险事故，我们按照下列方式给付保险金：
2.3.1轻症重疾保险金	若被保险人在确诊首次患本附加合同约定的重大疾病（无论一种或多种）前，经我们认可的医院（见11.6）专科医生（见11.7）确诊首次患本附加合同约定的轻症重疾（无论一种或多种），我们按照确诊时本附加合同基本保险金额的20给付轻症重疾保险金，轻症重疾保险责任终止，本附加合同继续有效。222本附加合同保险期间内，轻症重疾保险金给付以一次为限。
