question	answer
1.1保险合同构成	本保险合同（以下简称本合同）指您与我们之间订立的国华康运一生重大疾病保险A款合同。本合同由保险单、保险条款、投保单，以及与本合同有关的投保文件、合法有效的声明、批注、批单和其他书面协议共同构成。
1.2保险合同成立与生效	您提出保险申请、我们同意承保，本合同成立。本合同自我们同意承保、收取首期保险费并签发保险单开始生效，具体生效日以保险单所载的日期为准。保单周年日（见9.1）、保单年度（见9.2）和保险费约定支付日（见9.3）均以本合同生效日计算。如当月无对应同一日，则以该月最后一日作为对应日。
1.3犹豫期	从您首次收到本合同并书面签收之日起的一段时期为犹豫期，该时期以保险单上所载的日数为准。在犹豫期内请您认真审视本合同，如果您认为本合同与您的需求不相符，您可以在此期间提出解除本合同，我们将会扣除不超过人民币10元的工本费后无息退还您所支付的保险费。解除本合同时，您需要填写解除合同申请书，并提供您的保险合同及有效身份证件（见9.4）。自我们收到您的解除合同申请书时起，本合同即被解除，合同解除前发生的保险事故我们不承担保险责任。
2.1保险期间	本合同的保险期间为终身。除合同另有约定外，本合同的保险期间自本合同生效日起，至被保险人身故时止。
2.2投保条件	您和被保险人必须符合以下条件：
投保人条件被保险人条件	凡年满18周岁（见9.5），具有完全民事行为能力且对被保险人具有保险利益的人，均可作为本合同的投保人。凡投保时身体健康，且符合我们承保条件的人，均可作为本合同的被保险人。
2.3基本保险金额	本合同的基本保险金额由您在投保时与我们约定并在保险单上载明，投保时的基本保险金额须符合我们当时的投保规定。
2.4保险责任	在本合同有效期内，我们承担如下保险责任：
等待期	在本合同生效或最后复效日(以较迟者为准)起180日内，被保险人因意外伤害事故（见9.6）以外的原因导致身故、或患本合同约定的重大疾病（见9.7）或轻症疾病（见9.8）的，我们不承担保险责任，我们向您退还本合同已交保险费，本合同终止。这180日的时间称为等待期。因意外伤害事故导致身故、或患本合同约定的重大疾病或轻症疾病的无等待期。如被保险人在等待期后发生本合同所约定的保险事故，我们按照下列方式给付保险金：
身故保险金	若被保险人身故，我们按以下情形之一的金额给付身故保险金，本合同终止。（1）若被保险人身故时未满18周岁，则为被保险人身故时本合同累计已交纳保险费；（2）若被保险人身故时已满18周岁（含18周岁），则为本合同基本保险金额。
重大疾病保险金	被保险人初次发生（见9.9）并被医院（见9.10）的专科医生（见9.11）确诊患有本合同约定的重大疾病，我们按本合同基本保险金额给付重大疾病保险金，本合同终止。上述身故保险金、重大疾病保险金两项保险金，我们仅给付其中一项，给付后，本合同终止。
轻症疾病保险金	被保险人初次发生并被医院的专科医生确诊患有本合同约定的轻症疾病，我们按本合同基本保险金额的20给付轻症疾病保险金。每种轻症疾病的轻症疾病保险金最多只给付一次。轻症疾病保险金的累计给付次数不超过三次，若轻症疾病保险金的累计给付次数达到三次，该项保险责任终止。
轻症疾病豁免保险费	被保险人初次发生并被医院的专科医生确诊患有本合同约定的轻症疾病，则自确诊日后首个本合同的保险费约定支付日开始，直至本合同最后一次保险费约定支付日止，我们豁免前述期间内本合同的应交保险费。被豁免的保险费视为已交纳，本合同继续有效。如被保险人确诊初次发生本合同约定的轻症疾病的同时或之前，确诊发生了本合同约定的重大疾病，我们只给付重大疾病保险金，不再承担轻症疾病相应的保险责任。
2.5责任免除	因下列第（1）至第（7）项情形之一导致被保险人身故的，我们不承担给付身故保险金的责任；因下列第（1）至第（9）项情形之一导致被保险人发生重大疾病或轻症疾病的，我们不承担相应保险责任：(1)投保人对被保险人的故意杀害、故意伤害；(2)被保险人自本合同成立或者合同效力恢复之日起2年内自杀，但被保险人自杀时为无民事行为能力人的除外；(3)被保险人故意自伤、故意犯罪或抗拒依法采取的刑事强制措施；(4)被保险人酗酒（见9.12）、殴斗、服用、主动吸食或注射毒品（见9.13），违反规定使用麻醉或精神药品，未遵医嘱私自服用、涂用、注射药物；(5)被保险人酒后驾驶（见9.14）、无合法有效驾驶证驾驶（见9.15），或驾驶无有效行驶证照（见9.16）的机动车（见9.17）；(6)战争、军事冲突、暴乱或武装叛乱；(7)核爆炸、核辐射或核污染；(8)被保险人感染艾滋病病毒或患艾滋病（见9.18）期间因疾病导致的（但符合本合同经输血导致的人类免疫缺陷病毒感染或因职业关系导致的人类免疫缺陷病毒（HIV）感染定义的不在此限）；(9)遗传性疾病（见9.19），先天性畸形、变形或染色体异常（见9.20）。发生上述第（1）项情形导致被保险人身故、发生重大疾病或轻症疾病的，本合同终止，您已交足2年以上保险费的，我们向其他权利人退还合同效力终止之日本合同的现金价值（见9.21）。其他权利人按照被保险人、被保险人继承人的顺序确定。发生上述第（2）项至第（7）项情形导致被保险人身故的，本合同终止，我们向您退还被保险人身故时本合同的现金价值。发生上述第（2）项至第（9）项情形导致被保险人发生重大疾病或轻症疾病的，本合同终止，我们向您退还合同效力终止之日本合同的现金价值。
3.1受益人	您或者被保险人可以指定一人或者多人为身故保险金受益人。身故保险金受益人为多人时，可以确定受益顺序和受益份额；如果没有确定受益份额，各受益人按照相等份额享有受益权。被保险人为无民事行为能力人或限制民事行为能力人的，可以由其监护人指定受益人。您或者被保险人可以变更身故保险金受益人并书面通知我们，我们收到变更受益人的书面通知后，在保险单或其他保险凭证上批注或者附贴批单，变更自我们在保险单或者其他保险凭证上批注或者附贴批单之日起产生效力。您在指定和变更身故保险金受益人时，必须经过被保险人书面同意。除另有约定外，疾病保险金受益人为被保险人本人。被保险人身故后，遇有下列情形之一的，保险金作为被保险人的遗产，由我们依照中华人民共和国继承法的规定履行给付保险金的义务：（1）没有指定受益人，或者受益人指定不明无法确定的；（2）受益人先于被保险人身故，没有其他受益人的；（3）受益人依法丧失受益权或者放弃受益权，没有其他受益人的。受益人与被保险人在同一事件中身故，且不能确定身故先后顺序的，推定受益人身故在先。受益人故意造成被保险人身故、伤残、疾病的，或者故意杀害被保险人未遂的，该受益人丧失受益权。
