question	answer
1.1合同构成	本合同是您与我们约定保险权利义务关系的协议，包括本保险条款、保险单或者其他保险凭证、投保单、与本合同有关的投保文件、合法有效(见10.1)的声明、批注、批单及其他您与我们共同认可的书面协议。
1.2合同成立及生效	您提出保险申请且我们同意承保，本合同成立。本合同的成立日、生效日以保险单记载的日期为准。保单年度（见10.2）、保险费约定交纳日（见10.3）均依据本合同的生效日为基础进行计算。
1.3投保年龄	投保年龄指您投保时被保险人的年龄，以周岁(见10.4)计算。
1.4犹豫期	犹豫期是指自您签收本合同的次日零时起的一段时期，该时期以保险单上载明的日数为准。在此期间，请您认真审视本合同，如果您认为本合同与您的需求不相符，您可以在此期间提出解除本合同，我们将在扣除不超过10元的工本费后向您无息退还保险费。解除本合同时，您须填写解除合同申请书，并提供本合同、您的有效身份证件（见10.5）及您所交保险费的发票。自我们收到您的解除合同申请书时起，本合同即被解除，对于本合同解除前发生的保险事故，我们不承担保险责任。
2.我们提供的保障	
2.1基本保险金额	本合同的基本保险金额由您在投保时与我们约定，并在保险单上载明。
2.2未成年人身故保险金限制	为未成年子女投保的人身保险，因被保险人身故给付的身故保险金总和最高不得超过国务院保险监督管理机构规定的限额，身故保险金总和的约定也不得超过前述限额。
2.3保险期间	本合同的保险期间为被保险人终身，自本合同生效日零时开始。
2.4保险责任	在本合同保险期间内，我们承担下列保险责任：
轻症疾病保险金	本合同生效（若曾复效，则自本合同最后复效）之日起180日内，被保险人经医院（见10.6）初次确诊（见10.7）非因意外伤害（见10.8）导致罹患本合同所定义的轻症疾病（无论一种或者多种），我们不承担给付保险金的责任，本合同继续有效。被保险人经医院初次确诊因意外伤害导致罹患本合同所定义的轻症疾病，或者于本合同生效（若曾复效，则自本合同最后复效）之日起180日后，经医院初次确诊非因意外伤害导致罹患本合同所定义的轻症疾病，我们将按本合同基本保险金额的30向疾病保险金受益人给付轻症疾病保险金。每种轻症疾病限给付一次，给付后该种轻症疾病保险金保险责任终止。不同轻症疾病可以多次给付，但本合同的轻症疾病保险金累计给付以三次为限，当累计给付的轻症疾病保险金达到三次时，轻症疾病保险金保险责任终止，但本合同继续有效。如果被保险人因同一原因导致其罹患本合同所定义的两种或者两种以上的轻症疾病，我们仅按一种轻症疾病给付轻症疾病保险金。本合同所定义的轻症疾病载明于本合同9.1轻症疾病定义。
重大疾病保险金	本合同生效（若曾复效，则自本合同最后复效）之日起180日内，被保险人经医院初次确诊非因意外伤害导致罹患本合同所定义的重大疾病（无论一种或者多种），我们将按您累计已交纳的本合同的保险费数额向疾病保险金受益人给付重大疾病保险金，本合同终止。被保险人经医院初次确诊因意外伤害导致罹患本合同所定义的重大疾病（无论一种或者多种），或者于本合同生效（若曾复效，则自本合同最后复效）之日起180日后，经医院初次确诊非因意外伤害导致罹患本合同所定义的重大疾病（无论一种或者多种），我们将按本合同的基本保险金额向疾病保险金受益人给付重大疾病保险金，本合同终止。本合同所定义的重大疾病载明于本合同9.2重大疾病定义。
身故保险金	本合同生效（若曾复效，则自本合同最后复效）之日起180日内，被保险人非因意外伤害导致身故，我们将按您累计已交纳的本合同的保险费数额向身故保险金受益人给付身故保险金，本合同终止。被保险人因意外伤害导致身故，或者于本合同生效（若曾复效，则自本合同最后复效）之日起180日后非因意外伤害导致身故，我们将向身故保险金受益人给付身故保险金，本合同终止。身故保险金的数额为：（1）如果被保险人身故时未满18周岁（不含18周岁生日），身故保险金数额等于您累计已交纳的本合同的保险费数额；（2）如果被保险人身故时已满18周岁（含18周岁生日），身故保险金数额等于本合同的基本保险金额。
高残保险金	本合同生效（若曾复效，则自本合同最后复效）之日起180日内，被保险人非因意外伤害导致高残（见10.9），我们将按您累计已交纳的本合同的保险费数额向疾病保险金受益人给付高残保险金，本合同终止。被保险人因意外伤害导致高残，或者于本合同生效（若曾复效，则自本合同最后复效）之日起180日后非因意外伤害导致高残，我们将向疾病保险金受益人给付高残保险金，本合同终止。高残保险金的数额为：（1）如果被保险人高残时未满18周岁（不含18周岁生日），高残保险金数额等于您累计已交纳的本合同的保险费数额；（2）如果被保险人高残时已满18周岁（含18周岁生日），高残保险金数额等于本合同的基本保险金额。被保险人发生本合同所定义的高残，应在治疗结束后，由双方认可的医疗机构（或者鉴定机构）进行鉴定。如果被保险人自意外伤害事故发生之日或者自疾病确诊之日起180日内治疗仍未结束，则按第180日的身体情况进行鉴定。
轻症疾病豁免保险费	被保险人经医院初次确诊因意外伤害导致罹患本合同所定义的轻症疾病，或者于本合同生效（若曾复效，则自本合同最后复效）之日起180日后，经医院初次确诊非因意外伤害导致罹患本合同所定义的轻症疾病，则自确诊日后首个本合同的保险费约定交纳日开始，直至本合同最后一次保险费约定交纳日止，我们豁免前述期间内本合同应交纳的保险费。我们视豁免的保险费为您已交纳的保险费，本合同继续有效。
特别注意事项	上述重大疾病保险金、身故保险金和高残保险金，我们在保险期间内只给付一项，在给付其中任意一项后，本合同终止。对于已经首先符合重大疾病保险金给付条件的，仅给付重大疾病保险金，不再给付轻症疾病保险金。保险费豁免开始后，我们将不接受关于本合同保险费交费方式的变更申请。
