question	answer
1.1合同构成	本合同是您与我们约定保险权利义务关系的协议，包括本保险条款、保险单或其他保险凭证、投保单、与本合同有关的投保文件、合法有效的声明、批注、批单及其他约定您和我们之间权利义务关系的书面文件。阅读指引和条款目录仅供辅助理解使用，不构成本合同的组成部分。
1.2合同成立及生效	您向我们提出保险申请，我们同意承保，本合同成立。本合同生效日以保险单所载的日期为准。本合同生效日以后每年的对应日是保险单周年日。保险单年度（见10.1）、保险费约定交纳日（见10.2）均以本合同的生效日期为基础计算。如果当月无对应的同一日，则以该月最后一日作为对应日。
1.3投保年龄	指投保时被保险人的年龄，投保年龄以周岁（见10.3）计算，投保本合同时被保险人的年龄须为0周岁（出生满28天）至60周岁。
1.4犹豫期	自您签收本合同之日起，有10天（含）的犹豫期。在此期间，请您认真阅读本合同，您可以在此期间提出解除本合同，我们将扣除不超过10元的工本费后无息退还您所交纳的保险费。在犹豫期内解除本合同时，您需要填写书面申请书，并提供您的保险合同、交费凭证及有效身份证件（见10.4）。自我们收到您解除本合同的书面申请时起，本合同即被解除，合同解除前发生的保险事故我们不承担保险责任。
2.我们提供的保障	发生变更，则自变更之日起，以变更后的金额为基本保险金额。
2.2保险期间	本合同的保险期间为终身。除合同另有约定外，本合同的保险期间自本合同生效日起算。
2.3保险责任	在本合同保险期间内，我们按以下约定承担保险责任：1.轻型疾病保险金（1）若被保险人于本合同生效之日或最后复效之日（以较迟者为准）起90天（含）（此90天称为等待期）内因意外伤害事故(见10.5)以外的原因，首次发生并在本公司认可的医院(见10.6)由专科医生(见10.7)确诊患本合同所列的任何一种或多种轻型疾病(见10.8)，我们不承担给付轻型疾病保险金的责任，同时本合同继续有效；（2）若被保险人因意外伤害事故，或于本合同生效之日或最后复效之日（以较迟者为准）起90天后因意外伤害事故以外的原因，首次发生并在本公司认可的医院由专科医生确诊患本合同所列的任何一种或多种轻型疾病，我们将按本合同约定的基本保险金额的20给付轻型疾病保险金，同时本合同继续有效。每种轻型疾病只给付一次轻型疾病保险金，给付后该种轻型疾病保险责任终止，本合同的轻型疾病保险金累计给付以三次为限。累计达到三次后，我们对被保险人的轻型疾病保险责任终止，同时本合同继续有效。如果被保险人因同一原因或在同一事故中导致其发生本合同所列的两种或两种以上的轻型疾病，我们仅按其中一种轻型疾病给付轻型疾病保险金。2.轻型疾病豁免保险费若本合同尚未豁免保险费，则我们在给付第一次轻型疾病保险金后，自该种轻型疾病确诊之日后的首个保险费约定交纳日开始,将豁免本合同余下各期保险费，同时本合同继续有效。3.住院关爱津贴保险金若被保险人在年满60周岁前未患本合同所列的任何一种重大疾病（见10.9），则自被保险人年满60周岁后经本公司认可的医院诊断必须住院治疗的，我们将按本合同约定的基本保险金额的0.1乘以住院天数（见10.10）给付住院关爱津贴保险金。本合同保险期间内累计给付的住院关爱津贴保险金达到本合同约定的基本保险金额的30时，本项保险责任终止，同时本合同继续有效。4.重大疾病保险金（1）若被保险人于本合同生效之日或最后复效之日（以较迟者为准）起90天（含）（等待期）内因意外伤害事故以外的原因，首次发生并在本公司认可的医院由专科医生确诊患本合同所列的任何一种重大疾病，我们将按本合同的累计所交保险费（不计息）给付重大疾病保险金，同时本合同效力终止；（2）若被保险人因意外伤害事故，或于本合同生效之日或最后复效之日（以较迟者为准）起90天后因意外伤害事故以外的原因，首次发生并在本公司认可的医院由专科医生确诊患本合同所列的任何一种重大疾病，我们将按以下三者较大者给付重大疾病保险金，同时本项保险责任终止，本合同现金价值减少为零，本合同继续有效。本合同约定的基本保险金额；被保险人重大疾病确诊之日本合同现金价值；累计所交保险费（不计息）。如果在给付重大疾病保险金前，我们已依本合同给付过住院关爱津贴保险金，则在给付重大疾病保险金时，需扣除已给付的住院关爱津贴保险金。在给付重大疾病保险金后，我们将不再承担轻型疾病保险金、住院关爱津贴保险金、全残保险金、身故保险金中的任何一项保险责任。5.重大疾病豁免保险费若本合同尚未豁免保险费，则我们在给付重大疾病保险金后，自该种重大疾病确诊之日后的首个保险费约定交纳日开始，将豁免本合同余下各期保险费，同时本合同继续有效。6.生命关爱金（1）若被保险人已领取重大疾病保险金并且自重大疾病确诊之日起365天（含）内身故，我们将不承担给付生命关爱金的责任，同时本合同效力终止。（2）若被保险人已领取重大疾病保险金并且自重大疾病确诊之日起365天后身故，我们将按本合同约定的基本保险金额的50给付生命关爱金，同时本合同效力终止。7.全残保险金（1）若被保险人于本合同生效之日或最后复效之日（以较迟者为准）起90天（含）（等待期）内因意外伤害事故以外的原因导致全残（人身保险伤残评定标准及代码（见10.11）所列伤残等级为1级的），我们将按本合同的累计所交保险费（不计息）给付全残保险金，同时本合同效力终止；（2）若被保险人因意外伤害事故，或于本合同生效之日或最后复效之日（以较迟者为准）起90天后因意外伤害事故以外的原因导致全残，我们按以下三者较大者给付全残保险金，同时本合同效力终止。本合同约定的基本保险金额；被保险人全残时本合同现金价值；累计所交保险费（不计息）。如果在给付全残保险金前，我们已依本合同给付过住院关爱津贴保险金，则在给付全残保险金时，需扣除已给付的住院关爱津贴保险金。8.身故保险金（1）若被保险人于本合同生效之日或最后复效之日（以较迟者为准）起90天（含）（等待期）内因意外伤害事故以外的原因导致身故，我们将按本合同的累计所交保险费（不计息）给付身故保险金，同时本合同效力终止；（2）若被保险人因意外伤害事故，或于本合同生效之日或最后复效之日（以较迟者为准）起90天后因意外伤害事故以外的原因导致身故，我们按以下三者较大者给付身故保险金，同时本合同效力终止。本合同约定的基本保险金额；被保险人身故时本合同现金价值；累计所交保险费（不计息）。如果在给付身故保险金前，我们已依本合同给付过住院关爱津贴保险金，则在给付身故保险金时，需扣除已给付的住院关爱津贴保险金。重大疾病保险金、全残保险金或身故保险金只给付其中一项。累计所交保险费：若在本合同保险期间内未发生减少基本保险金额：累计所交保险费本合同的期交保险费已经过并实际交纳了保险费的期数；若在本合同保险期间内发生一次或多次减少基本保险金额：累计所交保险费最近一次减少基本保险金额变更后的基本保险金额所对应本合同的期交保险费已经过并实际交纳了保险费的期数。
2.4责任免除	因下列情形之一导致被保险人住院、全残、身故或确诊患本合同约定的轻型疾病、重大疾病的，我们不承担给付各项保险金的责任：1.投保人对被保险人的故意伤害、故意杀害；2.被保险人故意犯罪或者抗拒依法采取的刑事强制措施；3.被保险人自本合同成立或者本合同最后一次效力恢复之日起2年内自杀，但被保险人自杀时为无民事行为能力人的除外；4.被保险人故意自伤；5.被保险人主动吸食或注射毒品（见10.12）；6.被保险人酒后驾驶（见10.13），无合法有效驾驶证驾驶（见10.14），或驾驶无有效行驶证（见10.15）的机动车（见10.16）；7.战争、军事冲突、暴乱或武装叛乱；8.核爆炸、核辐射或核污染；9.被保险人感染艾滋病病毒或患艾滋病（见10.17）；10.遗传性疾病（见10.18）、先天性畸形、变形或染色体异常（见10.19）。发生上述第项情形导致被保险人全残、身故或确诊患本合同约定的轻型疾病、重大疾病的，本合同效力终止，您已交足2年以上保险费的，我们向被保险人退还被保险人全残或确诊患病时本合同现金价值，或向除您之外的被保险人继承人退还被保险人身故时本合同现金价值。发生上述除第1项以外的其他情形导致被保险人全残、身故或确诊患本合同约定的轻型疾病、重大疾病的，本合同效力终止，我们向您退还被保险人全残、身故或确诊患病时本合同现金价值。
2.5未成年人身故保险金限制	为未成年人投保的人身保险，因被保险人身故给付的保险金总和不得超过国务院保险监督管理机构规定的限额，身故给付的保险金额总和约定也不得超过前述限额。
3.保险金的申请	
