question	answer
1.1投保范围	凡年满18周岁（见释义6.1），具有完全民事行为能力且在本保险合同订立时对被保险人具有保险利益的人，均可以作为投保人。凡出生满28天至65周岁，符合本公司承保条件的人，均可作为被保险人。
1.2合同构成	本保险条款、保险单或其他保险凭证、投保书、与保险合同有关的投保文件、合法有效的声明、批注、附贴批单、其他书面协议共同构成您与我们之间订立的保险合同。保险合同可以包括主险合同和附加险合同，合众珍爱幸福终身重大疾病保险（2017）合同是主险合同，以下简称为本主合同。
1.3合同成立与生效	您提出保险申请、我们同意承保，本主合同成立，合同成立日期在保险单上载明。自本主合同成立、我们收取首期保险费并签发保险单的次日零时起本主合同生效，若投保人指定生效日期的，以指定生效日期为合同生效日期，合同生效日期在保险单上载明。本主合同生效的日期为本公司开始承担保险责任的日期，保险合同生效日以后每年的对应日是保单周年日。保单年度、保险费约定支付日均以该日期计算。如果当月无对应的同一日，则以该月最后一日作为对应日。
1.4犹豫期	为了使您充分了解本主合同的保障范围，确定选择了合适的基本保险金额、交费期限和交费金额，自您签收本主合同之日起，有10天的犹豫期。如果您在此期间提出解除本主合同，需要填写书面申请书，并提供您的保险合同及有效身份证件（见释义6.2），我们将在扣除不超过人民币10元的保单工本费后无息退还您所交的本主合同的保险费。自我们收到您解除合同的书面申请时起，本主合同即被解除。对本主合同解除前发生的保险事故我们不承担保险责任。
1.5合同内容变更	在本主合同有效期内，经您与我们协商一致，可以变更本主合同的有关内容。变更本主合同的，应当由我们在受理您的变更申请后在保险单或者其他保险凭证上批注或者附贴批单，或者由您与我们订立书面的变更协议。
1.6投保信息变更	为了保障您的合法权益，在本主合同有效期间内，如果您提供给我们的联系方式（包括联系地址、联系电话、电子邮箱等）或其他投保信息发生了变更，请及时以书面或双方认可的其他形式通知我们，以便于我们及时为您改变保险合同上的相关信息。若您的联系方式变更而未通知我们，我们按本主合同载明的最新联系方式中一种或多种途径发送的有关通知，均视为已送达给您。
1.7您解除合同的手续及风险	犹豫期届满且被保险人未发生保险事故，您可申请解除本主合同。申请解除本主合同时，请您填写解除合同申请书并向我们提供下列资料：（1）保险合同；（2）您的有效身份证件。自我们收到解除合同申请书时起，本主合同终止。我们自收到解除合同申请书之日起30日内向您退还保险单的现金价值（见释义6.3）。您在犹豫期后解除合同会遭受一定损失。
1.8保险合同的终止	以下任何一种情况发生时，本主合同终止，其保险责任同时终止：（1）在本主合同有效期内您向我们申请解除合同；（2）在本主合同有效期内我们依据法律法规和本主合同的约定解除合同；（3）本主合同其他条款所列合同终止的情形。
我们提供的保障	
2.1基本保险金额	本主合同的基本保险金额由您在投保时与我们约定并在保险单上载明。
2.2保险期间	本主合同的保险期间为被保险人终身，自保险单上记载的本主合同生效日零时起。
2.3保险责任	在本主合同保险期间内，我们承担如下保险责任：
等待期	被保险人在本主合同生效（或最后复效）之日起90天内初次发生本主合同所定义的轻症疾病（见释义6.4）、重大疾病（见释义6.5）或少儿特定重大疾病（见释义6.6），我们将无息返还您所交的本主合同的保险费，本主合同终止。这90天的时间称为等待期。被保险人因意外伤害（见释义6.7）导致本主合同定义的轻症疾病、重大疾病或少儿特定重大疾病，无等待期。被保险人因意外伤害导致或在等待期后发生保险事故，我们按照下列方式给付保险金：
轻症疾病保险金	被保险人初次发生且经专科医生（见释义6.8）明确诊断患本主合同所定义的轻症疾病，我们将根据本主合同的基本保险金额的25给付轻症疾病保险金。在本主合同保险期间内，轻症疾病保险金累计给付以四次为限，每种轻症疾病以给付一次为限。我们给付四次轻症疾病保险金后，本项保险责任终止。若被保险人因同一疾病或在同一事故中导致其发生两种或两种以上的轻症疾病，我们仅按一种轻症疾病给付轻症疾病保险金。若被保险人首次诊断即达到重疾标准时，我们将向被保险人给付重大疾病保险金，不能同时给付或追溯给付轻症疾病保险金责任。
重大疾病保险金	被保险人初次发生且经专科医生明确诊断患本主合同所定义的重大疾病，我们按本主合同的基本保险金额给付重大疾病保险金，本主合同终止。
少儿特定重大疾病保险金	被保险人在年满18周岁的保单周年日（不含）前，被保险人初次发生且经专科医生明确诊断患本主合同所定义的少儿特定重大疾病，我们在给付上述重大疾病保险金的基础上按本主合同的1倍基本保险金额额外给付少儿特定重大疾病保险金，本主合同终止。
身故保险金	被保险人在年满18周岁的保单周年日（不含）前身故，本公司将按被保险人发生身故时本主合同的已交保险费给付身故保险金，本主合同终止。被保险人在年满18周岁的保单周年日（含）后身故，本公司将按本主合同的基本保险金额给付身故保险金，本主合同终止。
全残保险金	被保险人在年满18周岁的保单周年日（不含）前全残（见释义6.9），本公司将按被保险人发生全残时本主合同已交保险费给付全残保险金，本主合同终止。被保险人在年满18周岁的保单周年日（含）后全残，本公司将按本主合同的基本保险金额给付全残保险金，本主合同终止。
