question	answer
1.1保险合同构成	本保险合同（以下简称本合同）由保险单、保险条款、投保单，以及与本合同有关的投保文件、合法有效的声明、批注、批单和其他书面协议共同构成。
1.2保险合同成立与生效	您提出保险申请、我们同意承保，本合同成立。本合同自我们同意承保、收取首期保险费并签发保险单开始生效，具体生效日以保险单所载的日期为准。本合同生效日以后每年的对应日是保单周年日。保单年度（见9.1）、保险费约定支付日和保单满期日均以该日期计算。如当月无对应同一日，则以该月最后一日作为对应日。
1.3投保年龄	指您投保时被保险人的年龄，本合同接受的投保年龄范围为出生满28天至60周岁（见9.2）。
1.4犹豫期	自您签收本合同次日起，有15日的犹豫期。在此期间请您认真审视本合同，如果您认为本合同与您的需求不相符，您可以在此期间提出解除本合同，我们将无息退还您所支付的全部保险费。解除本合同时，您需要填写申请书，并提供您的保险合同及有效身份证件（见9.3）。自我们收到您解除合同的书面申请时起，本合同即被解除，我们自始不承担保险责任。
我们提供的保障	
2.1基本年金金额	本合同的基本年金金额由您在投保时与我们约定并在保险单上载明。若该金额发生变更，则以变更后的金额为基本年金金额。
2.2未成年人身故保险金限制	为未成年子女投保的人身保险，因被保险人身故给付的保险金总和不得超过国务院保险监督管理机构规定的限额，身故给付的保险金额总和约定也不得超过前述限额。
2.3保险期间	本合同的保险期间为被保险人终身，自本合同生效之日起至本合同终止日止。
2.4保险责任	在本合同有效期内，我们承担如下保险责任：
等待期	自本合同生效起90日内（含90日当日），被保险人因意外伤害事故（见9.4）以外的原因发生保险事故的，我们不承担给付保险金的责任，我们向您退还所交保险费，本合同终止。这90日的时间称为等待期。被保险人因意外伤害事故发生保险事故的，无等待期。本合同约定的保险事故包括:（一）被保险人初次发生（见9.5）并被医院（见9.6）的专科医生（见9.7）确诊为本合同约定的特定疾病（见9.8）；（二）被保险人初次发生并被医院的专科医生确诊为本合同约定的重大疾病（见9.9）；（三）被保险人身故或全残(见9.10）
特定疾病保险金	被保险人初次发生并被医院的专科医生确诊为本合同约定的特定疾病，我们按本合同基本年金金额的20给付特定疾病保险金，但给付以一次为限，本合同继续有效。
重大疾病保险金身故或全残保险金	被保险人初次发生并被医院的专科医生确诊为本合同约定的重大疾病，我们按本合同基本年金金额给付重大疾病保险金，本合同终止。被保险人于年满十八周岁的保单周年日前身故或全残，我们按本合同所交保险费给付身故或全残保险金，本合同终止。被保险人于年满十八周岁的保单周年日（含当日）后身故或全残，我们按本合同基本年金金额给付身故或全残保险金，本合同终止。
