question	answer
2.2其他免责条款	除以上2.1责任免除外，本合同中还有其他免除百年人寿责任的条款，详见背景突出显示的内容。
如何支付保险费	
3.1保险费的交纳	本合同的交费频次和交费期间由您和百年人寿约定并在保险单上载明。分期支付保险费的，在交纳首期保险费后，您应当按照约定，在每个保险费约定交纳日交纳其余各期的保险费。
3.2宽限期	您交纳首期保险费后，如果您以后到期未交纳保险费，自保险费应交日起60日内为宽限期。宽限期内发生的保险事故，百年人寿仍会承担保险责任，但在给付保险金时会扣除您欠交的保险费。如果您在宽限期结束之后仍未交纳当期保险费，则本合同自宽限期满的次日零时起效力中止，但本合同另有约定的除外。本合同效力中止后2年内，您可以申请恢复合同效力。您应填写复效申请书，百年人寿会要求您提供被保险人的健康声明书、体检报告书及其他相关证明文件，百年人寿会对材料进行审核，做出是否同意复效的决定。经双方达成复效协议，自您补交保险费及利息（按本合同约定利率计算）和其他未还款项的次日零时起，合同效力恢复。自本合同效力中止之日起满2年双方未达成复效协议的，本合同效力终止，百年人寿向您退还本合同的现金价值。
如何领取保险金	
4.1受益人	被保险人为无民事行为能力人或限制民事行为能力人的，可以由其监护人指定受益人。受益人故意造成被保险人身故、伤残、疾病的，或者故意杀害被保险人未遂的，该受益人丧失受益权。除另有约定外，本合同重大疾病保险金的受益人为被保险人本人。
4.2保险事故通知	请您、被保险人、受益人或其他有权领取保险金的人在知道保险事故发生之日起10日内通知百年人寿，否则您、被保险人、受益人或其他有权领取保险金的人需承担由于延迟通知致使百年人寿增加的勘查、检验等费用，因不可抗力导致的通知延迟除外。如果您、被保险人、受益人或其他有权领取保险金的人故意或者因重大过失未及时通知百年人寿，致使保险事故的性质、原因、伤害程度等难以确定的，百年人寿对无法确定的部分，不承担给付保险金的责任，但百年人寿通过其他途径已经及时知道或者应当及时知道保险事故发生或者虽未及时通知但不影响百年人寿确定保险事故的性质、原因、损失程度的除外。
4.3保险金申请	申请各项保险金时，申请人应提供相关证明文件和资料。
4.3.1重大疾病保险金申请	申请人申请重大疾病保险金时，应提供下列证明文件和资料：（1）理赔申请书；（2）保险合同；（3）被保险人法定有效身份证明；（4）申请人的法定有效身份证明及关系证明；（5）能够证明符合约定重大疾病定义的百年人寿认可的医院出具的医学诊断书、医疗病历、检查报告以及其他医学证明文件或司法鉴定机构出具的法医鉴定报告；（6）申请人所能提供的与确认保险事故的性质、原因等有关的其他证明和资料。
4.3.2委托他人代为申请	若申请人委托他人代为申请保险金，受委托人还应提供申请人亲笔签字的授权委托书、受委托人的法定有效身份证明等相关证明文件。
