question	answer
1.1合同构成	本合同是您与我们约定保险权利义务关系的协议，包括本保险条款、保险单或其他保险凭证、投保单、与保险合同有关的投保文件、合法有效的声明、健康告知书、变更申请书、批注、批单及其他您与我们共同认可的书面协议。
1.2合同成立与生效	一、您提出保险申请、我们同意承保，本合同成立。二、除另有约定外，自本合同成立、本公司收取保险费并签发保险单后次日零时起本合同生效，生效日应载于保险单上。本公司自生效日的零时起开始承担本合同约定的保险责任。三、保单年度．．．．(见10.1)、保单周年日．．．．．(见10.2)、保险费应交日．．．．．．（见10.3）均以生效日进行计算。
1.3投保年龄	指投保时被保险人的年龄，投保年龄以周岁．．(见10.4)计算。
1.4犹豫期	一、您收到本合同并书面签收或按照本公司要求的其他方式对本合同进行确认之日起，有10日的犹豫期（通过商业银行投保的，犹豫期为15日）。在此期间请您仔细审阅本合同的各项内容，特别是责任免除条款、合同解除条款以及如实告知条款等内容。若您认为本合同与您的需求不相符，您可以在此期间提出解除本合同，我们将在扣除不超过10元的工本费后无息退还您所交纳的保险费。但经本公司体检的，本公司有权扣除体检费。二、您在犹豫期内提出解除合同时需填写解除合同申请书，并提供保险合同及您的有效身份证件．．．．．．(见10.5)。自我们收到解除合同申请书时起，本合同效力终止，我们自本合同生效日起不承担保险责任。
我们提供的保障	
2.1等待期	从本合同生效或最后复效之日起180天内（包括第180天），被保险人因疾病导致下列情形之一的：(1)身故；(2)首次患本合．．．．．同约定的重大疾病．．．．．．．．（见10.6；10.7）；(3)首次．．患本合同．．．．约定．．的轻症疾病．．．．．（见10.8；10.9）。本公司不承担保险责任，本公司向您无息返还已交保险费，本合同效力终止。这180天时间被称为等待期。因意外伤害．．．．（见10.10）发生上述情形之一的，无等待期。
2.2保险责任	在本合同有效期间内，我们按照以下约定承担保险责任：们将按累计已交纳的保险费给付身故保险金，本合同效力终止。若被保险人因意外伤害或于等待期后因疾病导致身故，且身故时年满十八周岁，我们将按本合同的基本保险金额给付身故保险金，本合同效力终止。
二、重大疾病保险金	本合同约定的重大疾病分为A、B、C、D四组，详细疾病分组信息请见重大疾病分．．．．组．（见10.11）。每组重大疾病保险金的给付次数以一次为限，给付后该组重大疾病的保险责任终止。本合同重大疾病保险金的累计给付次数以三次为限，当累计给付达到三次时，本合同效力终止。
（一）首次重大疾病保险金	若被保险人因意外伤害或于等待期后首次发病．．（见10.12）并经专科医生．．．．（见10.13）确诊首次患有本合同约定的重大疾病，我们将按本合同的基本保险金额给付首次重大疾病保险金（若被保险人同时符合一项以上重大疾病时，该给付以一次为限），给付后该重大疾病所属组别的保险责任终止。若我们已按照上述约定给付首次重大疾病保险金，则本合同的现金价值．．．．（见10.14）自首次重大疾病确诊之日起降低为零，同时，第一条身故保险金的保险责任与第三条轻症疾病保险金的保险责任均终止，我们仅继续承担重大疾病保险金的保险责任。
（二）第二次重大疾病保险金	在我们已按本合同的约定给付首次重大疾病保险金的情况下，若被保险人自首次重大疾病确诊之日起满180天后，经专科医生确诊首次患有本合同约定的除首次重大疾病所属组别以外其他组别中的任何一种重大疾病，我们将按本合同的基本保险金额给付第二次重大疾病保险金（若被保险人同时符合一项以上重大疾病时，该给付以一次为限），给付后该重大疾病所属组别的保险责任终止。
（三）第三次重大疾病保险金	在我们已按本合同的约定给付首次重大疾病保险金和第二次重大疾病保险金的情况下，若被保险人自第二次重大疾病确诊之日起满180天后，经专科医生确诊首次患有本合同约定的除首次重大疾病所属组别和第二次重大疾病所属组别以外其他组别中的任何一种重大疾病，我们将按本合同的基本保险金额向被保险人给付第三次重大疾病保险金（若被保险人同时符合一项以上重大疾病时，该给付以一次为限），本合同效力终止。
