question	answer
1.1合同订立	本保险条款、保险单或其他保险凭证、投保书、与保险合同有关的投保文件、合法有效的声明、批注、附贴批单、附加险合同、其他书面协议都是您与我们之间订立的保险合同的构成部分。长城吉康人生重大疾病保险合同以下简称为本主险合同。
1.2合同成立与生效	您提出保险申请且本公司同意承保，本主险合同成立，合同成立日期在保险单上载明。自本主险合同成立、本公司收取首期保险费并签发保险单的次日零时起本主险合同生效，具体生效日以保险单所载的日期为准。我们自生效日零时起开始承担本主险合同约定的保险责任。本主险合同生效日以后每年的对应日是保险单周年日。保险单年度、保险单月度、保险费到期日和保险单满期日均以该日期为基础计算。如果当月无对应的同一日，则以该月最后一日作为对应日。
1.3投保年龄	指投保时被保险人的年龄，投保年龄以周岁（见9.1）计算，本主险合同接受的投保年龄为0周岁（指出生满30日且已健康出院的婴儿）至60周岁。不同交费方式、交费期间及保险期间所接受的投保年龄区间会有所不同。
1.4犹豫期	自您签收本主险合同之日起，有10日的犹豫期。在此期间请您认真审视本主险合同，如果您认为本主险合同与您的需求不相符，您可以在此期间提出解除本主险合同，我们扣除不超过人民币10元的合同工本费后无息退还您所交纳的本主险合同对应的保险费。犹豫期内解除本主险合同时，您需要填写解除合同申请书，并提供您的保险合同及有效身份证件（见9.2）。自我们收到您解除合同的书面申请时起，本主险合同即被解除，对于合同解除前发生的保险事故，我们不承担保险责任。
1.5保险期间	本主险合同的保险期间由您与我们约定并在保险单上载明。保险期间自本主险合同生效日的零时起至保险单满期日的零时止。金额发生变更，则以变更后的金额为基本保险金额。
2.2未成年人身故保险金限制	为未成年人投保的人身保险，因被保险人身故给付的保险金总和不得超过国务院保险监督管理机构规定的限额，身故给付的保险金额总和约定也不得超过前述限额。
2.3保险责任	在本主险合同保险期间内且在本主险合同有效期内，我们承担如下保险责任：
轻症疾病保险金	若被保险人于本主险合同生效或最后一次复效之日起90日内（含第90日）因意外伤害（见9.3）以外的原因导致疾病且经专科医生（见9.4）明确诊断罹患（见9.5）本主险合同约定的轻症疾病（见9.6）的一种或多种，我们将向您返还本主险合同累计已交保险费（无息），同时本主险合同终止。若被保险人因意外伤害，或于本主险合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致疾病且经专科医生明确诊断初次罹患（见9.7）本主险合同约定的轻症疾病，我们将按本主险合同基本保险金额的30给付轻症疾病保险金。每种轻症疾病只给付一次轻症疾病保险金，给付后该种轻症疾病的保险责任终止。本主险合同轻症疾病保险金累计给付次数以三次为限，当累计次数达到三次时，本项保险责任终止。
中症疾病保险金	若被保险人于本主险合同生效或最后一次复效之日起90日内（含第90日）因意外伤害以外的原因导致疾病且经专科医生明确诊断罹患本主险合同约定的中症疾病（见9.8）的一种或多种，我们将向您返还本主险合同累计已交保险费（无息），同时本主险合同终止。若被保险人因意外伤害，或于本主险合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致疾病且经专科医生明确诊断初次罹患本主险合同约定的中症疾病，我们将按本主险合同基本保险金额的50给付中症疾病保险金。每种中症疾病只给付一次中症疾病保险金，给付后该种中症疾病的保险责任终止。本主险合同中症疾病保险金累计给付次数以两次为限，当累计次数达到两次时，本项保险责任终止。
重大疾病保险金	首次重大疾病保险金若被保险人于本主险合同生效或最后一次复效之日起90日内（含第90日）因意外伤害以外的原因导致疾病且经专科医生明确诊断罹患本主险合同约定的重大疾病（见9.9）的一种或多种，我们将向您返还本主险合同累计已交保险费（无息），同时本主险合同终止。若被保险人因意外伤害，或于本主险合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致疾病且经专科医生明确诊断初次罹患本主险合同约定的重大疾病，我们将按以下三者中的最大者给付首次重大疾病保险金，给付后首次重大疾病保险金的保险责任终止。（一）被保险人经专科医生明确诊断初次罹患该首次重大疾病时本主险合同的基本保险金额；（二）被保险人经专科医生明确诊断初次罹患该首次重大疾病时本主险合同的现金价值（见9.10）；（三）被保险人经专科医生明确诊断初次罹患该首次重大疾病时本主险合同累计已交保险费（无息）。如果被保险人罹患的疾病为一种重大疾病，该种重大疾病即为首次重大疾病；如果被保险人罹患的疾病为两种或两种以上重大疾病，则最先被专科医生明确诊断罹患的重大疾病为首次重大疾病。若我们已按上述约定给付首次重大疾病保险金，则本主险合同的现金价值自该首次重大疾病保险金给付之日起降为零，同时本主险合同约定的身故或全残保险金、轻症疾病保险金、中症疾病保险金、疾病终末期保险金的保险责任终止。第二次重大疾病保险金在我们已按本主险合同的约定给付首次重大疾病保险金后，被保险人自首次重大疾病确诊之日起1年后，经专科医生明确诊断初次罹患另外一种或多种重大疾病，我们将按本主险合同基本保险金额给付第二次重大疾病保险金，同时本主险合同终止。
急性心肌梗塞二次给付保险金	若被保险人罹患的首次重大疾病为本主险合同约定的急性心肌梗塞（见9.11），自确诊之日起5年后，再次经专科医生确诊患有本条款约定的急性心肌梗塞，则我们按照基本保险金额给付急性心肌梗塞二次给付保险金。本主险合同给付的急性心肌梗塞二次给付保险金以一次为限，给付后本项保险责任终止。如果首次重大疾病非急性心肌梗塞，则本项责任终止。
