question	answer
1您与我们的合同	
1.1附加合同订立	人保寿险附加人保福重大疾病保险合同（以下简称本附加合同）由主保险合同（以下简称主合同）投保人提出申请，经我们同意而订立。主合同条款适用于本附加合同，若主合同条款与本附加合同条款互有抵触，则以本附加合同条款为准。若本附加合同未在主合同保险单上或批注单上载明，本附加合同不发生效力。
1.2附加合同生效	本附加合同需与主合同同时投保，本附加合同的生效日期与主合同相同。
2您获得的保障	
2.1基本保险金额	本附加合同的基本保险金额由您在投保时与我们约定并在保险单或批注单上载明。若该金额发生变更，则以变更后的金额为基本保险金额。
2.2保险期间	除本附加合同另有约定外，本附加合同的保险期间与主合同相同。除本附加合同另有约定外，自本附加合同生效日起，我们开始承担保险责任。
2.3保险责任重大疾病保险金	在本附加合同有效期内，我们承担如下保险责任：被保险人自本附加合同生效（或最后复效）之日起180日内因意外伤害以外的原因，初次被确诊患有本附加合同约定的重大疾病（见5.4）（一种或多种），我们按本附加合同保险费（不计利息）给付重大疾病保险金，本附加合同终止。被保险人因遭受意外伤害或自本附加合同生效（或最后复效）之日起180日后因意外伤害以外的原因，初次被确诊患有本附加合同约定的重大疾病（一种或多种），我们按本附加合同的基本保险金额给付重大疾病保险金，本附加合同终止。
现代病特别保险金	被保险人于年满75周岁后的首个保单年生效对应日零时之前，因遭受意外伤害或自本附加合同生效（或最后复效）之日起180日后因意外伤害以外的原因，初次被确诊患有本附加合同约定的现代病（见5.5）（一种或多种），我们除给付重大疾病保险金外，再按本附加合同基本保险金额的30给付现代病特别保险金，本附加合同终止。
轻症疾病保险金	被保险人因意外伤害或自本附加合同生效（或最后复效）之日起180日后因意外伤害以外的原因，初次被确诊患有本附加合同约定的轻症疾病（见5.6）（一种或多种），我们按本附加合同基本保险金额的20给付轻症疾病保险金。每种轻症疾病限给付一次，每次给付金额最高为人民币10万元，给付后该种轻症疾病保险金保险责任终止。本附加合同的轻症疾病保险金累计给付以三次为限，当累计给付的轻症疾病保险金达到三次时，轻症疾病保险金保险责任终止，本附加合同继续有效。若被保险人因同一原因导致其被确诊患有本附加合同所约定的两种或者两种以上的轻症疾病，我们仅按一种轻症疾病给付轻症疾病保险金。若申请轻症疾病保险金时被保险人所患疾病已满足重大疾病保险金或现代病特别保险金给付条件，我们将给付重大疾病保险金或现代病特别保险金，不再给付轻症疾病保险金。
身故或全残保险金	被保险人自本附加合同生效（或最后复效）之日起180日内因意外伤害以外的原因导致身故或全残，或被保险人于年满18周岁后的首个保单年生效对应日零时之前身故或全残，我们按本附加合同保险费（不计利息）给付身故或全残保险金，本附加合同终止。本附加合同保险费按照被保险人初次被确诊重大疾病、身故或全残时的本附加合同基本保险金额确定的趸交保险费或期交保险费和已交纳保险费的期数计算。本附加合同所列重大疾病保险金、身故或全残保险金的给付以1种和1次为限。我们在给付现代病特别保险金或按本附加合同基本保险金额给付重大疾病保险金的同时，主合同的基本保险金额按本附加合同的基本保险金额等额减少；主合同约定的各项保险责任、保险费及保险单上载明的现金价值按减少后的主合同基本保险金额确定。当主合同基本保险金额减少至零时，主合同终止。
2.4责任免除	因下列情形之一，导致被保险人发生重大疾病、现代病或轻症疾病、达到重大疾病、现代病或轻症疾病状态以及进行手术，我们不承担给付重大疾病保险金、现代病特别保险金和轻症疾病保险金的责任：（1）您对被保险人的故意杀害、故意伤害；（2）被保险人故意自伤、故意犯罪或者抗拒依法采取的刑事强制措施；（3）被保险人主动吸食或注射毒品；（4）被保险人酒后驾驶、无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车；（5）被保险人感染艾滋病病毒或患艾滋病（见5.1）（被保险人感染艾滋病病毒但符合本附加合同经输血导致的人类免疫缺陷病毒感染和因职业关系导致的人类免疫缺陷病毒感染定义的不在此限）；（6）战争、军事冲突、暴乱或武装叛乱；（7）核爆炸、核辐射或核污染；（8）遗传性疾病（见5.2），先天性畸形、变形或染色体异常（见5.3），但本附加合同另有约定的除外。发生上述第（1）项情形，本附加合同终止，我们向被保险人退还本附加合同的现金价值。发生上述其他情形，本附加合同终止，我们向您退还本附加合同的现金价值。
3您的义务和权利	
3.1保险费的交纳	本附加合同保险费的交纳方式与主合同相同。
3.2犹豫期	您于签收本附加合同后15日内，可要求撤销本附加合同。若您在此期间提出撤销本附加合同，需要填写书面申请书，并提供您的保险合同及有效身份证件。自您书面申请撤销本附加合同之日起，本附加合同即被撤销，我们自本附加合同生效日起即不承担保险责任。本附加合同撤销后30日内，我们无息退还您已交保险费。您申请撤销本附加合同时须同时申请撤销主合同。
3.3您解除合同的手续及风险	若您在犹豫期后申请解除本附加合同，请填写解除合同申请书并向我们提供下列资料：（1）保险合同；（2）您的有效身份证件。自我们收到解除合同申请书时起，本附加合同终止。我们自收到解除合同申请书之日起30日内向您退还本附加合同的现金价值。您申请解除本附加合同时须同时申请解除主合同。您犹豫期后解除本附加合同会遭受一定损失。
3.4效力终止	当发生下列情形之一时，本附加合同效力自动终止：（1）主合同效力终止；（2）因本附加合同条款所列其他情况而终止。
4如何申请领取保险金	
4.1受益人	您或者被保险人可以指定一人或多人为身故保险金受益人。身故保险金受益人为多人时，可以确定受益顺序和受益份额；若没有确定份额，各受益人按照相等份额享有受益权。被保险人为无民事行为能力人或限制民事行为能力人的，可以由其监护人指定受益人。您或者被保险人可以变更身故保险金受益人并书面通知我们。我们收到变更受益人的书面通知后，在保险单或其他保险凭证上批注或附贴批单。您在指定和变更身故保险金受益人时，必须经过被保险人同意。除本附加合同另有指定外，重大疾病保险金、现代病特别保险金、轻症疾病保险金和全残保险金的受益人为被保险人本人。被保险人身故后，有下列情形之一的，保险金作为被保险人的遗产，由我们依照中华人民共和国继承法的规定履行给付保险金的义务：（1）没有指定受益人，或者受益人指定不明无法确定的；（2）受益人先于被保险人身故，没有其他受益人的；（3）受益人依法丧失受益权或者放弃受益权，没有其他受益人的。受益人与被保险人在同一事件中身故，且不能确定身故顺序的，推定受益人身故在先。受益人故意造成被保险人身故、伤残、疾病的，或者故意杀害被保险人未遂的，该受益人丧失受益权。
4.2保险金申请重大疾病保险金、现代病特别保险金、轻症疾病保险金申请	在申请保险金时，请按照下列方式办理：在申请重大疾病保险金、现代病特别保险金、轻症疾病保险金时，申请人须填写保险金给付申请书，并提供下列证明和资料：（1）保险合同；（2）申请人的有效身份证件；（3）我们认可的医院出具的疾病诊断证明书、病历记录和确诊疾病必要的病理检验、血液检验、影像学检查及其他科学方法的检查报告。我们保留就疾病诊断咨询其他医疗专家的权利；（4）所能提供的与确认保险事故的性质、原因等相关的其他证明和资料。
身故保险金申请全残保险金申请	与主合同相同。与主合同相同。保险金作为被保险人遗产时，必须提供可证明合法继承权的相关权利文件。以上证明和资料不完整的，我们将及时一次性通知申请人补充提供有关证明和资料。
4.3诉讼时效	受益人向我们请求给付保险金的诉讼时效期间为2年，自其知道或者应当知道保险事故发生之日起计算。
5您需要了解的重要术语	
5.1感染艾滋病病毒或患艾滋病	艾滋病病毒指人类免疫缺陷病毒，英文缩写为HIV。艾滋病指人类免疫缺陷病毒引起的获得性免疫缺陷综合征，英文缩写为AIDS。在人体血液或其它样本中检测到艾滋病病毒或其抗体呈阳性，没有出现临床症状或体征的，为感染艾滋病病毒；若同时出现了明显临床症状或体征的，为患艾滋病。
5.2遗传性疾病	指生殖细胞或受精卵的遗传物质（染色体和基因）发生突变或畸变所引起的疾病，通常具有由亲代传至后代的垂直传递的特征。
