question	answer
1.1保险合同构成	本保险合同（以下简称本合同）指您与我们之间订立的国华超级至尊保终身重大疾病保险合同。本合同由保险单、保险条款、投保单，以及与本合同有关的投保文件、合法有效的声明、批注、批单和其他书面协议共同构成。
1.2保险合同成立与生效	您提出保险申请、我们同意承保，本合同成立。本合同自我们同意承保、收取首期保险费并签发保险单开始生效，具体生效日以保险单所载的日期为准。保单周年日（见10.1）、保单年度（见10.2）和保险费约定支付日（见10.3）均以本合同生效日计算。如当月无对应同一日，则以该月最后一日作为对应日。
1.3犹豫期	从您首次收到本合同并书面签收之日起，有15日的犹豫期。在犹豫期内请您认真审视本合同，如果您认为本合同与您的需求不相符，您可以在此期间提出解除本合同，我们将会扣除不超过人民币10元的工本费后无息退还您所支付的保险费。解除本合同时，您需要填写解除合同申请书，并提供您的保险合同及有效身份证件（见10.4）。自我们收到您的解除合同申请书时起，本合同即被解除，合同解除前发生的保险事故我们不承担保险责任。
2.1保险期间	本合同的保险期间为终身。除合同另有约定外，本合同的保险期间自本合同生效日起，至被保险人身故时止。
2.2投保条件	您和被保险人必须符合以下条件：
投保人条件被保险人条件	凡年满18周岁（见10.5），具有完全民事行为能力且对被保险人具有保险利益的人，均可作为本合同的投保人。被保险人就是受本合同保障的人，凡投保时身体健康，且符合我们承保条件的人，均可作为本合同的被保险人。
2.3保险金额	本合同各项保险金额由您在投保时与我们约定并在保险单上载明，投保时的各项保险金额须符合我们当时的投保规定。
2.4保险责任	本合同的保险责任分为基本部分和可选部分。在投保基本部分的基础上，您可与我们约定选择投保可选部分，所选择的内容以在保险单中载明的为准。所选的保险责任一经确定，在合同有效期间内不得更改。在本合同有效期内，我们承担如下保险责任：
等待期	在本合同生效（或最后一次复效，以较迟者为准）日起90日内（含90日当日），被保险人因意外伤害事故（见10.6）以外的原因发生本合同约定的保险事故的，我们不承担保险责任。我们向您退还本合同已交保险费，本合同终止。这90日的时间称为等待期。因意外伤害事故发生本合同约定的保险事故的无等待期。如被保险人在等待期后发生本合同约定的保险事故，我们按下列方式给付保险金：
基本部分	
重大疾病保险金	被保险人初次发生（见10.7）并被医院（见10.8）的专科医生（见10.9）确诊患有本合同约定的重大疾病（见10.10），我们按本合同的重大疾病保险金额给付重大疾病保险金，本合同终止。
可选部分	
轻症疾病保险金	被保险人初次发生并被医院的专科医生确诊患有本合同约定的轻症疾病（见10.11），我们按本合同的轻症疾病保险金额给付轻症疾病保险金，该项保险责任终止。
轻症疾病豁免保险费身故保险金男女特定疾病保险金	被保险人初次发生并被医院的专科医生确诊患有本合同约定的轻症疾病，我们豁免自确诊日后本合同应交的剩余各期保险费。被豁免的保险费视为已交纳，本合同继续有效。若被保险人身故，我们按被保险人身故时本合同已交保险费给付身故保险金，本合同终止。若被保险人为男性，则被保险人初次发生并被医院的专科医生确诊患有重大疾病中本合同约定的男性特定疾病（见10.12），我们将按本合同的男女特定疾病保险金额给付男女特定疾病保险金，本合同终止。若被保险人为女性，则被保险人初次发生并被医院的专科医生确诊患有重大疾病中本合同约定的女性特定疾病（见10.13），我们将按本合同的男女特定疾病保险金额给付男女特定疾病保险金，本合同终止。若您在投保时与我们约定选择投保轻症疾病保险金或轻症疾病豁免保险费，如被保险人确诊初次发生本合同约定的轻症疾病的同时或之前，确诊初次发生了本合同约定的重大疾病，我们不再承担轻症疾病相应的保险责任，只给付重大疾病保险金。若您在投保时与我们约定选择投保身故保险金，上述身故保险金、重大疾病保险金两项保险金，我们仅给付其中一项，给付后，本合同终止。
