question	answer
1.1合同构成	本合同是您与我们约定保险权利义务关系的协议，包括本保险条款、保险单或其他保险凭证、投保单、与保险合同有关的投保文件、合法有效的声明、健康告知书、变更申请书、批注、批单及其他您与我们共同认可的书面协议。
1.2合同成立与生效	一、您提出保险申请、我们同意承保，本合同成立。二、本合同生效日在保险单上载明。保单年度、保单周年日、保险费约定支付日均以该日期计算。
1.3投保年龄	指投保时被保险人的年龄，投保年龄以周岁计算，本合同接受的投保年龄为0周岁（出生且出院满28日）至55周岁（含55周岁）。
1.4犹豫期	一、您收到本合同并签收之日起10日内（含第10日，保险监督管理机构对犹豫期天数另有规定的，从其规定）为犹豫期，在此期间请您仔细审阅本合同的各项内容，特别是责任免除条款、合同解除条款以及如实告知等内容。若您认为本合同与您的需求不相符，您可以在此期间提出解除本合同，我们将在扣除不超过10元的工本费后无息退还您所交纳的保险费。二、您在犹豫期内提出解除合同时需填写解除合同申请书，并提供保险合同及您的有效身份证件。自我们收到解除合同申请书时起，本合同即被解除，对于合同解除前发生的保险事故，我们不承担保险责任。
我们提供的保障	
2.1保险责任	在本合同有效期间内，我们按照以下约定承担保险责任：意外伤害以外的原因导致初次患本合同所列的轻症疾病，我们将按本合同基本保险金额的30给付轻症疾病保险金。每种轻症疾病只给付一次轻症疾病保险金，给付后该种轻症疾病保险金保险责任终止，本合同的轻症疾病保险金累计给付以三次为限。二、若被保险人因同一疾病原因、同次医疗行为或同次意外伤害事故导致初次患本合同所列的两种或两种以上轻症疾病，我们仅按一种轻症疾病给付轻症疾病保险金。三、若被保险人所患的轻症疾病同时符合本合同所列的轻症疾病定义和本合同所列的中症疾病定义的，我们仅承担给付中症疾病保险金的保险责任。四、若被保险人所患的轻症疾病同时符合本合同所列的轻症疾病定义和本合同所列的重大疾病定义的，我们仅承担给付重大疾病保险金的保险责任。意外伤害以外的原因导致初次患本合同所列的中症疾病，我们将按本合同基本保险金额的50给付中症疾病保险金。每种中症疾病只给付一次中症疾病保险金，给付后该种中症疾病保险金保险责任终止，本合同的中症疾病保险金累计给付以两次为限。二、若被保险人因同一疾病原因、同次医疗行为或同次意外伤害事故导致初次患本合同所列的两种或两种以上中症疾病，我们仅按一种中症疾病给付中症疾病保险金。三、若被保险人所患的中症疾病同时符合本合同所列的中症疾病定义和本合同所列的重大疾病定义的，我们仅承担给付重大疾病保险金的保险责任。本合同所列的重大疾病分为A、B、C、D、E五组，具体分组信息请见重大疾病险责任终止。本合同重大疾病保险金的累计给付次数以五次为限，当累计给付达到五次时，本合同终止。若被保险人因同一疾病原因、同次医疗行为或同次意外伤害事故导致初次患本合同所列的两种或两种以上重大疾病，我们仅按一种重大疾病给付重大疾病保险金。一、首次重大疾病保险金若被保险人于本合同生效或最后一次复效之日起90日内（含第90日）因意外伤害以外的原因导致初次患本合同所列的重大疾病的一种或多种，我们将按已交保险费给付重大疾病保险金，同时本合同终止。若被保险人因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致初次患本合同所列的重大疾病的一种或多种，我们将按以下三项的较大者给付首次重大疾病保险金，给付后该重大疾病所属组别的保险责任以及轻症疾病保险金、中症疾病保险金、身故保险金、全残保险金、疾病终末期保险金的保险责任均终止，同时本合同自首次重大疾病确诊之日起现金价值降为零，我们将继续承担其他组别重大疾病保险金的保险责任：(一)被保险人首次重大疾病确诊之日本合同的基本保险金额；(二)被保险人首次重大疾病确诊之日的已交保险费；(三)被保险人首次重大疾病确诊之日的现金价值。二、第二次重大疾病保险金我们给付首次重大疾病保险金后，若被保险人于首次重大疾病确诊之日起180日后初次患本合同所列的重大疾病中除首次重大疾病所属组别以外的其他组别中的重大疾病的一种或多种，我们将按本合同基本保险金额给付第二次重大疾病保险金，给付后该重大疾病所属组别的保险责任终止。三、第三次重大疾病保险金我们给付第二次重大疾病保险金后，若被保险人于第二次重大疾病确诊之日起180日后初次患本合同所列的重大疾病中除前述二次重大疾病所属组别以外的其他组别中的重大疾病的一种或多种，我们将按本合同基本保险金额给付第三次重大疾病保险金，给付后该重大疾病所属组别的保险责任终止。四、第四次重大疾病保险金我们给付第三次重大疾病保险金后，若被保险人于第三次重大疾病确诊之日起180日后初次患本合同所列的重大疾病中除前述三次重大疾病所属组别以外的其他组别中的重大疾病的一种或多种，我们将按本合同基本保险金额给付第四次重大疾病保险金，给付后该重大疾病所属组别的保险责任终止。五、第五次重大疾病保险金我们给付第四次重大疾病保险金后，若被保险人于第四次重大疾病确诊之日起180日后初次患本合同所列的重大疾病中除前述四次重大疾病所属组别以外的其他组别中的重大疾病的一种或多种，我们将按本合同基本保险金额给付第五次重大疾病保险金，给付后本合同终止。
身故保险金	一、若被保险人于本合同生效或最后一次复效之日起90日内（含第90日）因意外伤害以外的原因导致身故，我们将按已交保险费给付身故保险金，同时本合同终止。二、若被保险人于年满18周岁前，因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致身故，我们将按已交保险费的2倍给付身故保险金，同时本合同终止。三、若被保险人于年满18周岁后，因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致身故，我们将按以下三项的较大者给付身故保险金，同时本合同终止：(一)被保险人身故时本合同的基本保险金额；(二)被保险人身故时的已交保险费；(三)被保险人身故时的现金价值。
全残保险金	一、若被保险人于本合同生效或最后一次复效之日起90日内（含第90日）因意外伤害以外的原因导致全残，我们将按已交保险费给付全残保险金，同时本合同终止。二、若被保险人于年满18周岁前，因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致全残，我们将按已交保险费的2倍给付全残保险金，同时本合同终止。三、若被保险人于年满18周岁后，因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致全残，我们将按以下三项的较大者给付全残保险金，同时本合同终止：(一)被保险人全残时本合同的基本保险金额；(二)被保险人全残时的已交保险费；(三)被保险人全残时的现金价值。
疾病终末期保险金	一、若被保险人于本合同生效或最后一次复效之日起90日内（含第90日）因意外伤害以外的原因导致初次被专科医生确诊达到疾病终末期阶段，我们将按已交保险费给付疾病终末期保险金，同时本合同终止。二、若被保险人于年满18周岁前，因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致初次被专科医生确诊达到疾病终末期阶段，我们将按已交保险费的2倍给付疾病终末期保险金，同时本合同终止。三、若被保险人于年满18周岁后，因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致初次被专科医生确诊达到疾病终末期阶段，我们将按以下三项的较大者给付疾病终末期保险金，同时本合同终止：(一)被保险人疾病终末期确诊之日本合同的基本保险金额；(二)被保险人疾病终末期确诊之日的已交保险费；(三)被保险人疾病终末期确诊之日的现金价值。分期支付保险费的，已交保险费按照首次重大疾病或疾病终末期确诊之日、身故或全残时本合同的基本保险金额确定的年交保险费与交费年度数计算。一次性交纳保险费的，已交保险费按照首次重大疾病或疾病终末期确诊之日、身故或全残时本合同的基本保险金额确定的一次性交纳的保险费计算。重大疾病保险金、身故保险金、全残保险金与疾病终末期保险金，我们仅给付其中一项。
轻症疾病或中症疾病豁免保险费	若被保险人因意外伤害或于本合同生效或最后一次复效之日起90日后因意外伤害以外的原因导致初次患本合同所列的轻症疾病或中症疾病，我们将豁免本合同自轻症疾病或中症疾病确诊之日以后的各期保险费。
