question	answer
1您与我们订立的合同	
1.1合同构成	合同构成本合同由保险条款、保险单、投保单、电子协议书、与本合同有关的其他投保文件、合法有效的声明和批注及其它约定书构成。若构成本合同的文件正本我们需要存档，则其复印件或电子影像印刷件亦视为本合同及其附加合同的构成部分，其效力与正本相同；若复印件或电子影像印刷件的内容与正本不同，则以正本为准。
1.2投保范围	投保范围本合同接受的被保险人投保年龄（见释义）为出生满三十天至六十周岁（见释义）。
1.3合同成立与生效	合同成立与生效您提出投保申请，我们同意承保，本合同成立，合同成立日期在保险单上载明。自本合同成立、我们收取首期保险费并签发保险单的次日零时起本合同生效，具体的合同生效日期在保险单上载明。除另有约定外，本合同生效的日期为我们开始承担保险责任的日期。本合同生效日以后每年的保单周年日（见释义）、保单年度（见释义）、保单月份、保险费约定支付日均以该日期计算。
1.4犹豫期	犹豫期自您签收本合同的次日起，有十五日的犹豫期。在此期间，请您认真审视本合同，如果您认为本合同与您的需求不相符，您可以在此期间提出解除本合同，我们将在扣除工本费后无息退还您所交纳的保险费。解除合同时，您需要完整填写申请书并亲笔签名后，连同保险合同一起送达或邮寄给我们。本合同自我们收到您的申请书的当日零时起正式解除。我们自本合同生效日起自始不承担保险责任。
2我们提供的保障	
2.1基本保险金额	基本保险金额本合同的基本保险金额由您于投保时与我们约定，并在保险单或批注上载明。若该金额发生变更，则以变更后的金额为基本保险金额。
2.2未成年人身故保险金限制	未成年人身故保险金限制为未成年子女投保的人身保险，因被保险人身故而给付的保险金总和不得超过国务院保险监督管理机构规定的限额，身故给付的保险金额总和约定也不得超过前述限额。
2.3保险期间	保险期间本合同的保险期间自本合同生效日的零时起至被保险人终身。
2.4等待期	等待期本合同生效（或最后一次复效，以较迟者为准）日起九十天内（含第九十天）为本合同的等待期。被保险人因遭受意外伤害（见释义）而导致身故或首次发病（见释义）并被确诊患有本合同约定的重大疾病（见释义）或轻症疾病（见释义），则不受等待期的限制。
2.5保险责任	保险责任在本合同有效期间内，我们承担下列保险责任：
