question	answer
第一条保险合同的构成	本保险合同（以下简称本合同）由保险单、保险条款、投保单、投保提示以及与本合同有关的投保文件、合法有效的声明、批注和其他书面协议共同构成。
第二条投保年龄	投保年龄指投保时被保险人的年龄，投保年龄以周岁(见释义1)计算。本合同的投保年龄由您和我们约定，并在保险合同中载明。
第三条保险合同的成立与生效	您向我们提出投保申请且我们同意承保，本合同成立。自本合同成立且我们收取保险费并签发保险单后，本合同生效。本合同的生效时间以保险单载明的日期为准，我们自本合同生效日的零时起开始承担保险责任。本合同的保险单周年日(见释义2)、保险单年度(见释义3)、保险单月份、保险费到期日(见释义4)和保险单满期日均以本合同生效日为基础计算。
第四条保险期间	本合同的保险期间为终身，自本合同生效日零时起计算。
第五条保险费的支付	本合同的保险费与支付方式由您和我们约定，并在保险合同中载明。如果您选择分期支付保险费，在支付首期保险费以后，您应按照约定在每个保险费到期日向我们支付续期保险费。
第六条基本保险金额	本合同的基本保险金额由您在投保时与我们约定，并在保险单上载明。
第七条保险合同的中止	发生下列情况之一时，本合同中止：一、保险单借款后，本合同现金价值净额为零时；二、若您选择分期支付保险费，且在宽限期结束时，您仍未付清当期保险费；三、本合同条款所列其他中止情形。特别提示与说明：在本合同效力中止期间，我们不承担保险责任。
第八条保险合同的终止	发生下列情况之一时，本合同终止：一、您申请解除本合同；二、被保险人身故或达到本合同所定义的高度残疾；三、被保险人患有本合同所定义的重大疾病或已达到疾病终末期阶段；四、因本合同条款所列情形而效力中止，且在2年内未按合同效力的恢复条款办理复效；五、本合同条款所列其他终止情形。
第二部分我们提供的保障	
第九条保险责任	在本合同有效期内，我们承担下列保险责任：
一.轻症疾病保险金	若被保险人于本合同生效（或最后复效）之日起90日内（含当日）因意外伤害（见释义5）以外的原因，确诊首次患有（见释义6）本合同所定义的轻症疾病（见释义7）中的任意一种或多种，我们将按本合同已交保险费的105向被保险人给付轻症疾病保险金，本合同终止。若被保险人因意外伤害或于本合同生效（或最后复效）之日起90日后因意外伤害以外的原因，确诊首次患有本合同所定义的轻症疾病，我们将按本合同基本保险金额的30向被保险人给付轻症疾病保险金。特别提示和说明：
1、若被保险人因意外伤害或于本合同生效（或最后复效）之日起90日后因意外伤害以外的原因，	确诊首次患有本合同所定义的轻症疾病，每种轻症疾病我们仅给付一次轻症疾病保险金，给付后该种轻症疾病保险金责任终止。但其他不同种类的轻症疾病可以再行给付，本合同的轻症疾病保险金累计给付次数以三次为限。当轻症疾病保险金给付次数达到三次时，轻症疾病保险金保险责任终止，本合同继续有效。
2、如果被保险人因同一原因导致其首次患有本合同所定义的两种或两种以上的轻症疾病，我们仅	按其中一种轻症疾病给付轻症疾病保险金。
二.轻症疾病豁免保险费	若被保险人因意外伤害或于本合同生效（或最后复效）之日起90日后（不含当日）因意外伤害以外的原因，确诊首次患有本合同所定义的轻症疾病中的任意一种或多种，自确诊日后首个保险费到期日开始至最后一期保险费到期日止，我们豁免上述期间内您应支付的本合同保险费，本项保险责任终止，本合同继续有效。
三.中症疾病保险金	若被保险人于本合同生效（或最后复效）之日起90日内（含当日）因意外伤害以外的原因，确诊首次患有本合同所定义的中症疾病（见释义8）中的任意一种或多种，我们将按本合同已交保险费的105向被保险人给付中症疾病保险金，本合同终止。若被保险人因意外伤害或于本合同生效（或最后复效）之日起90日后因意外伤害以外的原因，确诊首次患有本合同所定义的中症疾病中的任意一种或多种，我们将按本合同基本保险金额的50向被保险人给付一次中症疾病保险金，本项保险责任终止，本合同继续有效。
