question	answer
第一条保险合同的构成	保险合同由基本保险合同（以下简称本合同）及附加保险合同（若有）构成，其组成文件如下：一、保险单或其他保险凭证；二、条款；三、投保单客户联或复印件和与保险合同有关的投保文件客户联或复印件、合法有效的声明、批注、附贴批单及其他书面协议。
第二条犹豫期	自投保人签收本合同当日（含当日）起的十五日为犹豫期。犹豫期内投保人要求撤销本合同的，由投保人填写申请书，并提供保险合同、投保人身份证明及保险费发票，本公司术语释义一将退还已收保险费；自本公司收到投保人撤销合同的书面申请时起，本合同视作自始无效，本公司不承担任何保险责任。
第二部分	本公司提供的保障
第三条基本保险金额	本合同的基本保险金额载明于保险单或批注上。若该金额发生变更，则以变更后的金额为本合同的基本保险金额。
第四条保险责任	在本合同有效期内，本公司将承担下列保险责任：
一、身故保险金	若被保险人身故，本公司将根据被保险人身故时间的不同，按照下列约定分别给付身故保险金及其利息术语释义二，本合同随之终止；身故保险金的利息将自被保险人身故之日起计算，但最长不超过一年:（一）若被保险人在年满十八周岁术语释义三之前身故，身故保险金为下列两项金额中的较大者：1、身故日本合同的现金价值术语释义四；2、本合同累计所缴保险费。（二）若被保险人在年满十八周岁之后身故，身故保险金为下列三项金额中的最大者：1、本合同的基本保险金额；2、身故日本合同的现金价值；3、本合同累计所缴保险费。
二、重大疾病保险金	
1、首次重大疾病保险金	若被保险人在等待期术语释义五内因疾病经医院术语释义六确诊首次出现本合同约定的重大疾病重大疾病释义，本公司将按照重大疾病确诊时本合同所有累计已缴保险费给付首次重大疾病保险金，本合同随之终止。若被保险人因意外伤害术语释义七或在等待期后因疾病经医院确诊首次出现本合同约定的重大疾病，本公司将按照本合同的基本保险金额给付首次重大疾病保险金(若重大疾病所属组别重大疾病所属组别为E组，则本公司将按照本合同的基本保险金额的120给付首次重大疾病保险金)，且豁免自首次重大疾病确诊之日后的第一个保险费应缴日起本合同的各期应缴保险费，本项保险责任终止。若本公司已给付首次重大疾病保险金，则本合同的现金价值自首次重大疾病确诊之日起降低为零，同时本公司不再承担给付身故保险金、轻症疾病保险金和生命末期保险金的保险责任。
2、第二次重大疾病保险金	在本公司按本合同的约定已经给付首次重大疾病保险金的情况下，若被保险人自首次重大疾病确诊之日起满180天后，首次出现本合同约定的除首次重大疾病所属组别以外其他四组中的任何一种重大疾病，本公司将按照本合同的基本保险金额给付第二次重大疾病保险金(若重大疾病所属组别为E组，则本公司将按照本合同的基本保险金额的120给付第二次重大疾病保险金)，本项保险责任终止。
3、第三次重大疾病保险金	在本公司按本合同的约定已经给付首次重大疾病保险金和第二次重大疾病保险金的情况下，若被保险人自第二次重大疾病确诊之日起满180天后，首次出现本合同约定的除首次重大疾病和第二次重大疾病所属组别以外其他三组中的任何一种重大疾病，本公司将按照本合同的基本保险金额给付第三次重大疾病保险金(若重大疾病所属组别为E组，则本公司将按照本合同的基本保险金额的120给付第三次重大疾病保险金)，本合同终止。
三、白血病关爱保险金	本公司按本合同的约定给付重大疾病保险金时，若被保险人所患重大疾病是白血病术语释义八，则本公司将按本合同基本保险金额的50额外给付白血病关爱保险金，本项保险责任终止。
四、轻症疾病保险金	若被保险人因意外伤害或在等待期后因疾病经医院确诊首次出现本合同约定的轻症疾病轻症疾病释义，且轻症疾病的确诊是医生在被保险人未满70周岁时作出的，本公司将按本合同的基本保险金额的20给付轻症疾病保险金，且豁免自该轻症疾病确诊之日后的第一个保险费应缴日起本合同的各期应缴保险费，本项保险责任终止。若被保险人所患疾病既符合本合同约定的重大疾病释义又符合轻症疾病释义的，本公司仅承担给付重大疾病保险金的保险责任。
五、生命末期保险金	若被保险人因意外伤害或在等待期后因疾病经医院确诊出现本合同约定的生命末期阶段术语释义九，本公司将按照本合同的基本保险金额给付生命末期保险金，本合同终止。若被保险人所患疾病既符合本合同约定的重大疾病释义又符合生命末期阶段释义的，本公司仅承担给付重大疾病保险金的保险责任。
第五条责任免除	因下列情形之一直接或间接导致被保险人身故的，本公司不承担给付身故保险金的保险责任：一、投保人对被保险人的故意杀害、故意伤害；二、被保险人故意犯罪或者抗拒依法采取的刑事强制措施；三、被保险人自本合同成立日（若曾复效，则以最后复效日为准）起二年内自杀，但被保险人自杀时为无民事行为能力人的除外；四、战争、军事冲突、暴乱或武装叛乱；五、核爆炸、核辐射或核污染。发生上述第一项情形导致被保险人身故的，本合同终止，本公司向被保险人的继承人退还本合同当时的现金价值；发生上述其他情形导致被保险人身故的，本合同终止，本公司向投保人退还本合同当时的现金价值。因下列情形之一直接或间接导致被保险人发生疾病、达到疾病状态或进行手术的，本公司不承担给付重大疾病保险金、白血病关爱保险金、轻症疾病保险金和生命末期保险金的保险责任：一、投保人对被保险人的故意杀害、故意伤害；二、被保险人故意自伤、故意犯罪或拒捕；三、被保险人服用、吸食或注射毒品术语释义十；四、被保险人感染艾滋病病毒或患艾滋病术语释义十一；五、战争、军事冲突、暴乱或武装叛乱；六、核爆炸、核辐射或核污染；七、遗传性疾病术语释义十二，先天性畸形、变形或染色体异常术语释义十三。
第六条未成年人身故保险金的限制	为未成年人投保的人身保险，在被保险人成年之前，因被保险人身故给付的保险金总和不得超过国务院保险监督管理机构规定的限额。
第七条合同的成立与生效	投保人向本公司投保并缴纳首期保险费，经本公司同意承保，本合同成立。本公司签发本合同作为同意承保的标志。除投保人与本公司在投保单或保险合同其他构成文件中另有约定外，本合同自成立当日的24时生效。保险合同周年日术语释义十四、保单年度、缴费期满日和保险合同期满日均以保险单上注明的保险合同生效日为计算标准。
第八条保险期间	本合同的保险期间为终身，自保险单上载明的保险合同生效日起，至被保险人身故时止。
第三部分	如何缴纳保险费
第九条保险费	投保人在支付首期保险费后，应按保险费应缴日支付其余各期的保险费，直至保险单上注明的缴费期满日为止。保险费应缴日为保险合同生效日依据投保人选择的缴费周期所对应的日期；当月无对应日期的，以该月的最后一日为保险费应缴日。
第十条宽限期	首期后的分期保险费到期未缴付的，自保险费应缴日的次日起六十日为宽限期。在宽限期内发生保险事故的，本公司仍承担保险责任。首期后的分期保险费在宽限期满后仍未缴付且未能自动贷款垫缴保险费的，保险合同效力即中止；效力中止期间，本公司不承担保险责任。
第四部分	投保人还享有哪些权益
第十一条	自动贷款垫缴保险费除本合同另有约定外，首期后的分期保险费在宽限期满后仍未缴付的，若保险合同当时的现金价值净额术语释义十五足以垫缴应缴保险费，本公司将自动提供贷款垫缴保险费，以使保险合同继续有效。若保险合同当时的现金价值净额不足以垫缴当时到期的月缴保险费，保险合同效力中止；效力中止期间，本公司不承担保险责任。若本合同附有附加保险合同，本合同及其附加保险合同均不得单独自动贷款垫缴保险费。
第十二条	合同效力恢复本合同效力中止后二年内，若投保人申请恢复合同效力，应填写复效申请书，并向本公司提供被保险人的健康证明，在投保人补缴所欠缴的保险费及其利息、保险合同贷款（含自动贷款垫缴保险费）及贷款利息术语释义十六后，经本公司审核同意，自双方达成复效协议的当日24时起，合同效力恢复。自本合同效力中止之日起满二年投保人和本公司未达成复效协议的，本合同终止。
第十三条	减额交清减额交清是指以保险合同当时的现金价值净额一次性付清保险费，并以相同的合同条件相应减少基本保险金额。投保人可以书面形式向本公司申请，若符合本公司届时相关规定并经本公司同意后，则将本合同减额交清。减额交清后，本合同继续有效。
第十四条	保险合同贷款若保险合同已具有现金价值，投保人可以书面形式向本公司申请，并经本公司同意后办理保险合同贷款。贷款金额不可超过当时现金价值净额的百分之七十，且每次贷款的金额不得少于人民币一百元。投保人可随时全部或部分偿还保险合同贷款及贷款利息。若累计的保险合同贷款（含自动贷款垫缴保险费）及贷款利息加上欠缴的保险费及其利息等于保险合同当时的现金价值时，保险合同效力中止；效力中止期间，本公司不承担保险责任。
第十五条	解除合同的处理犹豫期满后投保人要求解除本合同的，由投保人填写申请书，并提供下列资料：一、保险合同；二、投保人身份证明。自本公司收到解除合同申请书的当日24时起，本合同终止，本公司将退还投保人本合同当时的现金价值。投保人在犹豫期后解除本合同会受到一定的损失。
第五部分	如何申请保险金
第十六条	受益人的指定和变更被保险人或者投保人可以指定一人或数人为身故保险金受益人，身故保险金受益人为数人时，被保险人或者投保人可以确定受益顺序和受益份额；未确定份额的，受益人按照相等份额享有受益权。除本合同另有约定外，重大疾病保险金、白血病关爱保险金、轻症疾病保险金和生命末期保险金的受益人为被保险人本人。被保险人或者投保人可以变更受益人并书面通知本公司；本公司收到变更受益人的书面通知后，应当在保险单或其他保险凭证上批注或者附贴批单。投保人指定或变更受益人时须经被保险人同意。被保险人身故后，有下列情形之一的，保险金作为被保险人的遗产，由本公司依照中华人民共和国继承法的规定履行给付保险金的义务：一、没有指定受益人，或者受益人指定不明无法确定的；二、受益人先于被保险人身故，没有其他受益人的；三、受益人依法丧失受益权或者放弃受益权，没有其他受益人的。受益人与被保险人在同一事件中身故，且不能确定身故先后顺序的，推定受益人身故在先。受益人故意造成被保险人身故、伤残、疾病的，或者故意杀害被保险人未遂的，该受益人丧失受益权。
第十七条	保险事故的通知与保险金的申请投保人、被保险人或者受益人、被保险人的继承人知道保险事故发生后，应当及时通知本公司。保险金的申请应由申请人填写申请书，并向本公司递交本合同要求的以下证明和资料：
