question	answer
第一条保险合同构成	国寿康宁少儿重大疾病保险合同（以下简称本合同）由保险单及所附国寿康宁少儿重大疾病保险利益条款（以下简称本合同利益条款）、个人保险基本条款（以下简称本合同基本条款）、现金价值表、声明、批注、批单以及与本合同有关的投保单、复效申请书、健康声明书和其他书面协议共同构成。
第二条投保范围	凡出生二十八日以上、十七周岁以下，身体健康者均可作为被保险人，由对被保险人具有保险利益的完全民事行为能力人作为投保人向本公司投保本保险。
第三条保险期间	本合同的保险期间为三十年。
第四条基本保险金额	本合同的基本保险金额是指本合同保险单上载明的保险金额。
第五条重大疾病	本合同所指重大疾病，是被保险人发生符合以下定义所述条件的疾病、疾病状态或手术，共计八十种，其中第一种至第二十五种为中国保险行业协会制定的重大疾病保险的疾病定义使用规范中列明的疾病，其他为本公司增加的疾病。重大疾病的名称及定义如下：一、恶性肿瘤：指恶性细胞不受控制的进行性增长和扩散，浸润和破坏周围正常组织，可以经血管、淋巴管和体腔扩散转移到身体其它部位的疾病。经病理学检查结果明确诊断，临床诊断属于世界卫生组织疾病和有关健康问题的国际统计分类（ICD10）的恶性肿瘤范畴。下列疾病不在保障范围内：1原位癌；2相当于Binet分期方案A期程度的慢性淋巴细胞白血病；3相当于AnnArbor分期方案I期程度的何杰金氏病；4皮肤癌（不包括恶性黑色素瘤及已发生转移的皮肤癌）；5TNM分期为TNM期或更轻分期的前列腺癌；6感染艾滋病病毒或患艾滋病期间所患恶性肿瘤。二、急性心肌梗塞：指因冠状动脉阻塞导致的相应区域供血不足造成部分心肌坏死。须满足下列至少三项条件：1典型临床表现，例如急性胸痛等；2新近的心电图改变提示急性心肌梗塞；3心肌酶或肌钙蛋白有诊断意义的升高，或呈符合急性心肌梗塞的动态性变化；4发病90天后，经检查证实左心室功能降低，如左心室射血分数低于50。三、脑中风后遗症：指因脑血管的突发病变引起脑血管出血、栓塞或梗塞，并导致神经国寿康宁少儿重大疾病保险利益条款（第一页)系统永久性的功能障碍。神经系统永久性的功能障碍，指疾病确诊180天后，仍遗留下列一种或一种以上障碍：1一肢或一肢以上肢体机能完全丧失（注1）；2语言能力或咀嚼吞咽能力完全丧失（注2）；3自主生活能力完全丧失，无法独立完成六项基本日常生活活动（注3）中的三项或三项以上。四、重大器官移植术或造血干细胞移植术：重大器官移植术，指因相应器官功能衰竭，已经实施了肾脏、肝脏、心脏或肺脏的异体移植手术。造血干细胞移植术，指因造血功能损害或造血系统恶性肿瘤，已经实施了造血干细胞（包括骨髓造血干细胞、外周血造血干细胞和脐血造血干细胞）的异体移植手术。五、冠状动脉搭桥术（或称冠状动脉旁路移植术）：指为治疗严重的冠心病，实际实施了开胸进行的冠状动脉血管旁路移植的手术。冠状动脉支架植入术、心导管球囊扩张术、激光射频技术及其它非开胸的介入手术、腔镜手术不在保障范围内。六、终末期肾病（或称慢性肾功能衰竭尿毒症期）：指双肾功能慢性不可逆性衰竭，达到尿毒症期，经诊断后已经进行了至少90天的规律性透析治疗或实施了肾脏移植手术。七、多个肢体缺失：指因疾病或意外伤害导致两个或两个以上肢体自腕关节或踝关节近端（靠近躯干端）以上完全性断离。八、急性或亚急性重症肝炎：指因肝炎病毒感染引起肝脏组织弥漫性坏死，导致急性肝功能衰竭，且经血清学或病毒学检查证实，并须满足下列全部条件：1重度黄疸或黄疸迅速加重；2肝性脑病；3B超或其它影像学检查显示肝脏体积急速萎缩；4肝功能指标进行性恶化。九、良性脑肿瘤：指脑的良性肿瘤，已经引起颅内压增高，临床表现为视神经乳头水肿、精神症状、癫痫及运动感觉障碍等，并危及生命。须由头颅断层扫描（CT）、核磁共振检查（MRI）或正电子发射断层扫描（PET）等影像学检查证实，并须满足下列至少一项条件：1.实际实施了开颅进行的脑肿瘤完全切除或部分切除的手术；2.实际实施了对脑肿瘤进行的放射治疗。脑垂体瘤、脑囊肿、脑血管性疾病不在保障范围内。十、慢性肝功能衰竭失代偿期：指因慢性肝脏疾病导致肝功能衰竭。须满足下列全部条件：1持续性黄疸；2腹水；3肝性脑病；4充血性脾肿大伴脾功能亢进或食管胃底静脉曲张。因酗酒或药物滥用导致的肝功能衰竭不在保障范围内。十一、脑炎后遗症或脑膜炎后遗症：指因患脑炎或脑膜炎导致的神经系统永久性的功能障碍。神经系统永久性的功能障碍，指疾病确诊180天后，仍遗留下列一种或一种以上障碍：1.一肢或一肢以上肢体机能完全丧失（注1）；2.语言能力或咀嚼吞咽能力完全丧失（注2）；3.自主生活能力完全丧失，无法独立完成六项基本日常生活活动（注3）中的三项或三项以上。十二、深度昏迷：指因疾病或意外伤害导致意识丧失,对外界刺激和体内需求均无反应,国寿康宁少儿重大疾病保险利益条款（第二页)昏迷程度按照格拉斯哥昏迷分级（Glasgowcomascale）结果为5分或5分以下，且已经持续使用呼吸机及其它生命维持系统96小时以上。因酗酒或药物滥用导致的深度昏迷不在保障范围内。十三、特定年龄双耳失聪：指被保险人年满3周岁后因疾病或意外伤害导致双耳听力永久不可逆（注4）性丧失，在500赫兹、1000赫兹和2000赫兹语音频率下，平均听阈大于90分贝，且经纯音听力测试、声导抗检测或听觉诱发电位检测等证实。申请理赔时，须提供理赔当时的听力丧失诊断及检查证据。十四、特定年龄双目失明：指被保险人年满3周岁后因疾病或意外伤害导致双眼视力永久不可逆（注4）性丧失，双眼中较好眼须满足下列至少一项条件：1.眼球缺失或摘除；2.矫正视力低于0.02（采用国际标准视力表，如果使用其它视力表应进行换算）；3.视野半径小于5度。申请理赔时，须提供理赔当时的视力丧失诊断及检查证据。十五、瘫痪：指因疾病或意外伤害导致两肢或两肢以上肢体机能永久完全丧失。肢体机能永久完全丧失，指疾病确诊180天后或意外伤害发生180天后，每肢三大关节中的两大关节仍然完全僵硬，或不能随意识活动。十六、心脏瓣膜手术：指为治疗心脏瓣膜疾病，实际实施了开胸进行的心脏瓣膜置换或修复的手术。十七、严重阿尔茨海默病：指因大脑进行性、不可逆性改变导致智能严重衰退或丧失，临床表现为明显的认知能力障碍、行为异常和社交能力减退，其日常生活必须持续受到他人监护。须由头颅断层扫描（CT）、核磁共振检查（MRI）或正电子发射断层扫描（PET）等影像学检查证实，且自主生活能力完全丧失，无法独立完成六项基本日常生活活动（注3）中的三项或三项以上。神经官能症和精神疾病不在保障范围内。十八、严重脑损伤：指因头部遭受机械性外力，引起脑重要部位损伤，导致神经系统永久性的功能障碍。须由头颅断层扫描（CT）、核磁共振检查（MRI）或正电子发射断层扫描（PET）等影像学检查证实。神经系统永久性的功能障碍，指脑损伤180天后，仍遗留下列一种或一种以上障碍：1.一肢或一肢以上肢体机能完全丧失（注1）；2.语言能力或咀嚼吞咽能力完全丧失（注2）；3.自主生活能力完全丧失，无法独立完成六项基本日常生活活动（注3）中的三项或三项以上。十九、严重帕金森病：是一种中枢神经系统的退行性疾病，临床表现为震颤麻痹、共济失调等。须满足下列全部条件：1药物治疗无法控制病情；2自主生活能力完全丧失，无法独立完成六项基本日常生活活动（注3）中的三项或三项以上。继发性帕金森综合征不在保障范围内。
二十、严重度烧伤：指烧伤程度为度，且度烧伤的面积达到全身体表面积的20	或20以上。体表面积根据中国新九分法计算。二十一、严重原发性肺动脉高压：指不明原因的肺动脉压力持续性增高，进行性发展而导致的慢性疾病，已经造成永久不可逆（注4）性的体力活动能力受限，达到美国纽约心脏病学会心功能状态分级IV级，且静息状态下肺动脉平均压超过30mmHg。二十二、严重运动神经元病：是一组中枢神经系统运动神经元的进行性变性疾病，包括国寿康宁少儿重大疾病保险利益条款（第三页)进行性脊肌萎缩症、进行性延髓麻痹症、原发性侧索硬化症、肌萎缩性侧索硬化症。须满足自主生活能力完全丧失，无法独立完成六项基本日常生活活动（注3）中的三项或三项以上的条件。二十三、语言能力丧失：指因疾病或意外伤害导致完全丧失语言能力，经过积极治疗至少12个月（声带完全切除不受此时间限制），仍无法通过现有医疗手段恢复。精神心理因素所致的语言能力丧失不在保障范围内。二十四、重型再生障碍性贫血：指因骨髓造血功能慢性持续性衰竭导致的贫血、中性粒细胞减少及血小板减少。须满足下列全部条件：1.骨髓穿刺检查或骨髓活检结果支持诊断；
2.外周血象须具备以下三项条件：	（1）中性粒细胞绝对值0.510/L；（2）网织红细胞1；（3）血小板绝对值2010/L。二十五、主动脉手术：指为治疗主动脉疾病，实际实施了开胸或开腹进行的切除、置换、修补病损主动脉血管的手术。主动脉指胸主动脉和腹主动脉，不包括胸主动脉和腹主动脉的分支血管。动脉内血管成形术不在保障范围内。二十六、严重心肌病：指因心肌病导致慢性心功能损害，已经造成永久不可逆（注4）性心功能衰竭，达到美国纽约心脏病学会心功能状态分级IV级，须满足永久不可逆（注4）性体力活动能力受限、无法从事任何体力活动的条件。二十七、严重重症肌无力：指一种神经与肌肉接头部位传递障碍的自身免疫性疾病，临床特征是局部或全身横纹肌于活动时易于疲劳无力，颅神经眼外肌最易累及，也可涉及呼吸肌、下肢近端肌群以至全身肌肉。且须满足下列全部条件：1.经药物或胸腺手术治疗一年以上无法控制病情，丧失正常工作能力；2.出现眼睑下垂，或延髓肌受累引起的构音困难、进食呛咳,或由于肌无力累及延髓肌、呼吸肌而致机体呼吸功能不正常的危急状态即肌无力危象；3.症状缓解、复发及恶化的交替出现，临床接受新斯的明等抗胆碱酯酶药物治疗的病史。二十八、严重多发性硬化症：指因中枢神经系统脱髓鞘疾病，导致不可逆的运动或感觉功能障碍，临床表现为视力受损、截瘫、平衡失调、构音障碍、大小便机能失调等症状。不可逆指运动或感觉功能障碍初次诊断后需持续180天以上。须由断层扫描（CT）、核磁共振检查（MRI）或正电子发射断层扫描（PET）等影像学检查证实，且须满足下列全部条件：1.明确出现因视神经、脑干或脊髓损伤等导致的上述临床症状；2.散在的、多样性的神经损伤；3.上述临床症状反复发作、恶化及神经损伤的病史纪录。二十九、严重脊髓灰质炎：脊髓灰质炎指由于脊髓灰质炎病毒感染所致的瘫痪性疾病，临床表现为运动功能损害或呼吸无力。脊髓灰质炎必须明确诊断。本合同所称严重脊髓灰质炎仅指脊髓灰质炎造成的神经系统功能损害导致被保险人一肢或一肢以上肢体机能永久完全丧失的情形。肢体机能永久完全丧失，指疾病确诊180天后，每肢三大关节中的两大关节仍然完全僵硬，或不能随意识活动。若无因此感染而导致麻痹性瘫痪的事实结果，以及其它病因所致的麻痹，例如格林巴利综合征则不属于本合同所指的脊髓灰质炎。三十、严重类风湿性关节炎：指广泛分布的慢性进行性多关节病变，表现为关节严重变形，侵犯至少三个主要关节（腕关节、肘关节、肩关节、踝关节、膝关节、髋关节）或关节国寿康宁少儿重大疾病保险利益条款（第四页)组（如手的多个指间、掌指关节，足的多个足趾、跖趾关节等）。类风湿性关节炎须明确诊断，并已达到类风湿性关节炎功能分类IV级的永久不可逆（注4）性关节功能障碍，且须满足下列全部条件：1.晨僵；2.对称性关节炎；3.类风湿性皮下结节；4.类风湿因子滴度升高；5.X线显示严重的关节（软骨和骨）破坏和关节畸形。三十一、严重系统性红斑狼疮性肾病：系统性红斑狼疮是累及多系统、多器官的具有多种自身抗体的免疫性疾病。系统性红斑狼疮性肾病，又称为狼疮性肾炎，是系统性红斑狼疮累及肾脏，造成肾功能损伤。须由肾脏病理学检查结果证实或经临床确诊，并符合下列WHO诊断标准定义的型至型狼疮性肾炎。世界卫生组织（WHO）狼疮性肾炎分型：型（微小病变型）：镜下阴性，尿液正常；型（系膜病变型）：中度蛋白尿，偶有尿沉渣改变；型（局灶及节段增生型）：蛋白尿，尿沉渣改变；型（弥漫增生型）：急性肾炎伴有尿沉渣改变或肾病综合征；型（膜型）：肾病综合征或重度蛋白尿。其它类型的红斑性狼疮，如盘状狼疮，仅累及血液及关节等其它系统的系统性红斑狼疮不在保障范围内。
三十二、终末期肺病：指慢性呼吸功能衰竭，须满足下列全部条件：	1.肺功能测试其FEV1持续低于0.75升；2.病人缺氧必须广泛而持续的进行输氧治疗；3.动脉血气分析氧分压低于55mmHg。三十三、严重克隆病：指一种慢性肉芽肿性肠炎，具有特征性的克隆病病理组织学变化，须由病理学检查结果证实，且已经造成瘘管形成并伴有肠梗阻或肠穿孔。三十四、严重溃疡性结肠炎：指伴有致命性电解质紊乱的急性暴发性溃疡性结肠炎，病变已经累及全结肠，表现为严重的血便和系统性症状体征，须由病理学检查结果证实，且已经实施了结肠切除或回肠造瘘术。三十五、持续植物人状态：指由于严重颅脑外伤、缺氧持续状态、严重的脑炎或者某种神经毒素造成大脑或脑干严重损害，并导致意识丧失和中枢神经系统功能丧失，仅残存植物神经功能的疾病状态，且植物人状态须已持续30天以上。三十六、严重胰岛素依赖型糖尿病:指由于胰岛素分泌绝对不足引起的慢性血糖升高，经血胰岛素测定、血c肽测定或尿c肽测定结果证实，且已经持续性的依赖外源性胰岛素维持180天以上；须至少满足下列一个条件：1.已出现增殖性视网膜病变；2.须植入心脏起搏器治疗心脏病；3.因坏疽需切除至少一个脚趾。三十七、严重冠心病：指经根据冠状动脉造影检查结果明确诊断为三支主要血管严重狭窄性病变（至少一支血管管腔直径减少75以上和其他两支血管管腔直径减少60以上）。冠状动脉的主要血管指左冠状动脉主干、前降支、回旋支及右冠状动脉，不包括前降支、左旋支及右冠状动脉的分支血管。三十八、急性坏死性胰腺炎开腹手术：指为治疗急性坏死性胰腺炎，实际实施了开腹进行的坏死组织清除术、病灶切除术或胰腺部分切除术。为治疗因酒精中毒引起的急性坏死性胰腺炎的开腹手术不在保障范围内。国寿康宁少儿重大疾病保险利益条款（第五页)三十九、经输血导致的人类免疫缺陷病毒感染：被保险人感染人类免疫缺陷病毒（HIV），且须满足下列全部条件：1.因输血而感染；2.提供输血治疗的输血中心或医院出具该项输血感染属医疗责任事故的报告，或者法院终审裁定为医疗责任；3.受感染的被保险人不是血友病患者。任何因其他传播方式（包括：性传播或静脉注射毒品）导致人类免疫缺陷病毒（HIV）感染不在保障范围内。本公司具有获得和使用被保险人的所有血液样本的权利以及能够对这些样本进行独立检验的权利。四十、非阿尔茨海默病所致严重痴呆：指因阿尔茨海默病以外的脑的器质性疾病造成脑功能衰竭导致永久不可逆（注4）性严重痴呆，临床表现为明显的认知能力障碍、行为异常和社交能力减退。被保险人自主生活能力完全丧失，无法独立完成六项基本日常生活活动（注3）中的三项或三项以上，日常生活必须持续受到他人监护。导致痴呆的疾病必须明确诊断，并且由完整的临床、实验室和影像学检查结果证实。神经官能症，精神疾病及酒精中毒所致脑损害不在保障范围内。四十一、严重弥漫性系统性硬皮病：一种系统性胶原血管病引起进行性的皮肤、血管和内脏器官的弥漫性纤维化。本病症须经专科医生明确诊断，并须满足下列全部条件：1.由活检和血清学证据支持；
2.疾病已经影响到肺脏、心脏或肾脏等内脏器官并且达到下列标准之一：	（1）肺脏：已造成肺脏纤维化，并同时出现肺动脉高压和肺心病；（2）心脏：心脏功能衰竭程度达到美国纽约心脏病学会心功能状态分级IV级；（3）肾脏：已造成肾脏损害，并出现肾功能衰竭。局限性硬皮病、嗜酸细胞筋膜炎和CREST综合征不在保障范围内。四十二、重症急性坏死性筋膜炎：是一种由细菌侵入皮下组织和筋膜引起的急性坏死性软组织感染，可伴有毒血症、败血症、中毒性休克、弥漫性血管内凝血及多器官衰竭。须满足下列全部条件：1.细菌培养和临床表现符合坏死性筋膜炎诊断标准；2.病情迅速恶化，有脓毒血症表现；3.受感染肢体被截肢（自腕关节或踝关节靠近躯干端）。四十三、埃博拉出血热：指埃博拉病毒感染导致的出血性发热。埃博拉病必须经国家机关认可的有合法资质的传染病专家确诊，并须满足下列全部条件：1.埃博拉病毒的存在必须经过实验室检查证实；2.存在皮肤粘膜出血，呕血，咯血，便血或血尿等临床表现；3.感染埃博拉病毒并出现出血性发热持续三十(30)天以上，且持续出现并发症。单纯实验室诊断但没有临床出血表现的不在保障范围内。四十四、严重感染性心内膜炎：指因细菌、真菌和其他微生物制剂感染而产生心脏瓣膜的炎症或心室壁内膜的炎症，引起心脏瓣膜关闭不全。须满足下列全部条件:1.急性或亚急性感染性心内膜炎临床表现；2.血培养病原体阳性；3.心脏功能衰竭程度达到美国纽约心脏病学会心功能状态分级IV级并持续180天，或接受了心脏瓣膜置换手术。四十五、严重肌营养不良症：指一组原发于肌肉的疾病，临床表现为与神经系统无关的肌肉无力和肌肉萎缩，并须满足下列全部条件：1.肌肉组织活检结果满足肌营养不良症的肌肉细胞变性、坏死等阳性改变；2.自主生活能力完全丧失，无法独立完成六项基本日常生活活动（注3）中的三项或国寿康宁少儿重大疾病保险利益条款（第六页)三项以上。四十六、胰腺移植：指因胰腺功能衰竭，已经实施了在全身麻醉下进行的胰腺的异体器官移植手术（供体必须是人体器官）。单纯胰岛移植、部分胰腺组织或细胞的移植不在保障范围内。四十七、严重肾髓质囊性病：指经专科医生明确诊断为肾髓质囊性病，并须满足下列全部条件：1.同时出现肾髓质有囊肿、肾小管萎缩及间质纤维化等病理改变；2.同时出现贫血、多尿及肾功能衰竭等临床表现；3.诊断须由肾组织活检确定。四十八、肝豆状核变性(Wilson病)：指由于铜代谢障碍所引起的一种疾病，其特点为肝硬化与双侧脑基底神经节变性同时存在，且须经专科医生明确诊断，并须满足下列全部条件：1.临床表现同时包括进行性加剧的肢体震颤、肌强直、吞咽及发音困难和精神异常；2.角膜色素环（KF环）；3.血清铜和血清铜蓝蛋白同时降低，或尿铜增加；4.食管静脉曲张；5.腹水。四十九、严重自身免疫性肝炎：自身免疫性肝炎是一种原因不明的慢性肝脏的坏死性炎性疾病，由于人体免疫功能紊乱产生针对肝脏自身抗原的抗体导致自身免疫反应，从而破坏肝脏细胞造成肝脏炎症坏死，进而发展为肝硬化。须满足下列全部条件：1.高球蛋白血症；2.血液中存在高水平的自身免疫抗体，如ANA（抗核抗体），SMA（抗平滑肌抗体），抗LKM1抗体或抗SLA/LP抗体；3.肝脏活检证实免疫性肝炎；4.临床已经同时出现腹水、食道静脉曲张及脾脏肿大等肝硬化表现。五十、原发性硬化性胆管炎：指一种胆汁淤积综合征，其特征是肝内、肝外胆道因纤维化性炎症逐渐狭窄，并最终导致完全阻塞而发展为肝硬化。须经逆行胰胆管造影（ERCP）或经皮胆管造影（PTC）等影像学检查证实，且须满足下列全部条件：1.总胆红素和直接胆红素同时升高，血清ALP200U/L；2.持续性黄疸病史；3.出现胆汁性肝硬化或门脉高压。因肿瘤或胆管损伤等导致的继发性硬化性胆管炎不在保障范围内。五十一、严重大动脉炎：指经本公司认可医院的心脏或血管外科专科医生确诊的大动脉炎，须满足下列全部条件：1.红细胞沉降率及C反应蛋白高于正常值；2.超声检查、CTA检查或血管造影检查证实主动脉及其主要分支存在狭窄。五十二、溶血性链球菌性坏疽：指包围肢体或者躯干的浅筋膜或者深筋膜受到溶血性链球菌的感染，病情在短时间内急剧恶化，且已经立刻进行了手术。最后的诊断须由微生物或者病理学专家进行相关检查后证实。五十三、克雅氏病（CJD、人类疯牛病）：一种由动物传染而来的中枢神经系统变性疾病，大脑呈海绵状改变伴神经元缺失和胶质化。临床表现为进行性痴呆、不随意运动及抽搐、行动困难等。须由权威医疗机构根据致病蛋白的发现而明确诊断。五十四、丝虫病所致象皮肿：指因丝虫感染导致淋巴管阻塞而造成身体组织出现严重淋巴水肿，达到国际淋巴学会淋巴水肿分期第期，其临床表现为肢体非凹陷性水肿伴畸形增国寿康宁少儿重大疾病保险利益条款（第七页)大，硬皮症及疣状增生。须满足自主生活能力完全丧失，无法独立完成六项基本日常生活活动（注3）中的三项或三项以上。须经本公司认可医院的专科医生根据临床表现和微丝蚴的化验结果确诊。由性接触传染的疾病、创伤、手术后疤痕、充血性心力衰竭或先天性淋巴系统异常引起的淋巴水肿，以及急性淋巴管炎或其他原因引起的淋巴水肿不在保障范围内。五十五、严重继发性肺动脉高压：继发性肺动脉压力持续增高，导致右心室肥厚，已经造成永久不可逆（注4）性的体力活动能力受限，达到美国纽约心脏病学会心功能状态分级IV级。须由心脏专科医生确诊，并且心导管检查报告显示静息状态下肺动脉平均压超过30mmHg。所有先天性心脏疾病直接或间接引起的肺动脉高压不在保障范围内。五十六、严重获得性或继发性肺泡蛋白质沉积症：因获得性或继发性原因导致双肺肺泡和细支气管腔内充满不可溶性富磷脂蛋白的疾病。须满足下列全部条件：1.支气管镜活检或开胸肺活检病理检查证实肺泡内充满有过碘酸雪夫（PAS）染色阳性的蛋白样物质；2.被保险人因中重度呼吸困难或低氧血症而实际已行全身麻醉下的全肺灌洗治疗。五十七、胆道重建手术：指因疾病或胆道创伤导致接受涉及胆总管小肠吻合术的胆道重建手术。手术必须在专科医生认为是医疗所需的情况下进行。胆道闭锁及手术中误伤胆管不在保障范围内。五十八、主动脉夹层动脉瘤：指主动脉的内膜破裂导致血液流入主动脉壁中形成夹层动脉瘤。主动脉指胸主动脉及腹主动脉而非其旁支。诊断必须由专科医生通过检验结果证实，检查包括超声心动图、数字减影血管造影，磁共振扫描及磁共振血管造影或心导管检查的证明，并有必要进行紧急修补手术。五十九、严重结核性脑膜炎：由结核杆菌引起的脑膜和脊膜的非化脓性炎症性疾病。须满足下列全部条件：1.出现颅内压明显增高，表现头痛、呕吐和视乳头水肿；2.出现部分性、全身性癫痫发作或癫痫持续状态；3.昏睡或意识模糊；4.视力减退、复视和面神经麻痹。六十、严重癫痫：诊断须由神经科或儿科专科医生根据典型临床症状和脑电图及断层扫描（CT）、核磁共振检查（MRI）、正电子发射断层扫描（PET）等影像学检查做出。须提供6个月以上的相关病历记录证明被保险人存在经抗癫痫药物治疗无效而反复发作的强直阵挛性发作或癫痫大发作，且已行神经外科手术以治疗反复发作的癫痫。发热性惊厥以及没有全身性发作的失神发作（癫痫小发作）不在保障范围内。六十一、特发性慢性肾上腺皮质功能减退：指自身免疫性肾上腺炎（既往称：特发性肾上腺皮质萎缩）导致肾上腺萎缩和慢性肾上腺皮质功能减退，须明确诊断且须满足下列全部条件：1.血浆促肾上腺皮质激素(ACTH)水平测定大于100pg/ml；2.血浆和尿游离皮质醇及尿17羟皮质类固醇、17酮皮质类固醇测定、血浆肾素活性、血管紧张素II和醛固酮测定，显示为原发性肾上腺皮质功能减退症；3.促肾上腺皮质激素(ACTH)刺激试验显示为原发性肾上腺皮质功能减退症。本保障仅包括由自身免疫功能紊乱所导致的慢性肾上腺功能不全，其他成因（包括但不限于：肾上腺结核、HIV感染或艾滋病感染、肿瘤）所致的原发性肾上腺皮质功能减退和继发性肾上腺皮质功能减退均不在保障范围内。国寿康宁少儿重大疾病保险利益条款（第八页)六十二、慢性复发性胰腺炎：有腹痛等典型症状的胰腺炎反复发作，导致胰腺进行性破坏、胰腺功能紊乱致糖尿病、营养不良。断层扫描（CT）检查证实胰腺存在广泛钙化，且必须接受酶替代以及胰岛素替代治疗6个月以上、手术或介入治疗。诊断必须由医院专科医生确诊。酒精导致的慢性复发性胰腺炎不在保障范围内。六十三、严重巨细胞动脉炎：巨细胞动脉炎又称颅动脉炎、颞动脉炎、肉芽肿性动脉炎，须经本公司认可医院的专科医师明确诊断，并造成永久不可逆（注4）性的单个肢体功能障碍或单眼失明。单眼失明指单眼视力永久不可逆（注4）性丧失，患眼须满足下列至少一项条件：1.眼球缺失或者摘除；2.矫正视力低于0.02（采用国际标准视力表，如果使用其它视力表应进行换算）；3.视野半径小于5度。六十四、严重度房室传导阻滞：指心房激动在房室交界区、房室束及其分支内发生阻滞，不能正常地传到心室的心脏传导性疾病，须满足下列全部条件：1.心电图显示房室搏动彼此独立，心室率50次/分钟；2.出现阿斯综合征或心力衰竭的表现；3.必须持续性依赖心脏起搏器维持心脏正常功能，且已经放置心脏起搏器。六十五、严重肺源性心脏病:指被保险人因慢性肺部疾病导致慢性心功能损害造成永久不可逆（注4）性的心功能衰竭。心功能衰竭程度至少达到美国纽约心脏病学会心功能状态分级IV级。被保险人永久不可逆（注4）性的体力活动能力受限，不能从事任何体力活动。六十六、细菌性脑脊髓膜炎后遗症：指因脑膜炎双球菌感染引起脑脊髓膜化脓性病变，且导致永久性神经损害，并且脑脊液检查显示脑膜炎双球菌阳性。永久性神经损害是指由细菌性脑脊髓膜炎引起的耳聋、失明、动眼神经麻痹、瘫痪、脑积水的损害，且上述症状持续90天以上仍无改善迹象。六十七、进行性核上性麻痹：一种隐袭起病、逐渐加重的神经系统变性疾病。须由本公司认可的医院的神经科专科医生确诊，须满足下列全部条件：1.步态共济失调；2.对称性眼球垂直运动障碍；3.假性球麻痹，表现为构音障碍和吞咽困难。六十八、因职业关系导致的人类免疫缺陷病毒感染：被保险人在其常规职业工作过程中遭遇外伤，或者职业需要处理血液或者其他体液时感染上人类免疫缺陷病毒（HIV），且须满足下列全部条件：1.感染必须是在被保险人正在从事其职业工作中发生，职业范围限定为:医生和牙科医生、护士、医院化验室工作人员、医院护工、医生助理和牙医助理、救护车工作人员、助产士、消防队员、警察、狱警；2.必须提供被保险人在所报事故发生后的5天以内进行的检查报告，该报告必须显示被保险人血液HIV病毒阴性或HIV抗体阴性；3.必须在事故发生后的6个月内证实被保险人体内存在HIV病毒或HIV抗体。任何因其他传播方式（包括：性传播或静脉注射毒品）导致人类免疫缺陷病毒（HIV）感染不在保障范围内。本公司具有获得和使用被保险人的所有血液样本的权利以及能够对这些样本进行独立检验的权利。六十九、因器官移植导致的人类免疫缺陷病毒感染：指因进行器官移植而感染上人类免疫缺陷病毒（HIV），且须满足下列全部条件：1.在本合同生效（或最后复效）之日后，被保险人因治疗必须而实施器官移植，并且国寿康宁少儿重大疾病保险利益条款（第九页)因器官移植而感染人类免疫缺陷病毒；2.提供器官移植治疗的器官移植中心或医院出具的此次因器官移植感染人类免疫缺陷病毒，属于医疗事故的报告；3.提供器官移植治疗的器官移植中心或医院必须拥有合法经营执照。任何因其他传播方式（包括：性传播或静脉注射毒品）导致人类免疫缺陷病毒（HIV）感染不在保障范围内。本公司具有获得和使用被保险人的所有血液样本的权利以及能够对这些样本进行独立检验的权利。七十、脑动脉瘤破裂出血开颅夹闭手术：指因脑动脉瘤破裂造成蛛网膜下腔出血，被保险人实际接受了在全麻下进行的开颅动脉瘤夹闭手术。脑动脉瘤（未破裂）预防性手术、颅骨打孔手术、动脉瘤栓塞手术、血管内手术及其他颅脑手术不在保障范围内。七十一、亚急性硬化性全脑炎：是麻疹病毒所致的一种中枢神经系统慢性感染。中枢神经系统呈现灰质和白质破坏为特征的慢性和急性混合存在的炎症。须满足下列全部条件：
1.脑电图存在周期性复合波、脑脊液	球蛋白升高、脑脊液和血清中麻疹抗体滴定度升高；2.被保险人出现运动障碍，自主生活能力完全丧失，无法独立完成六项基本日常生活活动（注3）中的三项或三项以上。七十二、进行性多灶性白质脑病：是一种亚急性脱髓鞘性脑病，常常发现于免疫缺陷的病人。须由本公司认可的神经科专科医生根据脑组织活检确诊。七十三、艾森门格综合征：因心脏病导致的严重肺动脉高血压及右向左分流。诊断必须由医院专科医生经超声心动图和心导管检查证实及须符合以下所有标准:1.平均肺动脉压高于40mmHg；2.肺血管阻力高于3mm/L/min（Wood单位）；3.正常肺微血管楔压低于15mmHg。七十四、严重面部烧伤:指面部烧伤程度为度，且度烧伤的面积达到面部表面积的80或者80以上。七十五、脊髓小脑变性症：脊髓小脑变性症为一组以小脑萎缩和共济失调为主要临床特点的疾病。须满足下列全部条件：
