question	answer
1、身故保险金	若被保险人因意外伤害或90日等待期后因疾病导致身故，本公司按该被保险人的保险金额给付身故保险金，本合同下该被保险人责任终止。
2、重大疾病保险金	若被保险人因意外伤害或90日等待期后初次发生并经本公司认可的医院的专科医生确诊患本合同所指的一种或多种重大疾病（共计100种），本公司按该被保险人的保险金额给付重大疾病保险金，本合同下该被保险人责任终止。
3、特定疾病保险金	若被保险人因意外伤害或90日等待期后初次发生并经本公司认可的医院的专科医生确诊患本合同所指的一种或多种特定疾病（共计35种），本公司按该被保险人的保险金额的20给付特定疾病保险金，并豁免本合同下该被保险人未来的各期保险费。本合同特定疾病分为五组，每组特定疾病只给付一次特定疾病保险金，给付后该被保险人该组特定疾病保险金责任终止。本合同的特定疾病保险金给付以五次为限。
第八条责任免除	因下列情形之一，导致被保险人发生本合同约定的疾病或身故的，本公司不承担给付保险金的责任：1、投保人对被保险人的故意杀害、故意伤害；2、因被保险人故意犯罪或抗拒依法采取的刑事强制措施；3、被保险人在本合同成立或合同效力最后恢复之日起二年内自杀，但被保险人自杀时为无民事行为能力人的除外；4、被保险人服用、吸食或注射毒品或未遵医嘱使用管制药品；5、被保险人酒后驾驶、无合法有效驾驶证驾驶或驾驶无有效行驶证的机动车；6、被保险人感染艾滋病病毒或患艾滋病（本合同有特别约定的除外）；7、战争、军事冲突、恐怖活动、暴乱、武装叛乱、核爆炸、核辐射或核污染；8、遗传性疾病，先天性畸形、变形或染色体异常（本合同有特别约定的除外）。发生上述第1项情形造成被保险人身故的，本公司对该被保险人保险责任终止，已交足二年以上保险费的，本公司向该被保险人的继承人退还本合同当时的该被保险人名下的现金价值。发生上述其他情形导致被保险人身故的，本合同效力终止，本公司向投保人退还本合同当时的该被保险人名下的现金价值。
第九条保险金额和保险费	本合同被保险人的保险金额和保险费由投保人和本公司约定并于保险单上载明。分期支付保险费的，在交纳首期保险费后，其余各期的保险费应当在每个保险费约定交纳日交纳。
第十条明确说明与如实告知	订立本合同时，本公司会向投保人说明本合同的内容。对保险条款中免除本公司责任的条款，本公司在订立合同时会在投保单、保险单或者其他保险凭证上作出足以引起投保人注意的提示，并对该条款的内容以书面或者口头形式向投保人作出明确说明，未作提示或明确说明的，该条款不产生效力。本公司会就投保人、被保险人或受益人的有关情况提出书面询问，投保人应当如实告知。如果投保人故意或因重大过失不履行如实告知义务，足以影响本公司决定是否同意承保或者提高保险费率的，本公司有权解除本合同。对于故意不履行如实告知义务的，本公司对本合同解除前发生的保险事故，不承担给付保险金的责任，并不退还保险费。对于因重大过失未履行如实告知义务，对保险事故的发生有严重影响的，本公司对本合同解除前发生的保险事故，不承担给付保险金的责任，但可以退还保险费。
第十一条本公司合同解除权的限制	前条规定的合同解除权，自本公司知道有解除事由之日起，超过30日不行使而消灭。自本合同成立之日起超过2年的，本公司不得解除合同；发生保险事故的，本公司承担给付保险金的责任。本公司在合同订立时已经知道投保人未如实告知的情况的，本公司不得解除合同；发生保险事故的，本公司承担给付保险金的责任。
第十二条受益人	1、投保人或者被保险人可以指定一人或多人为身故保险金受益人，身故保险金受益人为多人时，可以确定受益人顺序和受益份额，如果没有确定份额,各受益人按照相等份额享有受益权。2、投保人或者被保险人可以变更身故保险金受益人并书面通知本公司。本公司收到变更受益人的书面通知后，将及时在保险单上批注或附贴批单。3、投保人在指定和变更身故保险金受益人时，必须经过被保险人书面同意且不得指定或变更被保险人及其近亲属以外的人为受益人。4、被保险人身故后，遇有下列情形之一的，保险金作为被保险人的遗产，由本公司依照中华人民共和国继承法的规定履行给付保险金的义务：（1）没有指定受益人，或者受益人指定不明无法确定的；（2）受益人先于被保险人身故，没有其他受益人的；（3）受益人依法丧失受益权或者放弃受益权，没有其他受益人的。5、除另有约定外，身故保险金以外的保险金的受益人为被保险人本人。6、被保险人为无民事行为能力人或限制民事行为能力人的，可以由其监护人指定受益人。7、受益人与被保险人在同一事件中身故，且不能确定身故先后顺序的，推定受益人身故在先。8、受益人故意造成被保险人身故、伤残、疾病的，或者故意杀害被保险人未遂的，该受益人丧失受益权。
第十三条保险事故通知	投保人、被保险人、受益人或其他有权领取保险金的人在知道保险事故发生之日起10日内通知本公司。否则，投保人、被保险人、受益人或其他有权领取保险金的人需承担由于迟延通知致使本公司增加的勘查、检验等费用，因不可抗力导致的通知延迟除外。如果投保人、被保险人、受益人或其他有权领取保险金的人故意或者因重大过失未及时通知本公司，致使保险事故的性质、原因、伤害程度等难以确定的，本公司对无法确定的部分，不承担给付保险金的责任，但本公司通过其他途径已经及时知道或者应当及时知道保险事故发生，或者虽未及时通知但不影响本公司确定保险事故的性质、原因、损失程度的除外。
第十四条保险金申请	
