question	answer
第一条合同构成	请扫描以查询验证条款i健康定期重大疾病保险合同（以下简称本合同）由保险单及所附i健康定期重大疾病保险利益条款（以下简称本合同利益条款）、个人保险基本条款（以下简称本合同基本条款）、投保单、与本合同有关的其他投保文件、健康告知书、变更申请书、复效申请书、声明、批注、附贴批单及其他书面协议构成。
第二条投保范围	1.被保险人范围：除另有约定外，凡出生满30天、不满61周岁（详见释义），身体健康者均可作为被保险人参加本保险。2.投保人范围：被保险人本人或对被保险人有保险利益的其他人可作为投保人向新华人寿保险股份有限公司（以下简称本公司）投保本保险。
第三条保险金额	本合同保险金额由投保人和本公司在投保时约定，但须符合本公司当时的投保规定，约定的保险金额将在保险单上载明。
第四条保险期间	本合同的保险期间由投保人和本公司约定，但须符合本公司当时的投保规定，约定的保险期间将在保险单上载明。保险期间自本合同生效日的零时开始，至期满日的二十四时终止。
第五条保险责任	在本合同保险期间内，本公司承担下列保险责任：
1.重大疾病保险金	被保险人于本合同生效（或合同效力恢复）之日起180日内因疾病，由本公司认可医院（详见释义）的专科医生（详见释义）确诊初次发生本合同所指的重大疾病（详见释义），本公司给付重大疾病保险金，其金额为本保险实际交纳的保险费（详见释义），本合同终止。被保险人因意外伤害（详见释义）或于本合同生效（或合同效力恢复）之日起180日后因疾病，由本公司认可医院的专科医生确诊初次发生本合同所指的重大疾病，本公司按保险金额给付重大疾病保险金，本合同终止。
2.身故保险金	被保险人于本合同生效（或合同效力恢复）之日起180日内因疾病身故，本公司给付身故保险金，其金额为本保险实际交纳的保险费，本合同终止。被保险人因意外伤害或于本合同生效（或合同效力恢复）之日起180日后因疾病身故，本公司按被保险人身故时所处的以下不同情形给付身故保险金，本合同终止：（1）若身故时被保险人处于18周岁保单生效对应日（详见释义）之前（不含18周岁保单生效对应日），则其身故保险金为本保险实际交纳的保险费；（2）若身故时被保险人处于18周岁保单生效对应日之后（含18周岁保单生效对应日），本公司按保险金额给付身故保险金。
第六条责任免除	
1.重大疾病保险责任免除	被保险人因下列（1）（8）项情形之一发生本合同所指的重大疾病的，本公司不承担保险责任：（1）投保人对被保险人的故意杀害、故意伤害；（2）被保险人故意自伤，但自伤时为无民事行为能力人的除外；（3）被保险人故意犯罪或抗拒依法采取的刑事强制措施；（4）被保险人主动吸食或注射毒品（详见释义）；51020181第1页（5）战争、军事冲突、暴乱或武装叛乱；（6）核爆炸、核辐射或核污染；（7）遗传性疾病（详见释义），先天性畸形、变形或染色体异常（详见释义）；（8）被保险人感染艾滋病病毒或患艾滋病（详见释义）。被保险人在下列期间遭受意外伤害导致本合同所指的重大疾病的，本公司不承担保险责任：（9）被保险人酒后驾驶（详见释义）、无合法有效驾驶证驾驶（详见释义）或驾驶无有效行驶证（详见释义）的机动车（详见释义）期间。
2.身故保险责任免除	被保险人因下列（1）（6）项情形之一身故的，本公司不承担保险责任：（1）投保人对被保险人的故意杀害、故意伤害；（2）被保险人故意犯罪或抗拒依法采取的刑事强制措施；（3）被保险人自本合同成立或合同效力恢复之日起二年内自杀，但自杀时为无民事行为能力人的除外；（4）被保险人主动吸食或注射毒品；（5）战争、军事冲突、暴乱或武装叛乱；（6）核爆炸、核辐射或核污染。被保险人在下列期间遭受意外伤害导致身故的，本公司不承担保险责任：（7）被保险人酒后驾驶、无合法有效驾驶证驾驶或驾驶无有效行驶证的机动车期间。发生上述第（1）项情形导致被保险人身故的，本合同终止，本公司向被保险人继承人退还保险单的现金价值（详见释义）。因上述第（2）（6）项情形或在第（7）项期间被保险人身故的，本合同终止，本公司向投保人退还保险单的现金价值。
第七条保险费的交纳	本合同的交费方式和交费期间由投保人和本公司约定，但须符合本公司当时的投保规定，约定的交费方式和交费期间将在保险单上载明。
第八条续期保险费的交纳、宽限期	本合同续期保险费应按保险单所载明的交费方式和交费日期交纳，投保人应该在所选择的交费期间内的每个保险费约定交纳日（详见释义）交纳保险费，保险费约定交纳日将在保险单上载明。如到期未交纳，自保险单所载明的保险费约定交纳日的次日零时起60日为宽限期。宽限期内发生保险事故的，本公司承担保险责任，但在给付保险金时将扣减投保人欠交的保险费。
第九条合同效力中止	除另有约定外，投保人逾宽限期仍未交纳续期保险费的，本合同自宽限期满的次日零时起效力中止。本合同效力中止期间发生保险事故的，本公司不承担保险责任。
第十条合同效力恢复	本合同效力中止后二年内，投保人可以申请恢复本合同效力。经本公司与投保人协商并达成协议，自投保人补交保险费之日起，本合同效力恢复。自本合同效力中止之日起满二年双方未达成复效协议的，本公司有权解除本合同，并退还宽限期开始前一日保险单的现金价值。
第十一条保险金受益人	除本合同另有指定外，重大疾病保险金受益人为被保险人本人。身故保险金受益人的指定和变更详见本合同基本条款。
第十二条保险金的申请	1.申请重大疾病保险金时，由重大疾病保险金受益人作为申请人填写保险金给付申请书，并提供下列证明和资料：（1）保险合同；51020181第2页（2）申请人及被保险人的有效身份证件；（3）本公司认可医院出具的附有病历、必要病理检验、血液检验及其他科学方法检验报告的疾病诊断书；（4）所能提供的与确认保险事故的性质、原因、伤害程度等有关的其他证明和资料。2.申请身故保险金时，由身故保险金受益人或其他有权领取保险金的人作为申请人填写保险金给付申请书，并提供下列证明和资料：（1）保险合同；（2）申请人的有效身份证件；（3）国家卫生行政部门认定的医疗机构、公安部门或其他相关机构出具的被保险人的死亡证明；（4）所能提供的与确认保险事故的性质、原因、伤害程度等有关的其他证明和资料。保险金作为被保险人遗产时，须提供可证明合法继承权的相关权利文件。3.如申请人为无民事行为能力人或限制民事行为能力人，由其法定代理人代为办理保险金申请。4.如委托他人代为申请，应提供授权委托书及受托人的有效身份证件。5.本公司认为有关证明和资料不完整的，将及时一次性通知申请人补充提供。
第十三条欠交保险费及未还款项的扣除	本公司在办理给付保险金、退还保险单的现金价值或退还本保险实际交纳的保险费等事项时，如投保人欠交保险费或有其他款项未还清的，本公司先扣除上述款项后，再办理相关手续。
第十四条减保	在本合同有效期内，投保人可以申请减保，并领取减少部分对应的现金价值。减保后，保险金额不得低于本公司规定的最低标准。减保后的保险费按下列公式计算：减保后的保险费本次减保前的保险费(1减保比例)本公司按减保后的保险金额承担保险责任。
第十五条投保人解除合同的手续及风险	1.本合同生效后，本公司为投保人提供15日的犹豫期，犹豫期指投保人收到保险单并书面签收之日起15日的期间，投保人在上述期间内要求解除本合同的，本公司自本合同解除之日起10日内在扣除工本费后退还本保险实际交纳的保险费。2.投保人在犹豫期后要求解除本合同的，本公司自本合同解除之日起10日内向投保人退还保险单的现金价值。投保人犹豫期后解除合同可能会遭受一定损失。3.除另有约定外，投保人要求解除本合同时，应填写合同解除申请书，并提供下列证明和资料：（1）保险合同；（2）投保人的有效身份证件。自本公司收到合同解除申请书及上述证明和资料之日起，本合同终止。
第十六条附则	本合同利益条款与本合同基本条款不一致的，以本合同利益条款为准。
