question	answer
第一条合同构成	健康无忧重大疾病保险（C1款）合同（以下简称本合同）由保险单及所附健康无忧重大疾病保险（C1款）利益条款（以下简称本合同利益条款）、个人保险基本条款（以下简称本合同基本条款）、投保单、与本合同有关的其他投保文件、健康告知书、变更申请书、复效申请书、声明、批注、附贴批单及其他书面协议构成。
第二条投保范围	1.被保险人范围：凡年满18周岁（详见释义），男性不满56周岁、女性不满61周岁，身体健康者均可作为被保险人参加本保险。2.投保人范围：被保险人本人或对被保险人有保险利益的其他人可作为投保人向新华人寿保险股份有限公司（以下简称本公司）投保本保险。
第三条保险金额	本合同保险金额按本合同利益条款第五条规定、根据基本保险金额进行计算确定。本合同基本保险金额由投保人和本公司在投保时约定，但须符合本公司当时的投保规定，约定的基本保险金额将在保险单上载明。
第四条保险期间	本合同的保险期间为被保险人终身，并在保险单上载明。保险期间自本合同生效日的零时开始。
第五条保险责任	在本合同保险期间内，本公司承担下列保险责任：
1.轻症疾病保险金	被保险人于本合同生效（或合同效力恢复）之日起180日（含）内，因疾病原因由本公司认可医院（详见释义）的专科医生（详见释义）确诊初次发生本合同所指的轻症疾病（详见释义）（无论一种或多种），本公司不承担本项保险责任，本合同继续有效。被保险人于本合同生效（或合同效力恢复）之日起180日（含）内，因意外伤害（详见释义）原因由本公司认可医院的专科医生确诊初次发生本合同所指的轻症疾病（无论一种或多种），且未发生本合同所指的重大疾病（详见释义），本公司按基本保险金额的20给付轻症疾病保险金，本公司对该种轻症疾病的保险责任终止。被保险人于本合同生效（或合同效力恢复）之日起180日（不含）后，由本公司认可医院的专科医生确诊初次发生本合同所指的轻症疾病（无论一种或多种），且未发生本合同所指的重大疾病，本公司按基本保险金额的20给付轻症疾病保险金，本公司对该种轻症疾病的保险责任终止。在本合同保险期间内，本公司对每种轻症疾病给付轻症疾病保险金次数以一次为限，本公司累计给付轻症疾病保险金次数以三次为限，当累计给付的轻症疾病保险金次数达到三次时，本项保险责任终止，本合同继续有效。被保险人由于同一疾病原因、同次医疗行为或同次意外伤害事故，确诊初次发生多种本合同所指的轻症疾病，本公司按上述规定，仅对其中一种轻症疾病承担给付轻症疾病保险金责任。
2.重大疾病保险金	被保险人于本合同生效（或合同效力恢复）之日起180日（含）内，因疾病原因由本公司认可医院的专科医生确诊初次发生本合同所指的重大疾病（无论一种或多种），本公司给付重大疾病保险金，其金额为本保险实际交纳的保险费（详见释义）的1.1倍，本合同终止。被保险人于本合同生效（或合同效力恢复）之日起180日（含）内，因意外伤害原因由本公司认可医院的专科医生确诊初次发生本合同所指的重大疾病（无论一种或多种），本公司按基本保险金额给付重大疾病保险金，本合同终止。56420181第1页被保险人于本合同生效（或合同效力恢复）之日起180日（不含）后，由本公司认可医院的专科医生确诊初次发生本合同所指的重大疾病（无论一种或多种），本公司按基本保险金额给付重大疾病保险金，本合同终止。被保险人同时确诊初次发生本合同所指的重大疾病和本合同所指的轻症疾病，本公司按上述规定承担给付重大疾病保险金责任，不承担给付轻症疾病保险金责任，本合同终止。
3.身故保险金	被保险人于本合同生效（或合同效力恢复）之日起180日（含）内，因疾病原因身故，本公司给付身故保险金，其金额为本保险实际交纳的保险费的1.1倍，本合同终止。被保险人于本合同生效（或合同效力恢复）之日起180日（含）内，因意外伤害原因身故，本公司按基本保险金额给付身故保险金，本合同终止。被保险人于本合同生效（或合同效力恢复）之日起180日（不含）后身故，本公司按基本保险金额给付身故保险金，本合同终止。本条第2款重大疾病保险金和本款身故保险金，本公司在保险期间内仅给付一项，给付其中任意一项后，本合同终止。
4.特定严重疾病保险金	被保险人于本合同生效（或合同效力恢复）之日起180日（含）内，因意外伤害原因由本公司认可医院的专科医生确诊初次发生本合同所指的特定严重疾病（详见释义）（无论一种或多种），本公司按本条第2款规定给付重大疾病保险金的同时，按基本保险金额的20给付特定严重疾病保险金，本合同终止。被保险人于本合同生效（或合同效力恢复）之日起180日（不含）后，由本公司认可医院的专科医生确诊初次发生本合同所指的特定严重疾病（无论一种或多种），本公司按本条第2款规定给付重大疾病保险金的同时，按基本保险金额的20给付特定严重疾病保险金，本合同终止。
5.前10年关爱保险金	被保险人于本合同生效（或合同效力恢复）之日起180日（含）内且于第10个保单生效对应日（详见释义）（不含）之前因意外伤害原因，或于本合同生效（或合同效力恢复）之日起180日（不含）后且于第10个保单生效对应日（不含）之前，由本公司认可医院的专科医生确诊初次发生本合同所指的重大疾病（无论一种或多种），本公司按本条第2款规定给付重大疾病保险金的同时，按基本保险金额的20给付前10年关爱保险金，本合同终止。被保险人于本合同生效（或合同效力恢复）之日起180日（含）内且于第10个保单生效对应日（不含）之前因意外伤害原因，或于本合同生效（或合同效力恢复）之日起180日（不含）后且于第10个保单生效对应日（不含）之前身故，本公司按本条第3款规定给付身故保险金的同时，按基本保险金额的20给付前10年关爱保险金，本合同终止。
6.轻症疾病豁免保险费	被保险人于本合同生效（或合同效力恢复）之日起180日（含）内因意外伤害原因，或于本合同生效（或合同效力恢复）之日起180日（不含）后，由本公司认可医院的专科医生确诊初次发生本合同所指的轻症疾病，投保人可免交自被保险人确诊初次发生本合同所指的轻症疾病之日起的续期保险费，本合同继续有效。豁免保险费的，本公司视同自被保险人确诊初次发生本合同所指的轻症疾病之日起的续期保险费已交纳。
第六条责任免除	1.轻症疾病、重大疾病、特定严重疾病、前10年关爱（因重大疾病原因）保险责任免除被保险人因下列（1）（8）项情形之一发生本合同所指的轻症疾病、本合同所指的重大疾病或本合同所指的特定严重疾病的，或在第（9）项期间遭受意外伤害导致本合同所指的轻症疾病、本合同所指的重大疾病或本合同所指的特定严重疾病的，本公司不承担保险责任：（1）投保人对被保险人的故意杀害、故意伤害；（2）被保险人故意自伤，但自伤时为无民事行为能力人的除外；（3）被保险人故意犯罪或抗拒依法采取的刑事强制措施；（4）被保险人主动吸食或注射毒品（详见释义）；（5）战争、军事冲突、暴乱或武装叛乱；（6）核爆炸、核辐射或核污染；56420181第2页（7）遗传性疾病（详见释义），先天性畸形、变形或染色体异常（详见释义）；（8）被保险人感染艾滋病病毒或患艾滋病（详见释义）；（9）被保险人酒后驾驶（详见释义）、无合法有效驾驶证驾驶（详见释义）或驾驶无有效行驶证（详见释义）的机动车（详见释义）期间。被保险人因其发生上述第（1）（8）项情形或在第（9）项期间发生本合同所指的轻症疾病的，本公司不予豁免保险费。
2.身故保险责任免除	被保险人因下列（1）（6）项情形之一身故的，或在第（7）项期间遭受意外伤害导致身故的，本公司不承担保险责任：（1）投保人对被保险人的故意杀害、故意伤害；（2）被保险人故意犯罪或抗拒依法采取的刑事强制措施；（3）被保险人自本合同成立或合同效力恢复之日起二年内自杀，但自杀时为无民事行为能力人的除外；（4）被保险人主动吸食或注射毒品；（5）战争、军事冲突、暴乱或武装叛乱；（6）核爆炸、核辐射或核污染；（7）被保险人酒后驾驶、无合法有效驾驶证驾驶或驾驶无有效行驶证的机动车期间。发生上述第（1）项情形导致被保险人身故的，本合同终止，本公司向被保险人继承人退还保险单的现金价值（详见释义）。因上述第（2）（6）项情形或在第（7）项期间被保险人身故的，本合同终止，本公司向投保人退还保险单的现金价值。
第七条保险费的交纳	本合同的交费方式和交费期间由投保人和本公司约定，但须符合本公司当时的投保规定，约定的交费方式和交费期间将在保险单上载明。
第八条续期保险费的交纳、宽限期	本合同续期保险费应按保险单所载明的交费方式和交费日期交纳，投保人应该在所选择的交费期间内每年交纳保险费，交纳保险费的具体日期为当年的保单生效对应日，并在保险单上载明。如到期未交纳，自保险单所载明的交费日期的次日零时起60日为宽限期。宽限期内发生保险事故的，本公司承担保险责任，但在给付保险金时将扣减投保人欠交的保险费。除另有约定外，投保人逾宽限期仍未交纳续期保险费的，本合同自宽限期满的次日零时起效力中止。
第九条合同效力中止	本合同效力中止期间发生保险事故的，本公司不承担保险责任。
第十条合同效力恢复	本合同效力中止后二年内，投保人可以申请恢复本合同效力。经本公司与投保人协商并达成协议，自投保人补交保险费、偿还保单贷款及利息之日起，本合同效力恢复。自本合同效力中止之日起满二年双方未达成复效协议的，本公司有权解除本合同，并退还合同效力中止时保险单的现金价值。
第十一条保险金受益人	除本合同另有指定外，轻症疾病保险金、重大疾病保险金、特定严重疾病保险金和因重大疾病原因导致的前10年关爱保险金的受益人为被保险人本人。因身故原因导致的前10年关爱保险金的受益人为身故保险金受益人。身故保险金受益人的指定和变更详见本合同基本条款。
第十二条保险金及豁免保险费的申请	1.申请轻症疾病保险金、重大疾病保险金、特定严重疾病保险金或因重大疾病原因导致的前10年关爱保险金时，由相应保险金的受益人作为申请人填写保险金给付申请书，并提供下列56420181第3页证明和资料：（1）保险合同；（2）申请人及被保险人的有效身份证件；（3）本公司认可医院出具的附有病历、必要病理检验、血液检验及其他科学方法检验报告的疾病诊断书；（4）所能提供的与确认保险事故的性质、原因、伤害程度等有关的其他证明和资料。上述相关疾病诊断资料须在被保险人生存期间内由本公司认可医院出具，任何针对遗体检查的资料不能作为保险金申请依据。2.申请身故保险金或因身故原因导致的前10年关爱保险金时，由身故保险金受益人或其他有权领取保险金的人作为申请人填写保险金给付申请书，并提供下列证明和资料：（1）保险合同；（2）申请人的有效身份证件；（3）国家卫生行政部门认定的医疗机构、公安部门或其他相关机构出具的被保险人的死亡证明；（4）所能提供的与确认保险事故的性质、原因、伤害程度等有关的其他证明和资料。保险金作为被保险人遗产时，须提供可证明合法继承权的相关权利文件。3.申请轻症疾病豁免保险费时，由投保人或被保险人作为申请人填写申请书，并提供下列证明和资料：（1）保险合同；（2）申请人及被保险人的有效身份证件；（3）本公司认可医院出具的附有病历、必要病理检验、血液检验及其他科学方法检验报告的疾病诊断书；（4）所能提供的与确认保险事故的性质、原因、伤害程度等有关的其他证明和资料。4.如申请人为无民事行为能力人或限制民事行为能力人，由其法定代理人代为办理保险金申请。5.如委托他人代为申请，应提供授权委托书及受托人的有效身份证件。6.本公司认为有关证明和资料不完整的，将及时一次性通知申请人补充提供。
第十三条欠交保险费及未还款项的扣除	本公司在办理给付保险金、退还保险单的现金价值或退还本保险实际交纳的保险费等事项时，如投保人欠交保险费或有其他款项未还清的，本公司先扣除上述款项后，再办理相关手续。
第十四条减保	在本合同有效期内，投保人可以申请减保，并领取减少部分对应的现金价值。减保后，基本保险金额不得低于本公司规定的最低标准。减保后的保险费按下列公式计算：减保后的保险费本次减保前的保险费(1减保比例)本公司按减保后的基本保险金额承担保险责任。如已发生保险金给付的，投保人不得申请减保。
