question	answer
第一章保险合同的构成	
第一条保险合同的构成	富德生命i宝贝少儿重大疾病保险合同（以下简称本合同）是投保人与富德生命人寿保险股份有限公司（以下简称本公司）约定保险权利义务关系的协议，包括富德生命i宝贝少儿重大疾病保险条款（以下简称本条款）、电子保险单或者其他保险凭证、电子投保单、与本合同有关的投保文件、合法有效的声明、批注、批单以及其他投保人与本公司共同认可的书面或者电子协议。
第二条保险合同成立与生效	投保人提出保险申请、本公司同意承保，本合同成立。本合同自本公司同意承保当日二十四时起生效，本合同的生效日载明于电子保险单上；但若投保人未能在本合同约定的交费期限内交纳首期保险费，则本合同自始无效。本公司自本合同生效时开始承担保险责任。
第三条保险期间	本合同的保险期间自生效日起至被保险人年满十八周岁（释义一）后首个保险合同周年日（释义二）零时止，本合同的期满日载明于电子保险单上。
第四条犹豫期内撤销保险合同	投保人可自签收本合同当日二十四时起的十个自然日内通知本公司撤销本合同。本公司收到撤销本合同申请通知的当日二十四时起，本合同被撤销且自始无效。本公司将无息退还投保人已交保险费。
第二章保险合同提供的保障	
第五条保险责任	在本合同保险责任开始后的有效期内，本公司依照下列约定承担保险责任：
一、重大疾病保险金给付	1.若被保险人于本合同生效日起九十日内（含第九十日），非因意外伤害事故（释义三）被确诊首次患本合同定义的重大疾病，本公司将按已交保险费给付重大疾病保险金，本合同终止；2.若被保险人于本合同生效日起九十日后，非因意外伤害事故被确诊首次患本合同定义的重大疾病，本公司将按本合同基本保险金额给付重大疾病保险金，本合同终止；3.若被保险人因意外伤害事故被确诊首次患本合同定义的重大疾病，本公司将按本合同基本保险金额给付重大疾病保险金，本合同终止；4.本合同定义的重大疾病指被保险人首次发生符合本合同第十九条重大疾病的定义之疾病，或首次达到本合同第十九条重大疾病的定义之疾病状态，或首次接受符合本合同第十九条重大疾病的定义之疾病手术，该疾病、疾病状态或疾病手术应当由本公司认可的医院（释义四）的专科医生（释义五）明确诊断。
二、少儿特定疾病保险金给付	1.若被保险人于本合同生效日起九十日内（含第九十日），非因意外伤害事故被确诊首次患本合同定义的少儿特定疾病，本公司将按本合同已交保险费给付少儿特定疾病保险金，本合同终止；2.若被保险人于本合同生效日起九十日后，非因意外伤害事故被确诊首次患本合同定义的少儿特定疾病，本公司将按本合同基本保险金额给付少儿特定疾病保险金，本合同终止；3.若被保险人因意外伤害事故被确诊首次患本合同定义的少儿特定疾病，本公司将按本合同基本保险金额给付少儿特定疾病保险金，本合同终止；4.本合同定义的少儿特定疾病指被保险人首次发生符合本合同第二十条少儿特定疾病的定义之疾病，或首次达到本合同第二十条少儿特定疾病的定义之疾病状态，或首次接受符合本合同第二十条少儿特定疾病的定义之疾病手术，该疾病、疾病状态或疾病手术应当由本公司认可的医院的专科医生明确诊断。
三、身故保险金给付	若被保险人身故，本公司将按本合同已交保险费与被保险人身故当时的现金价值（释义六）的较大者给付身故保险金，本合同终止。若被保险人被确诊因上述重大疾病或少儿特定疾病身故，本公司只给付重大疾病保险金或少儿特定疾病保险金，不再给付身故保险金。
