question	answer
1.您与我们订立合同时需要了解的内容	
1.1.合同的种类及构成	您作为投保人，与我们订立的合同为恒安标准臻爱健康终身重大疾病保险合同（以下简称本合同），所使用的保险条款为恒安标准臻爱健康终身重大疾病保险条款（以下简称本条款）。本合同由保险单或其他保险凭证、本条款、投保申请书、现金价值表以及与本合同有关其他合法有效的文件共同构成。我们在本条款第6条中对重要术语进行了解释，术语含义以该条中的解释为准，请您注意阅读。
1.2.投保条件	
一、投保人	投保时年龄应当在18周岁（含）以上，并且应当对被保险人具有保险利益。
二、被保险人	投保时年龄符合我们的要求且身体健康者，经我们审核同意，均可作为被保险人。
1.3.保险期间	保险期间自本合同生效日次日零时起算，至被保险人身故时止。
1.4.保险责任的开始和终止	
一、保险责任的开始	您完成投保申请后，经我们审核同意，本合同成立。自您交付的保险费到达我们的账户之日起，本合同生效，具体的生效日期在保险单中载明。我们自本合同生效日次日零时起开始承担保险责任。
二、保险责任的终止	发生下列情况之一时，保险责任自动终止：1.被保险人身故或永久完全残疾；2.被保险人被确诊患有本合同约定的重大疾病；3.本合同的效力依据合同的有关规定中止，未在中止期间内恢复效力的；4.本合同其他条款约定的合同或保险责任终止的情形。
1.5.犹豫期	本合同生效后，自您书面签收保险单的次日零时起，您享有10日的犹豫期，以便您在此期间阅读合同。如果您认为合同不符合您的需要，您可在该10日的犹豫期内要求解除合同。您需填写解除合同申请书，并连同保险单原件、保险费交费凭证、您的身份证件，以及您所能提供的其他与解除合同有关的材料，一起在该犹豫期内送达给我们。自您向我们书面申请解除合同之日起，本合同即被解除，我们自始不承担保险责任。我们将无息退还您已交的全部保险费，但将收取成本费人民币10元。
1.6.明确说明与如实告知	在订立本合同时，我们应向您说明合同的内容。对本条款中免除我们责任的条款，我们在订立合同时应当在投保单、保险单或者其他保险凭证上作出足以引起您注意的提示，并对该条款的内容以书面或者口头形式向您作出明确说明，未作提示或者明确说明的，该条款不产生效力。我们可以口头或书面询问您和被保险人的有关情况，您有义务如实告知。您故意或因重大过失未履行如实告知义务，足以影响我们决定是否同意承保或者提高保险费率的，我们有权解除本合同。您故意不履行如实告知义务的，对本合同解除前发生的保险事故，我们不承担给付保险金的责任，并不退还保险费。您因重大过失未履行如实告知义务的，对保险事故的发生有严重影响的，对本合同解除前发生的保险事故，我们不承担给付保险金的责任，但将退还保险费。前项规定的合同解除权，自我们知道有解除事由之日起，超过30日不行使而消灭。自本合同成立之日起超过2年的，我们不得解除合同；发生保险事故的，我们承担给付保险金的责任。我们在合同订立时已经知道您未如实告知的情况的，我们不得解除合同；发生保险事故的，我们承担给付保险金的责任。
2.合同项下的保障和利益	恒安标准司字20171号附件：3.2
2.1.基本保险金额	基本保险金额由您与我们约定，并在保险单中载明。
2.2.我们提供的保障	在保险期间内，我们承担下列保险责任，在本合同履行中发生合同效力中止情形的，则按照本条款第
3.3款的约定执行：	
一、重大疾病保险金	若被保险人因意外伤害事故，或者自本合同生效日次日零时起（在本合同履行中有复效情形的，自每一次复效日次日零时起）满180日后（不含第180日）因意外伤害事故以外的原因，初次罹患并被我们指定或认可的医院的专科医生确诊为本条款第6条中重大疾病术语项下的一项或多项重大疾病，我们按基本保险金额给付重大疾病保险金，本合同终止。若被保险人在本合同生效日次日零时起（在本合同履行中有复效情形的，自每一次复效日次日零时起）180日内（含第180日）因意外伤害事故以外的原因，经诊断患有足以导致本合同约定的重大疾病的疾病，或经诊断患有本条款第6条中重大疾病术语项下的一项或多项重大疾病，我们向您返还本合同已交付的保险费和现金价值两者中的金额较大者，本合同终止。
二、身故保险金	若被保险人因意外伤害事故身故，或者自本合同生效日次日零时起（在本合同履行中有复效情形的，自每一次复效日次日零时起）满180日后（不含第180日）因意外伤害事故以外的原因身故，我们给付身故保险金，本合同终止。身故保险金为：(1)若被保险人身故时未满18周岁，身故保险金为被保险人身故时本合同已交付的保险费和现金价值两者中的金额较大者；(2)若被保险人身故时已满18周岁，身故保险金为基本保险金额。若被保险人在本合同生效日次日零时起（在本合同履行中有复效情形的，自每一次复效日次日零时起）180日内（含第180日）因意外伤害事故以外的原因身故，我们向您返还被保险人身故时本合同已交付的保险费和现金价值两者中的金额较大者，本合同终止。
