question	answer
第一章保险合同的构成	第十四条受益人
第一条保险合同的构成	第十五条保险事故的通知
第二条保险合同成立与生效	第十六条司法鉴定
第三条保险期间	第十七条保险金的申请
第四条犹豫期内解除保险合同	第十八条宣告死亡处理
第二章保险合同提供的保障	第十九条诉讼时效
第五条保险责任	第五章一般约定
第六条责任免除	第二十条年龄或性别错误处理
第七条未成年人身故保险金限制	第二十一条合同内容的变更
第三章您的权利和义务	第二十二条联系方式的变更
第八条基本保险金额和保险费	第二十三条解除合同的手续及风险
第九条宽限期及保险合同效力的中止	第二十四条欠款扣除
第十条减少保险金额	第二十五条争议处理
第十一条保险合同效力的恢复	第二十六条重大疾病的定义
第四章保险金的申请	第二十七条轻症疾病的定义
第十二条明确说明与如实告知	第六章释义
第十三条合同解除权的限制	第二十八条释义本页内容结束富德生命康健无忧重大疾病保险（2018版）条款条款内容
第一章保险合同的构成	
第一条保险合同的构成	本主险合同由以下几个部分构成：保险单或其他书面保险凭证及所附条款、投保单（其复印件或电子影像印刷件与正本具有同等效力）、与本主险合同有关的其他投保文件、声明、批注、批单及其他书面协议。
第二条保险合同成立与生效	您提出保险申请、我们同意承保，本主险合同成立。本主险合同自我们收取首期保险费并签发保险单的次日零时起生效，具体生效日以保险单所载的日期为准。我们自本主险合同生效时开始承担保险责任。
第三条保险期间	本主险合同的保险期间为终身。
第四条犹豫期内解除保险合同	自您签收本主险合同次日零时起，有15个自然日的犹豫期。在此期间您可以书面通知我们解除本主险合同，我们无息退还您本主险合同实际交纳的保险费（释义一）。自我们收到您解除合同的书面申请时起，本主险合同即被解除且自始无效。合同解除前发生的保险事故我们不承担保险责任。
第二章保险合同提供的保障	
第五条保险责任	若被保险人于本主险合同生效日起90日内或效力恢复之日起90日内（含第90日），身故或全残（释义二）或被确诊首次患本主险合同定义的重大疾病或轻症疾病的，我们不承担保险责任，无息退还本主险合同实际交纳的保险费，本主险合同终止。这90日的时间称为等待期。被保险人因意外伤害事故（释义三）（不含猝死（释义四））发生上述情形的，无等待期。在本主险合同保险责任开始后的有效期内，我们依照下列约定承担保险责任：
一、轻症疾病保险金给付	若被保险人于等待期后被确诊首次患本主险合同定义的轻症疾病，我们将按本主险合同基本保险金额的20给付轻症疾病保险金，本主险合同继续有效。本主险合同定义的轻症疾病指被保险人首次发生符合本主险合同第二十七条轻症疾病的定义之疾病，或者首次达到本主险合同第二十七条轻症疾病的定义之疾病状态，或者首次接受符合本主险合同第二十七条轻症疾病的定义之疾病手术，该疾病、疾病状态或疾病手术应当由我们认可的医院的专科医生明确诊断。富德生命康健无忧重大疾病保险（2018版）条款针对本主险合同定义的每一轻症疾病，我们仅给付1次轻症疾病保险金。在本主险合同有效期内，轻症疾病保险金的给付以5次为限。若申请轻症疾病保险金时被保险人所患疾病已满足重大疾病保险金给付条件，我们将给付重大疾病保险金，不再给付轻症疾病保险金。
二、轻症疾病豁免保险费	若被保险人于等待期后被确诊首次患本主险合同定义的轻症疾病，我们将豁免自被保险人确诊首次患本主险合同定义的轻症疾病之日起您应交的本主险合同续期保险费，被豁免的保险费视为您已交纳，本主险合同继续有效。
三、重大疾病保险金给付	若被保险人于等待期后被确诊首次患本主险合同定义的重大疾病，我们将按本主险合同的基本保险金额给付重大疾病保险金，本项保险责任终止，本主险合同现金价值（释义五）减少为零，本主险合同继续有效。本主险合同定义的重大疾病指被保险人首次发生符合本主险合同第二十六条重大疾病的定义之疾病，或者首次达到本主险合同第二十六条重大疾病的定义之疾病状态，或者首次接受符合本主险合同第二十六条重大疾病的定义之疾病手术，该疾病、疾病状态或疾病手术应当由我们认可的医院（释义六）的专科医生（释义七）明确诊断。在给付重大疾病保险金后，重大疾病保险责任终止，同时我们将不再承担身故或全残保险金、轻症疾病保险金中的任何一项保险责任。
四、重大疾病豁免保险费	若本主险合同尚未豁免保险费，且被保险人于等待期后被确诊首次患本主险合同定义的重大疾病，我们将豁免自被保险人确诊首次患本主险合同定义的重大疾病之日起您应交的本主险合同续期保险费，被豁免的保险费视为您已交纳，本主险合同继续有效。
五、寿险复原保险金给付	1.若被保险人已领取重大疾病保险金并且自重大疾病确诊之日起365日内（含第365日）身故，我们将不承担寿险复原保险金给付责任，本主险合同终止；2.若被保险人已领取重大疾病保险金并且自重大疾病确诊之日起365日后身故，我们将按本主险合同基本保险金额的50给付寿险复原保险金，本主险合同终止。
六、身故或全残保险金给付	1.若被保险人于年满18周岁（释义八）之前因意外伤害事故身故（不含猝死）或全残，或在等待期后年满18周岁之前非因意外伤害事故身故或全残，我们将按本主险合同实际交纳的保险费的150给付身故或全残保险金，本主险合同终止；2.若被保险人于年满18周岁之后因意外伤害事故身故（不含猝死）或全残，或在等待期后且年满18周岁之后非因意外伤害事故身故或全残，我们将按本主险合同基本保险金额给付身故或全残保险金，本主险合同终止。被保险人发生本主险合同所定义的全残，应在治疗结束后，由司法鉴定机构或其他有资质的医疗鉴定机构进行鉴定。若自保险事故发生之日起180日以内（含第180日）治疗仍未结束，则按第180日的身体情况进行鉴定。富德生命康健无忧重大疾病保险（2018版）条款
