question	answer
第一部分	您（投保人）与我们（太平人寿保险有限公司）的合同
第一条保险合同的构成	本合同由以下几个部分构成：保险单及所附条款、投保单（其复印件或电子影像印刷件与正本具有同等效力）、批注，以及经您与我们共同认可的、与本合同有关的其他书面文件。
第二条投保范围	本合同接受的被保险人的投保年龄为出生满28日至65周岁1。
第三条保险合同成立与生效	您提出保险申请、我们同意承保，本合同成立。合同生效日期在保险单上载明。保单年度2、保险费约定支付日3均以该日期计算。
第四条保险期间	本合同的保险期间为终身，自本合同生效日零时起至被保险人身故时止，并在保险单上载明。
第二部分	我们提供哪些保障利益
第五条基本保险金额	本合同的基本保险金额在投保时由您和我们约定，并在保险单或批注上列明。如果该金额发生变更，则以变更后的金额为基本保险金额。
第六条等待期	自本合同生效日零时起90日为等待期。如果本合同曾一次或多次恢复效力，则自每次合同效力恢复之日零时起90日均为等待期。
第七条保险责任	在本合同保险期间内且本合同有效，我们按照下列约定承担给付相应保险金的责任：
一、重大疾病保险金	1.如果被保险人因意外伤害事故4或等待期后因意外伤害事故以外的原因导致被保险人经医院5初次确诊6患上一种或多种本合同第三十三条所定义的重大疾病，我们按本合同的基本保险金额给付重大疾病保险金，同时本合同终止。1周岁：指按照居民身份证、军官证、警官证、士兵证等有效身份证件中记载的出生日期计算的年龄，自出生之日起为零周岁，每经过一年增加一岁，不足一年的不计。2保单年度：从保险合同生效日或年生效对应日零时起至下一年度保险合同生效对应日零时止为一个保单年度。如果当月无对应的同一日，则以该月最后一日为对应日。3保险费约定支付日：指在本合同交费期限内，保险单或批注上列明的合同生效日在每月、每季、每半年或每年（根据交费方式确定）的对应日。如果当月无对应的同一日，则以该月最后一日作为对应日。4意外伤害事故：指外来的、突发的、非本意的、非疾病的使身体受到伤害的客观事件。5医院：国务院卫生行政部门医院等级分类中的二级或二级以上的医院，但不包括主要为门诊、康复、护理、疗养、戒酒、戒毒或相类似的医疗机构。同时该医院必须具有符合有关医院管理规定设置标准的医疗设备，并且提供24小时有合格医师及护士驻院的医疗和护理等服务。6初次确诊：指自被保险人出生之日起第一次经医院确诊患有某种疾病，而不是指自本合同生效、复效之后第一次经医院确诊患有某种疾病。太平福禄康瑞2018终身重大疾病保险，第3页，共31页2.如果被保险人因意外伤害事故以外的原因经医院初次确诊患上一种或多种本合同第三十三条所定义的重大疾病，并且初次确诊时间在等待期内，我们按本合同的已交保险费给付重大疾病保险金，同时本合同终止。
